,A2-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-Inoculumn-mBHI,8073,6156
A5-e003Coalescence-mBHI-inoculumn-redo,8154,6202
A5-e003Coalescence-mBHI-p3,8144,6194
A5-e003Coalescence-mBHI-p7,8138,6191
A5-e003Coalescence-mGAM-p3,8125,6194
D2-e003Coalescence-Inoculumn-mBHI,8153,6202
D2-e003Coalescence-mBHI-p3,8151,6199
D2-e003Coalescence-mBHI-p5,8085,6167
D2-e003Coalescence-mGAM-p5,8151,6202
E5-e003Coalescence-mBHI-p3_S12,8152,6200
E5-e003Coalescence-mBHI-p5_S4,8139,6182
E5-e003Coalescence-mBHI-p7_S100,8051,6130
E5-e003Coalescence-mGAM-p7_S148,8130,6189
H2-e003Coalescence-mBHI-p3_S45,3897,2940
H2-e003Coalescence-mBHI-p7_S133,8137,6189
H2-e003Coalescence-mGAM-p3_S93,8125,6173
H2-e003Coalescence-mGAM-p5_S85,7735,5777
H2-e003Coalescence-mGAM-p7_S181,8130,6194
