,B3-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
B5-e003Coalescence-Inoculumn-mBHI,9190,8183
B5-e003Coalescence-mBHI-p3,9178,8183
B5-e003Coalescence-mBHI-p5,9181,8171
B5-e003Coalescence-mBHI-p7,9189,8181
B5-e003Coalescence-mGAM-p3,9087,8072
B5-e003Coalescence-mGAM-p5,4216,3565
B5-e003Coalescence-mGAM-p7,6172,5124
D3-e003Coalescence-Inoculumn-mBHI,9189,8186
D3-e003Coalescence-mBHI-p5,9183,8185
D3-e003Coalescence-mBHI-p7,5752,4783
D3-e003Coalescence-mGAM-p3,9182,8180
D3-e003Coalescence-mGAM-p5,9188,8188
F5-e003Coalescence-mBHI-p3_S24,9177,8158
F5-e003Coalescence-mBHI-p5_S16,9165,8134
F5-e003Coalescence-mBHI-p7_S112,9067,8003
F5-e003Coalescence-mGAM-p5_S64,9179,8179
F5-e003Coalescence-mGAM-p7_S160,9139,8086
H3-e003Coalescence-mBHI-p3_S46,7196,6013
H3-e003Coalescence-mBHI-p5_S38,9176,8154
H3-e003Coalescence-mBHI-p7_S134,9162,8143
H3-e003Coalescence-mGAM-p3_S94,9170,8162
H3-e003Coalescence-mGAM-p5_S86,9178,8172
H3-e003Coalescence-mGAM-p7_S182,9180,8177
