,C4-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
D11-e003Coalescence-mBHI-p5,1525,1755
C8-e003Coalescence-mGAM-p7,1611,1889
D10-e003Coalescence-mBHI-p3,1184,1466
A8-e003Coalescence-mBHI-p3,1296,1550
A4-e003Coalescence-mBHI-inoculumn-redo,1518,1772
D10-e003Assembly-mGAM-p5,1049,1231
C4-e003Coalescence-mGAM-p7,1567,1836
D3-e004Assembly-mGAM-p7,1512,1776
C3-e003Coalescence-mGAM-p3,1585,1878
B4-e003Assembly-mBHI-p5,1457,1709
D4-e004Assembly-mGAM-p5,1166,1364
D3-e003Coalescence-Inoculumn-mBHI,1467,1683
D11-e003Coalescence-mGAM-p5,1625,1889
A11-e003Coalescence-mGAM-p7,1478,1658
B10-e003Assembly-mGAM-p5,687,877
C2-e003Coalescence-mGAM-p7,1625,1897
B11-e003Coalescence-mGAM-p3,1199,1360
C4-e003Coalescence-mBHI-inoculumn-redo,1625,1897
D8-e003Assembly-mGAM-p5,492,639
D5-e003Coalescence-mGAM-p5,1615,1882
A5-e003Coalescence-mGAM-p3,1601,1862
A2-e003Coalescence-Inoculumn-mGAM,1438,1710
E5-e004Assembly-mGAM-p5,1529,1827
D8-e003Coalescence-mGAM-p5,1621,1883
A12-e003Coalescence-mGAM-p3,1513,1718
E4-e004Assembly-mGAM-p7,498,618
E3-e004Assembly-mGAM-p3,1499,1751
D5-e004Assembly-mGAM-p5,766,982
B5-e003Coalescence-Inoculumn-mGAM,1569,1811
D10-e003Coalescence-mBHI-p5,744,863
D10-e003Coalescence-mGAM-p5,1619,1891
B11-e003Assembly-mGAM-p5,1424,1610
B4-e003Coalescence-mGAM-p5,1494,1723
D4-e003Coalescence-mGAM-p5,1621,1887
B5-e003Coalescence-mGAM-p5,1595,1863
B5-e003Coalescence-Inoculumn-mBHI,527,567
C2-e003Coalescence-mGAM-p3,1013,1221
B5-e003Coalescence-mGAM-p7,1449,1681
E5-e004Assembly-mGAM-p7,1552,1826
D5-e003Coalescence-Inoculumn-mGAM,1608,1862
C4-e003Coalescence-mGAM-p5,1590,1864
C5-e003Coalescence-mGAM-p7,1602,1870
C5-e003Coalescence-mBHI-inoculumn-redo,1601,1855
D5-e003Coalescence-mBHI-p5,1596,1879
D4-e003Coalescence-mGAM-p7,1615,1880
E3-e004Assembly-mGAM-p7,1310,1555
C4-e003Coalescence-mGAM-p3,1617,1893
B2-e003Coalescence-Inoculumn-mGAM,1276,1495
D5-e003Coalescence-mGAM-p7,1104,1259
C5-e003Coalescence-mGAM-p3,1618,1880
A3-e003Coalescence-Inoculumn-mGAM,660,779
D10-e003Assembly-mGAM-p3,483,614
C3-e003Coalescence-mGAM-p5,1394,1707
C10-e003GlycerolRevival-mGAM-p2,1218,1429
A10-e003Coalescence-mGAM-p3,1625,1894
D11-e003Assembly-mGAM-p3,824,896
D5-e003Coalescence-Inoculumn-mBHI,1625,1897
B2-e003Coalescence-mGAM-p3,1558,1842
B4-e003Assembly-mBHI-p3,457,630
C11-e003Coalescence-mGAM-p5,1606,1876
D5-e004Assembly-mGAM-p7,1528,1834
D2-e003Coalescence-mGAM-p5,1623,1892
D3-e003Coalescence-mGAM-p3,1591,1850
D3-e003Coalescence-mGAM-p5,1625,1893
C10-e003Coalescence-mGAM-p3,1615,1893
A5-e003Coalescence-mBHI-inoculumn-redo,588,642
B11-e003Assembly-mGAM-p3,1289,1494
C3-e003Coalescence-Inoculumn-mGAM,1405,1641
A3-e003Coalescence-mGAM-p7,1456,1695
D4-e003Coalescence-Inoculumn-mBHI,1620,1895
D10-e003Coalescence-mGAM-p7,1621,1897
C12-e003Coalescence-mGAM-p3,1460,1700
C11-e003Coalescence-mGAM-p3,1625,1897
D5-e004Assembly-mGAM-p3,1532,1835
C10-e003Coalescence-mBHI-p7,1394,1665
C11-e003Coalescence-mBHI-p5,1503,1763
E3-e004Assembly-mGAM-p5,1530,1786
D10-e003Coalescence-mGAM-p3,1600,1875
C4-e004Assembly-mBHI-p3,501,575
C2-e003Coalescence-Inoculumn-mGAM,1527,1841
D11-e003Coalescence-mGAM-p7,1624,1891
D5-e003Coalescence-mGAM-p3,1623,1893
E4-e004Assembly-mGAM-p5,795,962
E5-e004Assembly-mGAM-p3,1387,1667
B4-e003Coalescence-Inoculumn-mGAM,1548,1816
A10-e003Coalescence-mGAM-p7,1567,1848
C4-e003Coalescence-Inoculumn-mGAM,1568,1835
D4-e003Coalescence-mGAM-p3,1625,1897
D11-e003Assembly-mGAM-p5,1028,1059
C3-e003Coalescence-mGAM-p7,1593,1868
B11-e003GlycerolRevival-mGAM-p2,1358,1582
B3-e003Coalescence-mGAM-p5,1485,1741
D3-e004Assembly-mGAM-p5,1506,1769
D4-e004Assembly-mGAM-p7,1512,1782
C11-e003Coalescence-mGAM-p7,1615,1892
C11-e003Assembly-mGAM-p3,1442,1625
D10-e003Coalescence-mBHI-p7,674,803
C11-e003Assembly-mGAM-p5,1572,1802
B10-e003GlycerolRevival-mGAM-p2,601,736
C2-e003Coalescence-mBHI-inoculumn-redo,1197,1460
A8-e003Coalescence-mGAM-p7,1006,1177
C11-e003GlycerolRevival-mGAM-p2,1512,1722
C10-e003Coalescence-mGAM-p5,1622,1896
A5-e003Coalescence-Inoculumn-mGAM,1609,1871
D4-e003Coalescence-Inoculumn-mGAM,754,859
