,C4-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
C4-e003Coalescence-Inoculumn-mGAM,1.0,-0.0
D4-e003Coalescence-mGAM-p3,0.357,0.622
D11-e003Assembly-mGAM-p5,0.06921719869248677,0.9171406399746811
C3-e003Coalescence-mGAM-p7,0.9988254201903439,0.0006827527842244189
B11-e003GlycerolRevival-mGAM-p2,0.01936275985283351,0.9791098363809296
B3-e003Coalescence-mGAM-p5,0.9914129090725696,0.008336447817133523
D3-e004Assembly-mGAM-p5,0.035946987522729054,0.02515849249529741
D4-e004Assembly-mGAM-p7,0.03031856144324466,0.022943027621586662
C11-e003Coalescence-mGAM-p7,0.808,0.182
C11-e003Assembly-mGAM-p3,0.011873294451044345,0.9834615969336039
D10-e003Coalescence-mBHI-p7,0.8715091013151438,0.12637729193059186
C11-e003Assembly-mGAM-p5,0.003037811706521448,0.9949582082542897
B10-e003GlycerolRevival-mGAM-p2,0.8378404967133467,0.15962005743863297
C2-e003Coalescence-mBHI-inoculumn-redo,0.9606428461343279,0.03300749359584651
A8-e003Coalescence-mGAM-p7,0.09816023855161474,0.1143354438408274
C11-e003GlycerolRevival-mGAM-p2,0.00611824904500709,0.9910484321493552
C10-e003Coalescence-mGAM-p5,0.9997129148430477,8.073640009926755e-05
A5-e003Coalescence-Inoculumn-mGAM,0.009444938003979162,0.722
D4-e003Coalescence-Inoculumn-mGAM,0.4,0.556
C10-e003Coalescence-mBHI-p5,0.9866402190877595,0.013117011643884277
C3-e003Coalescence-mBHI-inoculumn-redo,0.9987675657006903,0.0007182563692444152
e004-inoculumn-fecal-AR,0.08002270562250408,0.06334530529315882
B5-e003Coalescence-mGAM-p3,0.0373561908339431,0.9582680829859289
C2-e003Coalescence-mGAM-p5,0.9988400618359438,0.000699455677736569
B8-e003GlycerolRevival-mGAM-p2,0.18974114304234524,0.2056389545543552
C8-e003Coalescence-mBHI-p5,0.8,0.04284108629232886
B4-e003Coalescence-Inoculumn-mBHI,0.9988122129702616,0.0007098376870707287
D2-e003Coalescence-Inoculumn-mGAM,0.011035289990113493,0.741
D3-e003Coalescence-Inoculumn-mGAM,0.0005119180383902408,0.9987260265578227
C5-e003Coalescence-Inoculumn-mGAM,0.419,0.561
C4-e003Coalescence-mBHI-p5,0.9997227392505627,0.0001233716564870292
BC-Fecal,0.23315435133763185,0.279302807373282
e004-inoculumn-fecal-BE,0.20958745750611465,0.1809784436543322
A11-e003Coalescence-mBHI-p3,0.031985310498124926,0.231
A4-e003Coalescence-Inoculumn-mGAM,0.591,0.009136473622012472
C10-e003Coalescence-mGAM-p7,0.9998866471799138,1.689617498641969e-05
A11-e003Coalescence-mGAM-p3,0.0017785100177924236,0.9940055370025596
C10-e003Coalescence-mBHI-p3,0.9964950612065477,0.002695737713060506
H111-e003Coalescence-mGAM-p7_S188,5.8193706366931476e-05,0.9995770999068556
H4-e003Coalescence-mGAM-p7_S183,0.00024645399949985923,0.9992005843180544
F5-e003Coalescence-mGAM-p5_S64,0.0009932965743898782,0.9984616545014925
F5-e003Coalescence-mGAM-p7_S160,0.0027007291698529505,0.9959334142086457
E3-e003Coalescence-mGAM-p3_S58,0.9964950612065477,0.0025497565230118016
G4-e003Coalescence-mBHI-p5_S27,0.9996416573731268,9.206292430696219e-05
H111-e003Coalescence-mBHI-p3_S144,0.0006598528000759936,0.9983588634253584
G111-e003Coalescence-mGAM-p5_S80,0.762,0.214
G100-e003Coalescence-mGAM-p3_S179,0.9900356876104469,0.007059834734829967
G111-e003Coalescence-mBHI-p5_S32,0.996413022134708,0.002651719324479308
H2-e003Coalescence-mGAM-p7_S181,3.1879535302551456e-05,0.999837113061349
H2-e003Coalescence-mGAM-p5_S85,0.12242174981039451,0.8647871418425366
G8-e003Coalescence-mGAM-p3_S177,0.9993742972860197,0.0002504790640574244
F2-e003Coalescence-mGAM-p7_S157,0.992239595278863,0.007306464010606393
H3-e003Coalescence-mGAM-p3_S94,0.028171178945044038,0.968446554795917
H4-e003Coalescence-mGAM-p3_S95,0.33299999999999996,0.625
F3-e003Coalescence-mGAM-p3_S70,0.876004917735608,0.11296360565035005
H100-e003Coalescence-mGAM-p7_S187,0.817367638406817,0.16053546599137886
E100-e003Coalescence-mGAM-p3_S155,0.9990851257779211,0.00041543265695085285
E3-e003Coalescence-mGAM-p5_S50,0.9997535460005001,7.671910358913516e-05
F5-e003Coalescence-mGAM-p3_S72,0.1035415581363454,0.8772777560410615
H100-e003Coalescence-mBHI-p5_S43,0.9862719125800776,0.014076423777704794
F2-e003Coalescence-mGAM-p5_S61,0.9992169467935627,0.0001755313097739466
H8-e003Coalescence-mBHI-p7_S137,0.04301751546022488,0.04995939528666581
G8-e003Coalescence-mGAM-p5_S77,0.9994140951325164,0.00014099617884231908
G100-e003Coalescence-mBHI-p5_S31,0.9766305462502546,0.018227754506444344
H111-e003Coalescence-mGAM-p5_S92,0.00015185753368796476,0.9992077999066082
G4-e003Coalescence-mBHI-p3_S35,0.9992178716075246,0.000180980870255779
E8-e003Coalescence-mBHI-p7_S101,0.04094476815503778,0.03975364268459121
H2-e003Coalescence-mGAM-p3_S93,0.0014115003268362172,0.9973208914763089
E4-e003Coalescence-mGAM-p5_S51,0.8582663321813262,0.13034911109607358
E8-e003Coalescence-mGAM-p3_S153,0.9996130926183623,0.00012249660704716456
G111-e003Coalescence-mGAM-p3_S180,0.731,0.2375
G5-e003Coalescence-mGAM-p3_S84,0.038598940372145514,0.957198851071872
H8-e003Coalescence-mBHI-p5_S41,0.053751773169102464,0.06602112243748066
G100-e003Coalescence-mGAM-p7_S175,0.9644844780512382,0.03135099636738885
G5-e003Coalescence-mGAM-p5_S76,0.013487680312836507,0.9853468435478984
G5-e003Coalescence-mGAM-p7_S172,0.00042824488569802695,0.999108142304345
G4-e003Coalescence-mGAM-p5_S75,0.9997430849497162,3.866663279720973e-05
E5-e003Coalescence-mGAM-p3_S60,0.0030780014026625373,0.9941168043876417
G2-e003Coalescence-mGAM-p5_S73,0.9986756045674802,0.00047138622527336904
E5-e003Coalescence-mGAM-p7_S148,0.00010045959920896131,0.9996505436218072
E100-e003Coalescence-mGAM-p5_S55,0.994142600872745,0.00376104656419479
E8-e003Coalescence-mGAM-p5_S53,0.025367755764273477,0.030325626208838864
H5-e003Coalescence-mGAM-p3_S96,0.0005119180383902408,0.9983001623179921
G4-e003Coalescence-mGAM-p3_S83,0.998865984531296,0.000269440892421599
H3-e003Coalescence-mGAM-p7_S182,0.0013807847131331007,0.9972821805037664
H5-e003Coalescence-mGAM-p5_S88,0.00044361719909974666,0.9985610517724979
F4-e003Coalescence-mGAM-p5_S63,0.8772649668560326,0.1103806683053393
G4-e003Coalescence-mGAM-p7_S171,0.9986923279859603,0.0005586159143654337
