,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A2-e003Coalescence-mBHI-inoculumn-redo,14239,12991
D5-e003Coalescence-Inoculumn-mBHI,14239,12991
A5-e003Coalescence-Inoculumn-mBHI,14134,12822
A5-e003Coalescence-mBHI-inoculumn-redo,14237,12986
A5-e003Coalescence-mBHI-p3,14203,12972
A5-e003Coalescence-mBHI-p7,14236,12988
A5-e003Coalescence-mGAM-p3,14096,12919
D2-e003Coalescence-Inoculumn-mBHI,14239,12990
D2-e003Coalescence-mBHI-p3,14233,12989
D2-e003Coalescence-mBHI-p5,14224,12987
D2-e003Coalescence-mBHI-p7,14023,12865
D2-e003Coalescence-mGAM-p5,14217,12987
E5-e003Coalescence-mBHI-p3_S12,14195,12980
E5-e003Coalescence-mBHI-p5_S4,14082,12956
E5-e003Coalescence-mBHI-p7_S100,14019,12934
E5-e003Coalescence-mGAM-p3_S60,13480,12546
E5-e003Coalescence-mGAM-p5_S52,14064,12941
E5-e003Coalescence-mGAM-p7_S148,14132,12965
H2-e003Coalescence-mBHI-p3_S45,14208,12986
H2-e003Coalescence-mBHI-p7_S133,14179,12980
H2-e003Coalescence-mGAM-p3_S93,14119,12949
H2-e003Coalescence-mGAM-p5_S85,13200,12515
H2-e003Coalescence-mGAM-p7_S181,14162,12973
