,sample1,sample2,passage1,passage2,mesocosms,sel_med,sel_lower,sel_upper,shifts1,shifts2,initial_freqs
0,D2-e003Coalescence-Inoculumn-mBHI,D2-e003Coalescence-Inoculumn-mBHI,0,2,D2-AA-AF-mBHI-mBHI,,,,,,
1,D2-e003Coalescence-Inoculumn-mBHI,D2-e003Coalescence-Inoculumn-mBHI,0,4,D2-AA-AF-mBHI-mBHI,,,,,,
2,D2-e003Coalescence-Inoculumn-mBHI,D2-e003Coalescence-Inoculumn-mBHI,0,5,D2-AA-AF-mBHI-mBHI,,,,,,
3,A_D1_D2_AA_AF_mBHI_mBHI_2_S37,A_D1_D2_AA_AF_mBHI_mBHI_2_S37,2,4,D2-AA-AF-mBHI-mBHI,,,,,,
4,A_D1_D2_AA_AF_mBHI_mBHI_2_S37,A_D1_D2_AA_AF_mBHI_mBHI_2_S37,2,5,D2-AA-AF-mBHI-mBHI,,,,,,
5,A_D9_D2_AA_AF_mBHI_mBHI_4_S45,A_D9_D2_AA_AF_mBHI_mBHI_4_S45,4,5,D2-AA-AF-mBHI-mBHI,,,,,,
6,D2-e003Coalescence-Inoculumn-mBHI,D2-e003Coalescence-Inoculumn-mBHI,0,1,D2-AA-AF-mBHI-mGAM,,,,,,
7,D2-e003Coalescence-Inoculumn-mBHI,D2-e003Coalescence-Inoculumn-mBHI,0,2,D2-AA-AF-mBHI-mGAM,,,,,,
8,D2-e003Coalescence-Inoculumn-mBHI,D2-e003Coalescence-Inoculumn-mBHI,0,4,D2-AA-AF-mBHI-mGAM,,,,,,
9,D2-e003Coalescence-Inoculumn-mBHI,D2-e003Coalescence-Inoculumn-mBHI,0,5,D2-AA-AF-mBHI-mGAM,,,,,,
10,D2-e003Coalescence-mGAM-p1_S723,D2-e003Coalescence-mGAM-p1_S723,1,2,D2-AA-AF-mBHI-mGAM,,,,,,
11,D2-e003Coalescence-mGAM-p1_S723,D2-e003Coalescence-mGAM-p1_S723,1,4,D2-AA-AF-mBHI-mGAM,,,,,,
12,D2-e003Coalescence-mGAM-p1_S723,D2-e003Coalescence-mGAM-p1_S723,1,5,D2-AA-AF-mBHI-mGAM,,,,,,
13,A_H1_D2_AA_AF_mBHI_mGAM_2_S85,A_H1_D2_AA_AF_mBHI_mGAM_2_S85,2,4,D2-AA-AF-mBHI-mGAM,,,,,,
14,A_H1_D2_AA_AF_mBHI_mGAM_2_S85,A_H1_D2_AA_AF_mBHI_mGAM_2_S85,2,5,D2-AA-AF-mBHI-mGAM,,,,,,
15,A_H9_D2_AA_AF_mBHI_mGAM_4_S93,A_H9_D2_AA_AF_mBHI_mGAM_4_S93,4,5,D2-AA-AF-mBHI-mGAM,,,,,,
16,D2-e003Coalescence-Inoculumn-mBHI,D2-e003Coalescence-Inoculumn-mBHI,0,1,H2-AA-AF-mBHI-mBHI,,,,,,
17,D2-e003Coalescence-Inoculumn-mBHI,D2-e003Coalescence-Inoculumn-mBHI,0,2,H2-AA-AF-mBHI-mBHI,,,,,,
18,D2-e003Coalescence-Inoculumn-mBHI,D2-e003Coalescence-Inoculumn-mBHI,0,4,H2-AA-AF-mBHI-mBHI,,,,,,
19,D2-e003Coalescence-Inoculumn-mBHI,D2-e003Coalescence-Inoculumn-mBHI,0,5,H2-AA-AF-mBHI-mBHI,,,,,,
20,D2-e003Coalescence-Inoculumn-mBHI,D2-e003Coalescence-Inoculumn-mBHI,0,7,H2-AA-AF-mBHI-mBHI,,,,,,
21,H2-e003Coalescence-mBHI-p1_S783,H2-e003Coalescence-mBHI-p1_S783,1,2,H2-AA-AF-mBHI-mBHI,,,,,,
22,H2-e003Coalescence-mBHI-p1_S783,H2-e003Coalescence-mBHI-p1_S783,1,4,H2-AA-AF-mBHI-mBHI,,,,,,
23,H2-e003Coalescence-mBHI-p1_S783,H2-e003Coalescence-mBHI-p1_S783,1,5,H2-AA-AF-mBHI-mBHI,,,,,,
24,H2-e003Coalescence-mBHI-p1_S783,H2-e003Coalescence-mBHI-p1_S783,1,7,H2-AA-AF-mBHI-mBHI,,,,,,
25,B_D1_H2_AA_AF_mBHI_mBHI_2_S133,B_D1_H2_AA_AF_mBHI_mBHI_2_S133,2,4,H2-AA-AF-mBHI-mBHI,,,,,,
26,B_D1_H2_AA_AF_mBHI_mBHI_2_S133,B_D1_H2_AA_AF_mBHI_mBHI_2_S133,2,5,H2-AA-AF-mBHI-mBHI,,,,,,
27,B_D1_H2_AA_AF_mBHI_mBHI_2_S133,B_D1_H2_AA_AF_mBHI_mBHI_2_S133,2,7,H2-AA-AF-mBHI-mBHI,,,,,,
28,C_D9_H2_AA_AF_mBHI_mBHI_4_S237,C_D9_H2_AA_AF_mBHI_mBHI_4_S237,4,5,H2-AA-AF-mBHI-mBHI,,,,,,
29,C_D9_H2_AA_AF_mBHI_mBHI_4_S237,C_D9_H2_AA_AF_mBHI_mBHI_4_S237,4,7,H2-AA-AF-mBHI-mBHI,,,,,,
30,Coalescence-D5-H2-AA-AF-mBHI-mBHI-5_S660,Coalescence-D5-H2-AA-AF-mBHI-mBHI-5_S660,5,7,H2-AA-AF-mBHI-mBHI,,,,,,
31,D2-e003Coalescence-Inoculumn-mBHI,D2-e003Coalescence-Inoculumn-mBHI,0,1,H2-AA-AF-mBHI-mGAM,,,,,,
32,D2-e003Coalescence-Inoculumn-mBHI,D2-e003Coalescence-Inoculumn-mBHI,0,3,H2-AA-AF-mBHI-mGAM,,,,,,
33,D2-e003Coalescence-Inoculumn-mBHI,D2-e003Coalescence-Inoculumn-mBHI,0,4,H2-AA-AF-mBHI-mGAM,,,,,,
34,D2-e003Coalescence-Inoculumn-mBHI,D2-e003Coalescence-Inoculumn-mBHI,0,6,H2-AA-AF-mBHI-mGAM,,,,,,
35,D2-e003Coalescence-Inoculumn-mBHI,D2-e003Coalescence-Inoculumn-mBHI,0,7,H2-AA-AF-mBHI-mGAM,,,,,,
36,H2-e003Coalescence-mGAM-p1_S787,H2-e003Coalescence-mGAM-p1_S787,1,3,H2-AA-AF-mBHI-mGAM,,,,,,
37,H2-e003Coalescence-mGAM-p1_S787,H2-e003Coalescence-mGAM-p1_S787,1,4,H2-AA-AF-mBHI-mGAM,,,,,,
38,H2-e003Coalescence-mGAM-p1_S787,H2-e003Coalescence-mGAM-p1_S787,1,6,H2-AA-AF-mBHI-mGAM,,,,,,
39,H2-e003Coalescence-mGAM-p1_S787,H2-e003Coalescence-mGAM-p1_S787,1,7,H2-AA-AF-mBHI-mGAM,,,,,,
40,H2-e003Coalescence-mGAM-p3_S93,H2-e003Coalescence-mGAM-p3_S93,3,4,H2-AA-AF-mBHI-mGAM,,,,,,
41,H2-e003Coalescence-mGAM-p3_S93,H2-e003Coalescence-mGAM-p3_S93,3,6,H2-AA-AF-mBHI-mGAM,,,,,,
42,H2-e003Coalescence-mGAM-p3_S93,H2-e003Coalescence-mGAM-p3_S93,3,7,H2-AA-AF-mBHI-mGAM,,,,,,
43,C_H9_H2_AA_AF_mBHI_mGAM_4_S285,C_H9_H2_AA_AF_mBHI_mGAM_4_S285,4,6,H2-AA-AF-mBHI-mGAM,,,,,,
44,C_H9_H2_AA_AF_mBHI_mGAM_4_S285,C_H9_H2_AA_AF_mBHI_mGAM_4_S285,4,7,H2-AA-AF-mBHI-mGAM,,,,,,
45,D_H1_D2_AA_AF_mBHI_mGAM_6_S373,D_H1_D2_AA_AF_mBHI_mGAM_6_S373,6,7,H2-AA-AF-mBHI-mGAM,,,,,,
