,B3-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mBHI
B4-e003Coalescence-Inoculumn-mBHI,22.0,177.0
B4-e003Coalescence-mBHI-p3,8.0,41.0
B4-e003Coalescence-mGAM-p5,5.0,34.0
C3-e003Coalescence-mBHI-inoculumn-redo,26.0,152.0
C3-e003Coalescence-mBHI-p5,9.0,66.0
C3-e003Coalescence-mBHI-p7,39.0,250.0
C3-e003Coalescence-mGAM-p3,0.0,37.0
C3-e003Coalescence-mGAM-p5,0.0,32.0
C3-e003Coalescence-mGAM-p7,7.0,60.0
F4-e003Coalescence-mBHI-p3_S23,8.0,33.0
F4-e003Coalescence-mBHI-p5_S15,13.0,80.0
F4-e003Coalescence-mBHI-p7_S111,12.0,90.0
F4-e003Coalescence-mGAM-p3_S71,5.0,32.0
F4-e003Coalescence-mGAM-p7_S159,7.0,19.0
G3-e003Coalescence-mBHI-p3_S34,7.0,104.0
G3-e003Coalescence-mBHI-p5_S26,7.0,101.0
G3-e003Coalescence-mBHI-p7_S122,11.0,56.0
G3-e003Coalescence-mGAM-p3_S82,0.0,27.0
G3-e003Coalescence-mGAM-p5_S74,9.0,44.0
