,B3-e003Coalescence-Inoculumn-mGAM,B3-e003Coalescence-Inoculumn-mGAM
B10-e003Coalescence-mBHI-p3,6564.0,9428.0
B10-e003Coalescence-mBHI-p5,8440.0,11718.0
B10-e003Coalescence-mGAM-p3,6578.0,9499.0
B10-e003Coalescence-mGAM-p7,585.0,935.0
B4-e003Coalescence-Inoculumn-mGAM,17246.0,23661.0
C3-e003Coalescence-Inoculumn-mGAM,10557.0,15142.0
C9-e003Coalescence-mBHI-p3,13827.0,19211.0
C9-e003Coalescence-mBHI-p5,8479.0,12117.0
C9-e003Coalescence-mBHI-p7,4111.0,5780.0
C9-e003Coalescence-mGAM-p3,9421.0,13294.0
C9-e003Coalescence-mGAM-p5,6954.0,10399.0
C9-e003Coalescence-mGAM-p7,8115.0,11478.0
F100-e003Coalescence-mBHI-p7_S115,12579.0,17567.0
F100-e003Coalescence-mGAM-p3_S167,6254.0,8942.0
F100-e003Coalescence-mGAM-p5_S67,698.0,866.0
F100-e003Coalescence-mGAM-p7_S163,7375.0,10347.0
G9-e003Coalescence-mBHI-p3_S130,7205.0,9915.0
G9-e003Coalescence-mBHI-p5_S30,10742.0,15486.0
G9-e003Coalescence-mGAM-p3_S178,13726.0,19381.0
G9-e003Coalescence-mGAM-p5_S78,2657.0,3849.0
G9-e003Coalescence-mGAM-p7_S174,6703.0,9489.0
