,B3-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
B3-e003Coalescence-Inoculumn-mBHI,1409,439
C4-e003Coalescence-mBHI-inoculumn-redo,1409,439
B4-e003Coalescence-Inoculumn-mBHI,1407,439
B4-e003Coalescence-mBHI-p3,1394,428
B4-e003Coalescence-mGAM-p5,1406,433
C3-e003Coalescence-mBHI-inoculumn-redo,1409,438
C3-e003Coalescence-mBHI-p5,1399,429
C3-e003Coalescence-mBHI-p7,1408,436
C3-e003Coalescence-mGAM-p3,1409,439
C3-e003Coalescence-mGAM-p5,1407,437
C3-e003Coalescence-mGAM-p7,1409,439
F4-e003Coalescence-mBHI-p3_S23,1363,423
F4-e003Coalescence-mBHI-p5_S15,1392,435
F4-e003Coalescence-mBHI-p7_S111,1393,435
F4-e003Coalescence-mGAM-p3_S71,1403,437
F4-e003Coalescence-mGAM-p5_S63,1388,436
F4-e003Coalescence-mGAM-p7_S159,1397,436
G3-e003Coalescence-mBHI-p3_S34,1388,437
G3-e003Coalescence-mBHI-p5_S26,1408,438
G3-e003Coalescence-mBHI-p7_S122,1404,436
G3-e003Coalescence-mGAM-p3_S82,1386,432
G3-e003Coalescence-mGAM-p5_S74,1408,434
