,C4-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
A_C8_C11_AF_AE_mGAM_mBHI_2_S32,8607,8390
A_G8_C11_AF_AE_mGAM_mGAM_2_S80,8637,8386
B_C12_C11_AF_AE_mGAM_mBHI_4_S132,8648,8358
B_D11_D10_AE_AF_mGAM_mBHI_4_S143,8661,8327
B_D7_H10_AE_AF_mGAM_mBHI_2_S139,8681,8393
B_G12_C11_AF_AE_mGAM_mGAM_4_S180,8474,8317
B_G8_G11_AF_AE_mGAM_mGAM_2_S176,8603,8386
B_H11_D10_AE_AF_mGAM_mGAM_4_S191,8259,8174
B_H7_H10_AE_AF_mGAM_mGAM_2_S187,8651,8397
C11-e003Coalescence-mBHI-p1_S774,8274,8109
C11-e003Coalescence-mBHI-p3,8112,8020
C11-e003Coalescence-mBHI-p5,8690,8393
C11-e003Coalescence-mGAM-p1_S778,8494,8294
C11-e003Coalescence-mGAM-p3,8682,8399
C11-e003Coalescence-mGAM-p5,8692,8395
C11-e003Coalescence-mGAM-p7,8695,8398
C5-e003Coalescence-Inoculumn-mGAM,8697,8402
C_C8_C11_AF_AE_mGAM_mBHI_6_S224,8689,8382
C_D7_D10_AE_AF_mGAM_mBHI_6_S235,8691,8386
C_G8_C11_AF_AE_mGAM_mGAM_6_S272,8634,8389
C_H7_D10_AE_AF_mGAM_mGAM_6_S283,8627,8394
Coalescence-A10-C11-AE-AF-mGAM-mBHI-7_S629,8675,8351
Coalescence-F8-H10-AE-AF-mGAM-mGAM-3_S687,6730,6657
D10-e003Coalescence-mBHI-p3,8556,8331
D10-e003Coalescence-mBHI-p5,8431,8157
D10-e003Coalescence-mBHI-p7,8654,8345
D10-e003Coalescence-mGAM-p1_S771,8689,8400
D10-e003Coalescence-mGAM-p3,8689,8400
D10-e003Coalescence-mGAM-p5,8688,8395
D10-e003Coalescence-mGAM-p7,8688,8398
D4-e003Coalescence-Inoculumn-mGAM,8546,8279
D_C12_G11_AF_AE_mGAM_mBHI_4_S324,8693,8393
D_C8_C11_AF_AE_mGAM_mBHI_6_S320,8686,8381
D_D11_H10_AE_AF_mGAM_mBHI_4_S335,8686,8388
D_D6_D9_ACPP_AF_mGAM_mBHI_6_S330,8628,8354
D_D7_D10_AE_AF_mGAM_mBHI_6_S331,8682,8386
D_G12_G11_AF_AE_mGAM_mGAM_4_S372,8657,8399
D_G8_C11_AF_AE_mGAM_mGAM_6_S368,8676,8398
D_H11_H10_AE_AF_mGAM_mGAM_4_S383,6237,6036
D_H7_D10_AE_AF_mGAM_mGAM_6_S379,7231,6753
G11-e003Coalescence-mBHI-p1_S838,8552,8344
G11-e003Coalescence-mGAM-p1_S842,8663,8396
G111-e003Coalescence-mBHI-p5_S32,8664,8323
G111-e003Coalescence-mBHI-p7_S128,8480,8091
G111-e003Coalescence-mGAM-p3_S180,8634,8389
G111-e003Coalescence-mGAM-p5_S80,8596,8387
G111-e003Coalescence-mGAM-p7_S176,7169,7261
H10-e003Coalescence-mBHI-p1_S831,8641,8388
H10-e003Coalescence-mGAM-p1_S835,8652,8399
H100-e003Coalescence-mBHI-p5_S43,8642,8330
H100-e003Coalescence-mBHI-p7_S139,8656,8386
H100-e003Coalescence-mGAM-p5_S91,6559,6027
H100-e003Coalescence-mGAM-p7_S187,8391,8101
