,A2-e003Coalescence-mBHI-inoculumn-redo,B3-e003Coalescence-Inoculumn-mBHI
A3-e003Coalescence-mBHI-inoculumn-redo,3826,8610
A3-e003Coalescence-mBHI-p1_S724,6135,13400
A3-e003Coalescence-mBHI-p3,7357,15253
A3-e003Coalescence-mGAM-p1_S728,8824,18556
A3-e003Coalescence-mGAM-p7,8838,18627
A_A2_A3_ACPP_AA_mBHI_mBHI_2_S2,3084,6351
A_E10_A3_ACPP_AA_mBHI_mGAM_4_S58,8796,18563
A_E2_A3_ACPP_AA_mBHI_mGAM_2_S50,8523,17921
B2-e003Coalescence-Inoculumn-mBHI,8228,17607
B2-e003Coalescence-mBHI-p1_S717,5805,12414
B2-e003Coalescence-mBHI-p3,8459,17790
B2-e003Coalescence-mBHI-p5,5275,10898
B2-e003Coalescence-mGAM-p3,8637,18117
B_A2_E3_ACPP_AA_mBHI_mBHI_2_S98,8621,18028
B_E2_E3_ACPP_AA_mBHI_mGAM_2_S146,8835,18605
Coalescence-A6-B2-AA-ACPP-mBHI-mGAM-7_S625,8839,18627
Coalescence-B7-E3-AA-ACPP-mBHI-mBHI-7_S638,3914,7892
Coalescence-C5-A3-AA-ACPP-mBHI-mGAM-5_S648,8837,18625
Coalescence-D1-B2-AA-ACPP-mBHI-mGAM-5_S656,8839,18627
Coalescence-D7-A3-AA-ACPP-mBHI-mGAM-3_S662,8839,18621
E3-e003Coalescence-mBHI-p1_S788,2752,5808
E3-e003Coalescence-mBHI-p3_S10,7507,15605
E3-e003Coalescence-mBHI-p5_S2,8001,16491
E3-e003Coalescence-mGAM-p1_S792,8793,18406
E3-e003Coalescence-mGAM-p3_S58,8546,17918
E3-e003Coalescence-mGAM-p5_S50,8835,18592
E3-e003Coalescence-mGAM-p7_S146,8836,18618
F2-e003Coalescence-mBHI-p1_S781,2650,5752
F2-e003Coalescence-mBHI-p3_S21,6856,14178
F2-e003Coalescence-mBHI-p5_S13,8761,18332
F2-e003Coalescence-mGAM-p1_S785,8829,18590
F2-e003Coalescence-mGAM-p3_S69,8776,18422
F2-e003Coalescence-mGAM-p5_S61,8837,18592
F2-e003Coalescence-mGAM-p7_S157,8833,18583
