,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-Inoculumn-mBHI,9083,20558
A5-e003Coalescence-mBHI-inoculumn-redo,11724,26098
A5-e003Coalescence-mBHI-p1_S740,7807,16756
A5-e003Coalescence-mBHI-p7,11695,25585
A5-e003Coalescence-mGAM-p1_S744,9221,19727
A5-e003Coalescence-mGAM-p3,11866,26251
A_A12_A5_AF_AA_mBHI_mBHI_4_S12,11921,26354
A_A4_A5_AF_AA_mBHI_mBHI_2_S4,11345,24798
A_D1_D2_AA_AF_mBHI_mBHI_2_S37,11906,26393
A_D9_D2_AA_AF_mBHI_mBHI_4_S45,11912,26247
A_E12_A5_AF_AA_mBHI_mGAM_4_S60,11945,26427
A_E4_A5_AF_AA_mBHI_mGAM_2_S52,11938,26371
A_H1_D2_AA_AF_mBHI_mGAM_2_S85,11923,26353
A_H9_D2_AA_AF_mBHI_mGAM_4_S93,11946,26444
B_A4_E5_AF_AA_mBHI_mBHI_2_S100,11654,25497
B_D1_H2_AA_AF_mBHI_mBHI_2_S133,5053,10214
B_E4_E5_AF_AA_mBHI_mGAM_2_S148,11945,26438
C_D9_H2_AA_AF_mBHI_mBHI_4_S237,9135,19866
C_E4_A5_AF_AA_mBHI_mGAM_6_S244,11946,26438
C_H9_H2_AA_AF_mBHI_mGAM_4_S285,11923,26269
Coalescence-C7-A5-AA-AF-mBHI-mBHI-5_S650,11900,26255
Coalescence-D5-H2-AA-AF-mBHI-mBHI-5_S660,11926,26312
D2-e003Coalescence-Inoculumn-mBHI,11115,24824
D2-e003Coalescence-mBHI-p1_S719,6743,14524
D2-e003Coalescence-mBHI-p3,11848,26195
D2-e003Coalescence-mBHI-p5,11099,24506
D2-e003Coalescence-mGAM-p1_S723,11781,25945
D2-e003Coalescence-mGAM-p5,11938,26416
D_A4_A5_AF_AA_mBHI_mBHI_6_S292,11941,26423
D_E4_A5_AF_AA_mBHI_mGAM_6_S340,11946,26451
D_H1_D2_AA_AF_mBHI_mGAM_6_S373,11845,25991
E5-e003Coalescence-mBHI-p1_S804,6569,13907
E5-e003Coalescence-mBHI-p3_S12,10684,22809
E5-e003Coalescence-mBHI-p5_S4,11400,24805
E5-e003Coalescence-mBHI-p7_S100,10972,23877
E5-e003Coalescence-mGAM-p1_S808,11206,24334
E5-e003Coalescence-mGAM-p3_S60,11756,25734
E5-e003Coalescence-mGAM-p5_S52,11883,26148
E5-e003Coalescence-mGAM-p7_S148,11936,26408
H2-e003Coalescence-mBHI-p1_S783,4700,9797
H2-e003Coalescence-mBHI-p3_S45,11798,25823
H2-e003Coalescence-mBHI-p7_S133,11306,24527
H2-e003Coalescence-mGAM-p1_S787,11819,25983
H2-e003Coalescence-mGAM-p3_S93,11910,26216
H2-e003Coalescence-mGAM-p5_S85,8048,16297
H2-e003Coalescence-mGAM-p7_S181,11942,26414
