,A2-e003Coalescence-mBHI-inoculumn-redo,C4-e003Coalescence-mBHI-inoculumn-redo
A4-e003Coalescence-mBHI-inoculumn-redo,10806,24230
A4-e003Coalescence-mBHI-p7,9082,20140
A4-e003Coalescence-mGAM-p1_S736,10748,23923
A_A11_A4_AE_AA_mBHI_mBHI_4_S11,7384,15918
A_C1_C2_AA_AE_mBHI_mBHI_2_S25,10813,24221
A_C9_C2_AA_AE_mBHI_mBHI_4_S33,10762,23965
A_E11_A4_AE_AA_mBHI_mGAM_4_S59,10801,24164
A_E3_A4_AE_AA_mBHI_mGAM_2_S51,10815,24202
A_G1_C2_AA_AE_mBHI_mGAM_2_S73,10818,24243
A_G9_C2_AA_AE_mBHI_mGAM_4_S81,10817,24234
B_C1_G2_AA_AE_mBHI_mBHI_2_S121,10298,22765
B_E3_E4_AE_AA_mBHI_mGAM_2_S147,10814,24234
B_G1_G2_AA_AE_mBHI_mGAM_2_S169,10818,24243
C2-e003Coalescence-mBHI-inoculumn-redo,10762,24182
C2-e003Coalescence-mBHI-p3,6061,12762
C2-e003Coalescence-mGAM-p1_S722,10715,23801
C2-e003Coalescence-mGAM-p3,10475,23296
C2-e003Coalescence-mGAM-p5,10798,24183
C2-e003Coalescence-mGAM-p7,10816,24242
C_A11_E4_AE_AA_mBHI_mBHI_4_S203,10746,23848
C_E11_E4_AE_AA_mBHI_mGAM_4_S251,10808,24208
C_E3_A4_AE_AA_mBHI_mGAM_6_S243,10787,24118
C_G1_C2_AA_AE_mBHI_mGAM_6_S265,9588,20916
C_G9_G2_AA_AE_mBHI_mGAM_4_S273,10419,22898
Coalescence-C6-A4-AA-AE-mBHI-mGAM-5_S649,10817,24238
Coalescence-D8-A4-AA-AE-mBHI-mGAM-3_S663,10814,24218
D_E3_A4_AE_AA_mBHI_mGAM_6_S339,10809,24195
D_G1_C2_AA_AE_mBHI_mGAM_6_S361,10784,24215
E4-e003Coalescence-mBHI-p3_S11,2779,5815
E4-e003Coalescence-mBHI-p7_S99,2626,7036
E4-e003Coalescence-mGAM-p1_S800,4476,9110
E4-e003Coalescence-mGAM-p3_S59,10585,23413
E4-e003Coalescence-mGAM-p5_S51,10804,24132
E4-e003Coalescence-mGAM-p7_S147,10817,24223
G2-e003Coalescence-mBHI-p3_S33,4127,8545
G2-e003Coalescence-mGAM-p1_S786,10058,22154
G2-e003Coalescence-mGAM-p3_S81,10697,23760
G2-e003Coalescence-mGAM-p5_S73,10787,24031
