,B3-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
A_C10_C3_ACPP_AE_mBHI_mBHI_4_S34,7275,7833
A_G10_C3_ACPP_AE_mBHI_mGAM_4_S82,7707,8170
A_G2_C3_ACPP_AE_mBHI_mGAM_2_S74,7701,8153
B4-e003Coalescence-Inoculumn-mBHI,7690,8159
B4-e003Coalescence-mBHI-p1_S733,7431,7879
B4-e003Coalescence-mBHI-p3,7508,7974
B4-e003Coalescence-mGAM-p1_S737,7702,8173
B4-e003Coalescence-mGAM-p5,7702,8165
C3-e003Coalescence-mBHI-inoculumn-redo,7695,8146
C3-e003Coalescence-mBHI-p1_S726,7497,7977
C3-e003Coalescence-mBHI-p5,7560,8045
C3-e003Coalescence-mBHI-p7,7631,8128
C3-e003Coalescence-mGAM-p1_S730,7632,8130
C3-e003Coalescence-mGAM-p3,7708,8173
C3-e003Coalescence-mGAM-p5,7706,8172
C3-e003Coalescence-mGAM-p7,7708,8173
Coalescence-B9-G3-ACPP-AE-mBHI-mGAM-7_S640,7703,8159
Coalescence-D12-B4-ACPP-AE-mBHI-mGAM-3_S667,7708,8172
Coalescence-E4-C3-ACPP-AE-mBHI-mBHI-3_S671,7705,8172
F4-e003Coalescence-mBHI-p1_S797,6059,6547
F4-e003Coalescence-mBHI-p3_S23,6708,7322
F4-e003Coalescence-mBHI-p5_S15,7276,7847
F4-e003Coalescence-mBHI-p7_S111,7186,7619
F4-e003Coalescence-mGAM-p1_S801,7659,8120
F4-e003Coalescence-mGAM-p3_S71,7708,8173
F4-e003Coalescence-mGAM-p5_S63,7704,8172
F4-e003Coalescence-mGAM-p7_S159,7702,8171
G3-e003Coalescence-mBHI-p1_S790,7525,7997
G3-e003Coalescence-mBHI-p3_S34,7663,8155
G3-e003Coalescence-mBHI-p5_S26,7618,8156
G3-e003Coalescence-mBHI-p7_S122,7636,8143
G3-e003Coalescence-mGAM-p1_S794,7637,8109
G3-e003Coalescence-mGAM-p3_S82,7707,8172
G3-e003Coalescence-mGAM-p5_S74,7706,8142
