,A2-e003Coalescence-Inoculumn-mBHI,A2-e003Coalescence-Inoculumn-mGAM
C9-e003Coalescence-mGAM-p3,2751,2842
D11-e003Coalescence-mBHI-p5,2796,2876
C9-e003Coalescence-mGAM-p7,2767,2855
C8-e003Coalescence-mGAM-p7,2781,2884
F3-e004Assembly-epsilon-p3,2153,2233
B2-e003Coalescence-mBHI-p3,2738,2868
A8-e003Coalescence-mBHI-p3,2797,2907
e004-inoculumn-fecal-BD,2675,2761
A4-e003Coalescence-mBHI-p7,2659,2770
B9-e003Coalescence-mGAM-p5,2763,2855
A4-e003Coalescence-mBHI-inoculumn-redo,2674,2874
B3-e003Coalescence-mBHI-p3,2775,2870
C2-e003Coalescence-mBHI-p5,2113,2237
B3-e004Assembly-mBHI-p7,2719,2819
B5-e004Assembly-mBHI-p7,1020,1055
C4-e003GlycerolRevival-mBHI-p2,1794,1916
G5-e004Assembly-epsilon-p3,2778,2884
B2-e003Assembly-mBHI-p5,2577,2734
C3-e004Assembly-mBHI-p5,2648,2753
B2-e003Coalescence-mBHI-p5,2215,2503
B8-e003Assembly-mGAM-p5,2608,2641
C4-e003Coalescence-mGAM-p7,2061,2122
e004-inoculumn-fecal-AK,2782,2890
D3-e004Assembly-mGAM-p7,2067,2169
C8-e003Assembly-mGAM-p3,2814,2916
C3-e003Coalescence-mGAM-p3,2815,2920
D4-e004Assembly-mGAM-p5,2800,2905
D3-e003Coalescence-Inoculumn-mBHI,2818,2926
C8-e003Assembly-mGAM-p5,2032,2063
C3-e003Coalescence-mBHI-p7,2789,2888
D11-e003Coalescence-mGAM-p5,2784,2869
A11-e003Coalescence-mGAM-p7,2777,2879
C2-e003Coalescence-mGAM-p7,2815,2928
B11-e003Coalescence-mGAM-p3,2807,2912
B5-e003Assembly-mBHI-p5,1646,1723
D2-e003Coalescence-mBHI-p5,2620,2678
D8-e003Assembly-mGAM-p5,2747,2861
D5-e003Coalescence-mGAM-p5,2631,2726
A5-e003Coalescence-mGAM-p3,2818,2927
A2-e003Coalescence-Inoculumn-mGAM,2818,2928
D8-e003Coalescence-mGAM-p5,2818,2928
A12-e003Coalescence-mGAM-p3,2799,2911
C2-e003Coalescence-mBHI-p3,2780,2894
D9-e003Coalescence-mGAM-p7,2715,2829
D8-e003Assembly-mGAM-p3,2815,2922
E4-e004Assembly-mGAM-p7,2341,2460
B10-e003Coalescence-mGAM-p3,2741,2868
A9-e003Coalescence-mGAM-p7,1062,1122
B5-e003Coalescence-Inoculumn-mGAM,2769,2852
D5-e003Coalescence-mBHI-p3,2719,2825
D9-e003Coalescence-mGAM-p5,2796,2905
D10-e003Coalescence-mGAM-p5,927,963
C8-e003Coalescence-mBHI-p7,2384,2556
B11-e003Assembly-mGAM-p5,2714,2791
G3-e004Assembly-epsilon-p7,1999,2119
B4-e003Coalescence-mGAM-p5,2670,2785
D4-e003Coalescence-mGAM-p5,2774,2893
C3-e004Assembly-mBHI-p7,2721,2835
B5-e003Coalescence-mGAM-p5,2765,2873
BB-Fecal,2068,2160
B5-e003Coalescence-Inoculumn-mBHI,2769,2876
G3-e004Assembly-epsilon-p3,2188,2229
C2-e003Coalescence-mGAM-p3,1632,1804
B5-e003Coalescence-mGAM-p7,2781,2891
D8-e003Coalescence-mBHI-p5,2727,2735
F5-e004Assembly-epsilon-p5,1353,1380
D5-e003Coalescence-Inoculumn-mGAM,2791,2873
B3-e004Assembly-mBHI-p5,2116,2213
B5-e003Coalescence-mBHI-p3,902,905
C5-e003Coalescence-mGAM-p7,2796,2899
C5-e003Coalescence-mBHI-inoculumn-redo,2779,2894
A2-e003Coalescence-mBHI-p7,1846,1911
A10-e003Coalescence-mBHI-p5,1866,1992
BF-Fecal,2812,2922
AM-Fecal,2799,2901
B8-e003Assembly-mGAM-p3,2805,2904
A4-e003Coalescence-mGAM-p5,2771,2864
D5-e003Coalescence-mBHI-p5,2803,2921
D3-e003Assembly-mBHI-p3,1853,1858
e003-inoculumn-fecal-inoculumn,1040,1142
D4-e003Coalescence-mGAM-p7,2805,2912
