,D5-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mGAM
C9-e003Coalescence-mGAM-p3,393,2841
D11-e003Coalescence-mBHI-p5,397,2891
C9-e003Coalescence-mGAM-p7,396,2824
C8-e003Coalescence-mGAM-p7,402,2888
F3-e004Assembly-epsilon-p3,319,2174
B2-e003Coalescence-mBHI-p3,394,2850
A8-e003Coalescence-mBHI-p3,400,2885
e004-inoculumn-fecal-BD,385,2716
A4-e003Coalescence-mBHI-p7,382,2777
B9-e003Coalescence-mGAM-p5,388,2825
A4-e003Coalescence-mBHI-inoculumn-redo,398,2839
B3-e003Coalescence-mBHI-p3,396,2819
C2-e003Coalescence-mBHI-p5,307,2149
B3-e004Assembly-mBHI-p7,395,2752
B5-e004Assembly-mBHI-p7,144,1020
C4-e003GlycerolRevival-mBHI-p2,266,1868
G5-e004Assembly-epsilon-p3,402,2837
B2-e003Assembly-mBHI-p5,380,2705
C3-e004Assembly-mBHI-p5,381,2691
B2-e003Coalescence-mBHI-p5,306,2438
B8-e003Assembly-mGAM-p5,386,2732
C4-e003Coalescence-mGAM-p7,305,2101
e004-inoculumn-fecal-AK,401,2876
D3-e004Assembly-mGAM-p7,297,2099
C8-e003Assembly-mGAM-p3,403,2889
C3-e003Coalescence-mGAM-p3,403,2906
D4-e004Assembly-mGAM-p5,401,2875
D3-e003Coalescence-Inoculumn-mBHI,403,2913
C8-e003Assembly-mGAM-p5,295,2233
C3-e003Coalescence-mBHI-p7,390,2863
D11-e003Coalescence-mGAM-p5,399,2856
A11-e003Coalescence-mGAM-p7,397,2845
C2-e003Coalescence-mGAM-p7,403,2913
B11-e003Coalescence-mGAM-p3,401,2898
B5-e003Assembly-mBHI-p5,181,1503
D2-e003Coalescence-mBHI-p5,373,2716
D8-e003Assembly-mGAM-p5,394,2864
D5-e003Coalescence-mGAM-p5,361,2702
A5-e003Coalescence-mGAM-p3,403,2909
A2-e003Coalescence-Inoculumn-mGAM,402,2893
D8-e003Coalescence-mGAM-p5,402,2913
A12-e003Coalescence-mGAM-p3,400,2879
C2-e003Coalescence-mBHI-p3,395,2867
D9-e003Coalescence-mGAM-p7,398,2824
D8-e003Assembly-mGAM-p3,403,2892
E4-e004Assembly-mGAM-p7,321,2419
B10-e003Coalescence-mGAM-p3,398,2840
A9-e003Coalescence-mGAM-p7,147,1056
B5-e003Coalescence-Inoculumn-mGAM,392,2834
D5-e003Coalescence-mBHI-p3,386,2820
D9-e003Coalescence-mGAM-p5,400,2888
D10-e003Coalescence-mGAM-p5,127,982
C8-e003Coalescence-mBHI-p7,352,2519
B11-e003Assembly-mGAM-p5,387,2800
G3-e004Assembly-epsilon-p7,306,2078
B4-e003Coalescence-mGAM-p5,376,2716
D4-e003Coalescence-mGAM-p5,400,2889
C3-e004Assembly-mBHI-p7,399,2770
B5-e003Coalescence-mGAM-p5,392,2851
BB-Fecal,300,2248
B5-e003Coalescence-Inoculumn-mBHI,397,2839
G3-e004Assembly-epsilon-p3,310,2225
C2-e003Coalescence-mGAM-p3,258,1816
B5-e003Coalescence-mGAM-p7,388,2861
D8-e003Coalescence-mBHI-p5,381,2762
F5-e004Assembly-epsilon-p5,205,1363
D5-e003Coalescence-Inoculumn-mGAM,403,2913
B3-e004Assembly-mBHI-p5,307,2241
B5-e003Coalescence-mBHI-p3,98,865
C5-e003Coalescence-mGAM-p7,402,2885
