,B3-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mGAM
C9-e003Coalescence-mGAM-p3,22541,2179
D11-e003Coalescence-mBHI-p5,22878,2210
C9-e003Coalescence-mGAM-p7,22590,2169
C8-e003Coalescence-mGAM-p7,22829,2217
F3-e004Assembly-epsilon-p3,18000,1723
B2-e003Coalescence-mBHI-p3,22498,2170
A8-e003Coalescence-mBHI-p3,22888,2208
e004-inoculumn-fecal-BD,22097,2144
A4-e003Coalescence-mBHI-p7,21913,2118
B9-e003Coalescence-mGAM-p5,22709,2208
A4-e003Coalescence-mBHI-inoculumn-redo,22255,2172
B3-e003Coalescence-mBHI-p3,23049,2238
C2-e003Coalescence-mBHI-p5,17375,1697
B3-e004Assembly-mBHI-p7,22573,2168
B5-e004Assembly-mBHI-p7,8211,792
C4-e003GlycerolRevival-mBHI-p2,15207,1428
G5-e004Assembly-epsilon-p3,22838,2182
B2-e003Assembly-mBHI-p5,21630,2100
C3-e004Assembly-mBHI-p5,22096,2119
B2-e003Coalescence-mBHI-p5,18082,1764
B8-e003Assembly-mGAM-p5,21837,2112
C4-e003Coalescence-mGAM-p7,17214,1647
e004-inoculumn-fecal-AK,22858,2215
D3-e004Assembly-mGAM-p7,17177,1673
C8-e003Assembly-mGAM-p3,22920,2219
C3-e003Coalescence-mGAM-p3,23053,2236
D4-e004Assembly-mGAM-p5,22886,2207
D3-e003Coalescence-Inoculumn-mBHI,23053,2238
C8-e003Assembly-mGAM-p5,17413,1719
C3-e003Coalescence-mBHI-p7,22799,2203
D11-e003Coalescence-mGAM-p5,22720,2194
A11-e003Coalescence-mGAM-p7,22650,2199
C2-e003Coalescence-mGAM-p7,23042,2238
B11-e003Coalescence-mGAM-p3,23023,2235
B5-e003Assembly-mBHI-p5,12327,1374
D2-e003Coalescence-mBHI-p5,21252,2110
D8-e003Assembly-mGAM-p5,22710,2207
D5-e003Coalescence-mGAM-p5,21345,2107
A5-e003Coalescence-mGAM-p3,23037,2236
A2-e003Coalescence-Inoculumn-mGAM,22930,2220
D8-e003Coalescence-mGAM-p5,23047,2238
A12-e003Coalescence-mGAM-p3,22899,2221
C2-e003Coalescence-mBHI-p3,22756,2213
D9-e003Coalescence-mGAM-p7,22423,2167
D8-e003Assembly-mGAM-p3,22933,2220
E4-e004Assembly-mGAM-p7,19312,1881
B10-e003Coalescence-mGAM-p3,22596,2168
A9-e003Coalescence-mGAM-p7,8565,808
B5-e003Coalescence-Inoculumn-mGAM,22645,2183
D5-e003Coalescence-mBHI-p3,22261,2170
D9-e003Coalescence-mGAM-p5,22897,2210
D10-e003Coalescence-mGAM-p5,7459,794
C8-e003Coalescence-mBHI-p7,19796,1928
B11-e003Assembly-mGAM-p5,22258,2157
G3-e004Assembly-epsilon-p7,17105,1695
B4-e003Coalescence-mGAM-p5,21841,2108
D4-e003Coalescence-mGAM-p5,22811,2211
C3-e004Assembly-mBHI-p7,22763,2178
B5-e003Coalescence-mGAM-p5,22610,2206
BB-Fecal,16927,1678
B5-e003Coalescence-Inoculumn-mBHI,22691,2213
G3-e004Assembly-epsilon-p3,17931,1736
C2-e003Coalescence-mGAM-p3,14300,1435
B5-e003Coalescence-mGAM-p7,22798,2210
D8-e003Coalescence-mBHI-p5,21863,2142
F5-e004Assembly-epsilon-p5,11124,1041
D5-e003Coalescence-Inoculumn-mGAM,22839,2191
B3-e004Assembly-mBHI-p5,17870,1782
B5-e003Coalescence-mBHI-p3,5916,613
C5-e003Coalescence-mGAM-p7,22917,2219
C5-e003Coalescence-mBHI-inoculumn-redo,22759,2207
A2-e003Coalescence-mBHI-p7,14786,1474
A10-e003Coalescence-mBHI-p5,16093,1579
BF-Fecal,23017,2229
AM-Fecal,22838,2210
B8-e003Assembly-mGAM-p3,22887,2215
A4-e003Coalescence-mGAM-p5,22593,2183
D5-e003Coalescence-mBHI-p5,22945,2229
D3-e003Assembly-mBHI-p3,15152,1512
e003-inoculumn-fecal-inoculumn,11808,1235
D4-e003Coalescence-mGAM-p7,22952,2218
A8-e003Coalescence-mBHI-p7,22635,2197
e003-inoculumn-fecal-AC,22999,2226
C4-e003Coalescence-mGAM-p3,18900,1695
B2-e003Coalescence-Inoculumn-mGAM,22905,2219
C5-e003Coalescence-mGAM-p3,22825,2219
A3-e003Coalescence-mBHI-inoculumn-redo,14585,1476
D9-e003Assembly-mGAM-p5,8141,755
B12-e003Coalescence-mGAM-p3,12726,1204
A11-e003Coalescence-mBHI-p7,17209,1770
A3-e003Coalescence-Inoculumn-mGAM,22591,2197
C3-e003Coalescence-mGAM-p5,21845,2108
D3-e003Assembly-mBHI-p5,22910,2223
A10-e003Coalescence-mGAM-p3,23048,2238
A9-e003Coalescence-mBHI-p3,12449,1151
A2-e003Coalescence-Inoculumn-mBHI,22797,2220
D11-e003Assembly-mGAM-p3,18924,1899
D2-e003Assembly-mBHI-p3,22808,2218
B3-e003Assembly-mBHI-p5,18056,1774
D5-e003Coalescence-Inoculumn-mBHI,22949,2229
B2-e003Coalescence-mGAM-p3,22630,2188
C11-e003Coalescence-mGAM-p5,10635,1154
B3-e003Coalescence-Inoculumn-mBHI,23053,2238
A8-e003Coalescence-mBHI-p5,22262,2153
D5-e004Assembly-mGAM-p7,22853,2180
D5-e003Assembly-mBHI-p5,15111,1683
A5-e003Coalescence-mBHI-p7,22249,2193
BG-Fecal,22811,2145
D2-e003Coalescence-mGAM-p5,22953,2228
B9-e003Assembly-mGAM-p5,9337,889
D3-e003Coalescence-mGAM-p3,22357,2165
D9-e003Coalescence-mGAM-p3,22755,2193
D3-e003Coalescence-mGAM-p5,23022,2236
A5-e003Coalescence-mBHI-inoculumn-redo,22539,2175
B11-e003Assembly-mGAM-p3,18082,1747
B9-e003Coalescence-mGAM-p7,14211,1328
B11-e003Coalescence-mGAM-p7,20447,2000
C3-e003Coalescence-Inoculumn-mGAM,19342,1836
A3-e003Coalescence-mGAM-p7,23024,2236
D4-e003Coalescence-Inoculumn-mBHI,22974,2225
A4-e003Coalescence-mBHI-p5,22124,2153
B3-e003Coalescence-mBHI-p7,18000,1711
D10-e003Coalescence-mGAM-p7,21899,2138
C11-e003Coalescence-mGAM-p3,19558,1947
A10-e003Coalescence-mBHI-p7,20749,1994
C11-e003Coalescence-mBHI-p5,14627,1400
A2-e003Coalescence-mGAM-p7,22547,2195
F5-e004Assembly-epsilon-p3,22667,2164
E3-e004Assembly-mGAM-p5,12606,1242
E2-e004Assembly-mGAM-p5,18140,1783
C3-e003GlycerolRevival-mBHI-p2,22192,2155
D10-e003Coalescence-mGAM-p3,20642,2024
C4-e004Assembly-mBHI-p3,12057,1208
A9-e003Coalescence-mBHI-p7,18743,1772
C2-e003Coalescence-Inoculumn-mGAM,22873,2216
B3-e003Coalescence-Inoculumn-mGAM,23053,2238
D11-e003Coalescence-mGAM-p7,22415,2161
D5-e003Coalescence-mGAM-p3,23033,2235
E4-e004Assembly-mGAM-p5,22860,2206
D2-e003Coalescence-Inoculumn-mBHI,20642,2037
B4-e003Coalescence-Inoculumn-mGAM,21766,2096
B2-e003Assembly-mBHI-p3,22611,2198
C4-e003Coalescence-Inoculumn-mGAM,6983,804
D4-e003Coalescence-mGAM-p3,22961,2231
A2-e003Coalescence-mGAM-p5,22877,2217
D11-e003Assembly-mGAM-p5,9874,1145
