,B3-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mGAM
C5-e003Coalescence-mGAM-p3,0.8605712054830174,0.04694772117962467
A3-e003Coalescence-mBHI-inoculumn-redo,0.5802244393354444,0.04441644325290438
D9-e003Assembly-mGAM-p5,1.860929163232551e-05,0.33735478105451294
B12-e003Coalescence-mGAM-p3,0.0,0.5379803395889187
A11-e003Coalescence-mBHI-p7,0.5499395306467704,0.06410813226094728
A3-e003Coalescence-Inoculumn-mGAM,0.79065748492604,0.13603351206434317
C3-e003Coalescence-mGAM-p5,0.026184878323862407,0.9131291331546023
D3-e003Assembly-mBHI-p5,0.9937286687199063,0.0
A10-e003Coalescence-mGAM-p3,0.9053773478506052,0.033236818588025026
A9-e003Coalescence-mBHI-p3,0.23142124669240444,0.26673235031277925
A2-e003Coalescence-Inoculumn-mBHI,0.894992495553724,0.03266309204647006
D11-e003Assembly-mGAM-p3,0.6939870732659524,0.051321715817694374
D2-e003Assembly-mBHI-p3,0.8957059384895675,0.03299329758713137
B3-e003Assembly-mBHI-p5,0.7805204528694748,0.002979445933869526
D5-e003Coalescence-Inoculumn-mBHI,0.4543032577104932,0.18019079535299373
B2-e003Coalescence-mGAM-p3,0.8926208302607036,0.06799776586237713
C11-e003Coalescence-mGAM-p5,0.36693410835899887,0.032627345844504024
B3-e003Coalescence-Inoculumn-mBHI,0.8980051620179587,0.17334807864164434
A8-e003Coalescence-mBHI-p5,0.8779021385502971,0.034938784629133156
D5-e004Assembly-mGAM-p7,0.027216023944822802,0.3254781054512958
D5-e003Assembly-mBHI-p5,0.19704081898234502,0.1473011617515639
A5-e003Coalescence-mBHI-p7,0.8142800936971328,0.05633646112600537
BG-Fecal,0.04233223441634494,0.30132931188561213
D2-e003Coalescence-mGAM-p5,0.8985899449095562,0.034351206434316356
B9-e003Assembly-mGAM-p5,1.3013490651975882e-05,0.3972296693476318
D3-e003Coalescence-mGAM-p3,0.8745738515594499,0.036406166219839144
D9-e003Coalescence-mGAM-p3,0.0001665726803452913,0.9771626452189455
D3-e003Coalescence-mGAM-p5,0.5740583871947252,0.3822899910634495
A5-e003Coalescence-mBHI-inoculumn-redo,0.6947825879495078,0.08705049151027702
B11-e003Assembly-mGAM-p3,0.017586301132173687,0.2515638963360143
B9-e003Coalescence-mGAM-p7,0.0,0.5933869526362824
B11-e003Coalescence-mGAM-p7,0.0,0.8936550491510277
C3-e003Coalescence-Inoculumn-mGAM,0.12750626816466404,0.656920017873101
A3-e003Coalescence-mGAM-p7,0.9102440897063289,0.03029267202859696
D4-e003Coalescence-Inoculumn-mBHI,0.31156873291979353,0.22571447721179624
A4-e003Coalescence-mBHI-p5,0.8681058430573028,0.030831099195710455
B3-e003Coalescence-mBHI-p7,0.1233509738428838,0.6383744414655943
D10-e003Coalescence-mGAM-p7,0.8062812215329892,0.06172341376228776
C11-e003Coalescence-mGAM-p3,0.7158084414176029,0.05590929401251117
A10-e003Coalescence-mBHI-p7,0.8141709538888647,0.02680965147453083
C11-e003Coalescence-mBHI-p5,0.022404415911161237,0.19280518319928508
A2-e003Coalescence-mGAM-p7,0.8851961133041253,0.0290437890974084
