,B3-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
B10-e003Coalescence-mBHI-p3,18375,5549
B10-e003Coalescence-mBHI-p5,18383,5551
B10-e003Coalescence-mGAM-p3,18184,5525
B10-e003Coalescence-mGAM-p7,17524,5376
B4-e003Coalescence-Inoculumn-mGAM,18368,5550
C3-e003Coalescence-Inoculumn-mGAM,18323,5535
C9-e003Coalescence-mBHI-p3,18382,5551
C9-e003Coalescence-mBHI-p5,18384,5551
C9-e003Coalescence-mBHI-p7,18356,5540
C9-e003Coalescence-mGAM-p3,18216,5541
C9-e003Coalescence-mGAM-p5,18202,5532
C9-e003Coalescence-mGAM-p7,18177,5527
F100-e003Coalescence-mBHI-p7_S115,18385,5550
F100-e003Coalescence-mGAM-p3_S167,16999,5356
F100-e003Coalescence-mGAM-p5_S67,17558,5443
F100-e003Coalescence-mGAM-p7_S163,17972,5515
G9-e003Coalescence-mBHI-p3_S130,18253,5529
G9-e003Coalescence-mBHI-p5_S30,18387,5551
G9-e003Coalescence-mGAM-p3_S178,18163,5532
G9-e003Coalescence-mGAM-p5_S78,17723,5479
G9-e003Coalescence-mGAM-p7_S174,17974,5510
