,A2-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mBHI
A3-e003Coalescence-mBHI-inoculumn-redo,21295,4234
A3-e003Coalescence-mBHI-p3,21412,4262
A3-e003Coalescence-mGAM-p7,21151,4130
B2-e003Coalescence-Inoculumn-mBHI,21279,4238
B2-e003Coalescence-mBHI-p3,21412,4262
B2-e003Coalescence-mBHI-p5,21305,4219
B2-e003Coalescence-mBHI-p7,21111,4133
B2-e003Coalescence-mGAM-p3,21308,4228
E3-e003Coalescence-mBHI-p3_S10,21392,4258
E3-e003Coalescence-mBHI-p5_S2,21405,4260
E3-e003Coalescence-mGAM-p3_S58,21292,4221
E3-e003Coalescence-mGAM-p5_S50,21287,4209
E3-e003Coalescence-mGAM-p7_S146,21343,4232
F2-e003Coalescence-mBHI-p3_S21,21403,4259
F2-e003Coalescence-mBHI-p5_S13,21409,4261
F2-e003Coalescence-mBHI-p7_S109,13376,2348
F2-e003Coalescence-mGAM-p3_S69,21262,4190
F2-e003Coalescence-mGAM-p5_S61,21212,4152
F2-e003Coalescence-mGAM-p7_S157,21270,4202
