,A2-e003Coalescence-Inoculumn-mGAM,B3-e003Coalescence-Inoculumn-mGAM
A3-e003Coalescence-Inoculumn-mGAM,11124,9815
A9-e003Coalescence-mBHI-p3,11241,9876
A9-e003Coalescence-mBHI-p5,11229,9833
A9-e003Coalescence-mBHI-p7,11244,9869
A9-e003Coalescence-mGAM-p5,11203,9812
A9-e003Coalescence-mGAM-p7,11162,9754
B2-e003Coalescence-Inoculumn-mGAM,11195,9852
B8-e003Coalescence-mBHI-p5,11244,9862
B8-e003Coalescence-mBHI-p7,11229,9845
B8-e003Coalescence-mGAM-p5,11189,9756
B8-e003Coalescence-mGAM-p7,11199,9816
E9-e003Coalescence-mBHI-p5_S6,11223,9826
E9-e003Coalescence-mBHI-p7_S102,11220,9821
E9-e003Coalescence-mGAM-p3_S154,11180,9799
E9-e003Coalescence-mGAM-p5_S54,11035,9571
F8-e003Coalescence-mBHI-p3_S117,11210,9814
F8-e003Coalescence-mBHI-p5_S17,11232,9826
F8-e003Coalescence-mBHI-p7_S113,11170,9759
F8-e003Coalescence-mGAM-p5_S65,11056,9588
F8-e003Coalescence-mGAM-p7_S161,10981,9550
