,A2-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
A4-e003Coalescence-mBHI-inoculumn-redo,19772,12008
A4-e003Coalescence-mBHI-p3,19753,11990
A4-e003Coalescence-mBHI-p5,19774,12004
A4-e003Coalescence-mBHI-p7,19763,12003
A4-e003Coalescence-mGAM-p5,19538,11880
C2-e003Coalescence-mBHI-inoculumn-redo,19775,12008
C2-e003Coalescence-mBHI-p3,19750,11991
C2-e003Coalescence-mBHI-p5,19757,11999
C2-e003Coalescence-mBHI-p7,19454,11762
C2-e003Coalescence-mGAM-p3,19655,11923
C2-e003Coalescence-mGAM-p5,19734,11970
C2-e003Coalescence-mGAM-p7,19766,11991
E4-e003Coalescence-mBHI-p3_S11,19767,12000
E4-e003Coalescence-mBHI-p5_S3,19776,12005
E4-e003Coalescence-mBHI-p7_S99,19626,11959
E4-e003Coalescence-mGAM-p3_S59,19580,11855
E4-e003Coalescence-mGAM-p5_S51,18767,11531
E4-e003Coalescence-mGAM-p7_S147,19219,11765
G2-e003Coalescence-mBHI-p3_S33,19725,11986
G2-e003Coalescence-mBHI-p5_S25,19749,11987
G2-e003Coalescence-mBHI-p7_S121,19677,11940
G2-e003Coalescence-mGAM-p3_S81,19643,11887
G2-e003Coalescence-mGAM-p5_S73,19750,11940
