,A2-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-Inoculumn-mBHI,10375,8976
A5-e003Coalescence-mBHI-inoculumn-redo,10480,9056
A5-e003Coalescence-mBHI-p3,10420,8986
A5-e003Coalescence-mBHI-p7,10479,9046
A5-e003Coalescence-mGAM-p3,10435,8998
D2-e003Coalescence-Inoculumn-mBHI,10454,9046
D2-e003Coalescence-mBHI-p3,10482,9048
D2-e003Coalescence-mBHI-p5,10476,9042
D2-e003Coalescence-mBHI-p7,7083,6091
D2-e003Coalescence-mGAM-p5,10467,9042
E5-e003Coalescence-mBHI-p3_S12,10478,9041
E5-e003Coalescence-mBHI-p5_S4,10460,9011
E5-e003Coalescence-mBHI-p7_S100,10448,9014
E5-e003Coalescence-mGAM-p3_S60,10260,8885
E5-e003Coalescence-mGAM-p5_S52,10405,8992
E5-e003Coalescence-mGAM-p7_S148,10462,9041
H2-e003Coalescence-mBHI-p3_S45,10466,9035
H2-e003Coalescence-mBHI-p7_S133,10463,9033
H2-e003Coalescence-mGAM-p3_S93,10418,8982
H2-e003Coalescence-mGAM-p5_S85,9467,8149
H2-e003Coalescence-mGAM-p7_S181,10484,9054
