,A2-e003Coalescence-mBHI-inoculumn-redo,C4-e003Coalescence-mBHI-inoculumn-redo
A2-e003Coalescence-mBHI-inoculumn-redo,5751,5881
C4-e003Coalescence-mBHI-inoculumn-redo,5751,5881
A4-e003Coalescence-mBHI-inoculumn-redo,5751,5881
A4-e003Coalescence-mBHI-p3,5689,5842
A4-e003Coalescence-mBHI-p5,5744,5879
A4-e003Coalescence-mBHI-p7,5736,5872
C2-e003Coalescence-mBHI-inoculumn-redo,5749,5879
C2-e003Coalescence-mBHI-p3,5742,5880
C2-e003Coalescence-mBHI-p5,5662,5820
C2-e003Coalescence-mBHI-p7,1453,1465
C2-e003Coalescence-mGAM-p7,5516,5612
E4-e003Coalescence-mBHI-p3_S11,5718,5865
E4-e003Coalescence-mBHI-p5_S3,5739,5871
E4-e003Coalescence-mBHI-p7_S99,5656,5820
G2-e003Coalescence-mBHI-p3_S33,5730,5863
G2-e003Coalescence-mBHI-p5_S25,5738,5877
G2-e003Coalescence-mBHI-p7_S121,5026,5219
