genome_id,genome_name,rep_genome,length,contigs,species_id
404380.4,Geobacter bemidjiensis Bem,1,4615150,0,Geobacter_bremensis_58071
192.7,Azospirillum brasilense Sp245,1,7530241,0,Azospirillum_brasilense_58073
1330040.3,Rhodococcus rhodochrous ATCC 17895,1,6768480,283,Rhodococcus_erythropolis_58072
1121016.3,Arhodomonas aquaeolei DSM 8974,1,3941225,53,Arhodomonas_aquaeolei_58707
1121014.3,Arenimonas donghaensis DSM 18148 = HO3-R19,1,2977060,51,Arenimonas_donghaensis_58706
1128204.3,Bradyrhizobium elkanii CCBAU 43297,1,9303462,588,Bradyrhizobium_elkanii_58218
1346614.3,Serratia liquefaciens ATCC 27592,1,5282719,0,Serratia_liquefaciens_58210
37372.4,Helicobacter bilis ATCC 51630,1,2485594,542,Helicobacter_bilis_58212
1583100.3,Myroides sp. A21,1,4155464,1,Myroides_odoratimimus_58215
745408.3,Rhodococcus sp. JVH1,1,9140131,141,Rhodococcus_opacus_58217
992023.3,Helicobacter pylori NQ4216,1,1655890,13,Helicobacter_pylori_58216
310037.4,Acaryochloris sp. CCMEE 5410,1,7836399,464,Acaryochloris_sp_61175
1229785.3,Burkholderia pseudomallei BPC006,1,7155061,0,Burkholderia_pseudomallei_54177
67332.3,Streptomyces mutabilis,1,7829170,39,Streptomyces_mutabilis_62089
673266.4,Pseudomonas syringae pv. syringae 642,1,5758379,230,Pseudomonas_syringae_62088
671143.5,Candidatus Methylomirabilis oxyfera,1,2752854,0,Methylomirabilis_oxyfera_62085
670487.3,Oceanithermus profundus DSM 14977,1,2439291,0,Oceanithermus_profundus_62084
67263.19,Streptomyces griseus subsp. griseus,1,9889720,265,Streptomyces_griseus_62087
67257.8,Streptomyces albus subsp. albus,1,8322460,100,Streptomyces_baarnensis_54275
66875.3,Streptomyces catenulae,1,7046910,91,Streptomyces_catenulae_62081
66869.3,Streptomyces atroolivaceus,1,8216210,106,Streptomyces_atroolivaceus_62080
670307.3,Hyphomicrobium denitrificans 1NES1,1,3818886,38,Hyphomicrobium_denitrificans_62083
670292.3,Microvirga aerilata,1,5655740,80,Microvirga_aerilata_62082
294.93,Pseudomonas fluorescens MEP34,1,5914240,58,Pseudomonas_fluorescens_61155
1123228.4,Saccharospirillum impatiens DSM 12546,1,4730864,150,Saccharospirillum_impatiens_59038
1123229.3,Salinarimonas rosea DSM 21201,1,5240571,57,Salinarimonas_rosea_59039
1123073.3,Rudaea cellulosilytica DSM 22992,1,4343079,7,Rudaea_cellulosilytica_59032
1123075.3,Ruminococcus gauvreauii DSM 19829,1,4092452,70,Ruminococcus_gauvreauii_59033
1123070.3,Rubritalea marina DSM 17716,1,3008886,30,Rubritalea_marina_59030
1123072.3,Rubritepida flocculans DSM 14296,1,3829297,72,Rubritepida_flocculans_59031
1123226.3,Saccharibacillus kuerlensis DSM 22868,1,4696981,57,Saccharibacillus_kuerlensis_59036
1123227.4,Saccharibacter floricola DSM 15669,1,2344840,36,Saccharibacter_floricola_59037
1123077.3,Runella limosa DSM 17973,1,7513768,102,Runella_limosa_59034
1123078.3,Runella zeae DSM 19591,1,7574558,103,Runella_zeae_59035
888063.3,Enterobacter hormaechei ATCC 49162,1,4799570,79,Enterobacter_hormaechei_50416
138074.4,Serratia symbiotica,1,3581747,32,Serratia_symbiotica_55338
1158150.3,Thioalkalivibrio sp. ALD1,1,2643800,15,Thioalkalivibrio_sp_55622
665577.3,Streptomyces viridosporus T7A,1,8261238,142,Streptomyces_viridosporus_52813
1392839.3,Bordetella trematum CCUG 13902,1,4453064,65,Bordetella_trematum_52818
1577905.3,Tateyamaria sp. ANG-S1,1,4425579,32,Tateyamaria_sp_60902
1579316.3,Halocynthiibacter sp. PAMC 20958,1,4771100,161,Halocynthiibacter_sp_60903
1577903.3,Ruegeria sp. ANG-R,1,4684550,41,Ruegeria_sp_60900
1577904.3,Ruegeria sp. ANG-S4,1,4538199,20,Ruegeria_sp_60901
158190.3,Sphaerochaeta pleomorpha str. Grapes,1,3590853,0,Sphaerochaeta_pleomorpha_60906
1582223.3,Sporosarcina sp. ZBG7A,1,3534579,78,Sporosarcina_sp_60907
1579504.3,Shewanella sp. ECSMB14102,1,4412445,154,Shewanella_sp_60904
158189.3,Sphaerochaeta globosa str. Buddy,1,3316466,0,Sphaerochaeta_globosa_60905
1585974.3,Clostridiaceae bacterium GM1,1,2850586,6,Clostridiaceae_bacterium_60908
1587522.3,Rhodococcus sp. MEB064,1,4664255,81,Rhodococcus_sp_60909
319003.3,Bradyrhizobium sp. WSM1253,1,8712908,71,Bradyrhizobium_sp_61233
318586.5,Paracoccus denitrificans PD1222,1,5236194,0,Paracoccus_denitrificans_61232
318464.3,Clostridium sulfidigenes,1,3717420,96,Clostridium_sulfidigenes_61231
318424.3,Mycobacterium rufum JS14,1,6176413,4,Mycobacterium_rufum_61230
31964.6,Clavibacter michiganensis subsp. sepedonicus,1,3403786,0,Clavibacter_michiganensis_61237
319236.3,Nonlabens sediminis,1,2935760,22,Nonlabens_sediminis_61236
319225.5,Chlorobium luteolum DSM 273,1,2364842,0,Chlorobium_luteolum_61235
319017.3,Bradyrhizobium sp. WSM471,1,7783916,2,Bradyrhizobium_sp_61234
