,C4-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-mBHI-inoculumn-redo
C12-e003Coalescence-mBHI-p3,0.9866412121613155,0.064
C9-e003Coalescence-mGAM-p3,0.751,0.56
B5-e004Assembly-mBHI-p3,0.353,0.75
C11-e003Coalescence-mBHI-p3,0.953,0.062000000000000055
D11-e003Coalescence-mBHI-p5,0.944,0.004825043333363085
C9-e003Coalescence-mGAM-p7,0.344,0.858
C8-e003Coalescence-mGAM-p7,0.42500000000000004,0.78
D10-e003Coalescence-mBHI-p3,0.944,0.102
F3-e004Assembly-epsilon-p3,0.9631395356265305,0.03981446419028711
B2-e003Coalescence-mBHI-p3,0.8841528262548102,0.1520446769219534
A8-e003Coalescence-mBHI-p3,0.608,0.0037479987939951598
A4-e003Coalescence-mBHI-p7,0.9909397664879706,0.017365844910933192
B9-e003Coalescence-mGAM-p5,0.944,0.0008506530930636894
A4-e003Coalescence-mBHI-inoculumn-redo,0.17500000000000004,0.9390000000000001
B3-e003Coalescence-mBHI-p3,0.9972976943195602,0.002205544084245946
D4-e003Coalescence-mBHI-p5,0.655,0.566
C2-e003Coalescence-mBHI-p5,0.9420764131274051,0.09524930129629629
B3-e004Assembly-mBHI-p7,0.9942933333504649,0.0037993005305844057
B5-e004Assembly-mBHI-p7,0.271,0.8
D4-e003Coalescence-mBHI-p3,0.506,0.712
C4-e003GlycerolRevival-mBHI-p2,0.998705680926853,0.002362931284041802
C5-e004Assembly-mBHI-p3,0.257,0.833
D10-e003Assembly-mGAM-p5,0.969,0.039
C3-e004Assembly-mBHI-p5,0.9910941414408769,0.005943683564285517
B8-e003Assembly-mGAM-p5,0.571,0.006769815387718236
F4-e004Assembly-epsilon-p5,0.9265266668872352,0.0752785523028472
C4-e003Coalescence-mGAM-p7,0.848,0.32399999999999995
B12-e003Coalescence-mBHI-p3,0.9,0.025162029419989816
D3-e004Assembly-mGAM-p7,0.9974106314321493,0.0017678228571528305
C8-e003Assembly-mGAM-p3,0.5,0.013632267108818381
C3-e003Coalescence-mGAM-p3,0.562,0.688
B4-e003Assembly-mBHI-p5,0.369,0.9932851263596222
D4-e004Assembly-mGAM-p5,0.9951017777924823,0.002923252419615189
D3-e003Coalescence-Inoculumn-mBHI,0.783,0.039
C8-e003Assembly-mGAM-p5,0.692,0.04294375848498887
C3-e003Coalescence-mBHI-p7,0.443,0.924
