,C4-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-mBHI-inoculumn-redo
E5-e004Assembly-mGAM-p7,0.3491111111111111,0.4891561110314158
C10-e003Assembly-mGAM-p3,0.9885555555555556,0.23115460479127814
B10-e003Coalescence-mBHI-p5,0.6380000000000001,0.4193295438244154
D5-e003Coalescence-Inoculumn-mGAM,0.6056666666666667,0.2391361712810214
B3-e004Assembly-mBHI-p5,0.661,0.25330755989097686
B5-e003Coalescence-mBHI-p3,0.7536666666666666,0.21922392770047341
G4-e004Assembly-epsilon-p5,0.6666666666666666,0.23545592454454164
C4-e003Coalescence-mGAM-p5,0.3891111111111111,0.8869515851384308
C5-e003Coalescence-mGAM-p7,0.4385555555555556,0.6641151915076746
C5-e003Coalescence-mBHI-inoculumn-redo,0.49444444444444446,0.5645063835891552
A2-e003Coalescence-mBHI-p7,0.1111111111111111,0.09659880218046192
A10-e003Coalescence-mBHI-p5,0.48655555555555563,0.36891600918089223
B8-e003Assembly-mGAM-p3,0.3413333333333333,0.24802589298522448
A4-e003Coalescence-mGAM-p5,0.6664444444444445,0.24575652704059672
D5-e003Coalescence-mBHI-p5,0.19888888888888887,0.9876770908047625
D4-e003Coalescence-mGAM-p7,0.4993333333333333,0.5449774422607948
E4-e004Assembly-mGAM-p3,0.6613333333333333,0.27805415291923685
A8-e003Coalescence-mBHI-p7,0.3954444444444445,0.26671263089944053
E3-e004Assembly-mGAM-p7,0.6611111111111111,0.25500315593171713
B9-e003GlycerolRevival-mGAM-p2,0.6731111111111111,0.24099827858269976
C4-e003Coalescence-mGAM-p3,0.6841111111111111,0.5574505809783389
B2-e003Coalescence-Inoculumn-mGAM,0.47977777777777775,0.25391482570649837
D5-e003Coalescence-mGAM-p7,0.6444444444444444,0.2423821187777937
C5-e003Coalescence-mBHI-p5,0.332,0.7968990101850525
C5-e003Coalescence-mGAM-p3,0.33899999999999997,0.8582125233108593
D9-e003Assembly-mGAM-p5,0.3333333333333333,0.15010618992970878
B12-e003Coalescence-mGAM-p3,0.6571111111111111,0.23990489169416154
A11-e003Coalescence-mBHI-p7,0.5762222222222222,0.25602951513412714
A3-e003Coalescence-Inoculumn-mGAM,0.45433333333333337,0.2529321833309425
D10-e003Assembly-mGAM-p3,0.9582222222222221,0.22349870893702484
C3-e003Coalescence-mGAM-p5,0.3053333333333333,0.912764632047052
B4-e004Assembly-mBHI-p5,0.6601111111111111,0.28188624300674225
C10-e003GlycerolRevival-mGAM-p2,1.0,0.1672768612824559
D3-e003Assembly-mBHI-p5,0.5555555555555556,0.08768297231387176
A10-e003Coalescence-mGAM-p3,0.33588888888888885,0.9586872758571223
A9-e003Coalescence-mBHI-p3,0.6884444444444444,0.243295581695596
A2-e003Coalescence-Inoculumn-mBHI,0.41255555555555556,0.231689965571654
D3-e003Coalescence-mBHI-p7,0.6562222222222222,0.24188236981781672
C3-e003Coalescence-mBHI-p5,0.30244444444444446,0.854824236121073
D11-e003Assembly-mGAM-p3,0.6695555555555556,0.24042995983359639
D2-e003Assembly-mBHI-p3,0.37333333333333335,0.24350247453736912
A9-e003Coalescence-mBHI-p5,0.6649999999999999,0.24140474824271985
D5-e003Coalescence-Inoculumn-mBHI,0.6701111111111112,0.25901204992110166
B2-e003Coalescence-mGAM-p3,0.915888888888889,0.16908051212164685
B4-e003Assembly-mBHI-p3,0.7272222222222221,0.483900086070865
C11-e003Coalescence-mGAM-p5,0.5646666666666668,0.44673181752976615
G4-e004Assembly-epsilon-p3,0.6666666666666666,0.2702578181035719
B3-e003Coalescence-Inoculumn-mBHI,0.8888888888888888,0.1630090374408263
A8-e003Coalescence-mBHI-p5,0.3327777777777778,0.26346697030555155
D5-e004Assembly-mGAM-p7,0.17666666666666667,0.535687670348587
D9-e003Coalescence-mBHI-p3,0.6833333333333333,0.22252929995696455
D5-e003Assembly-mBHI-p5,0.6913333333333332,0.24142077894132835
A5-e003Coalescence-mBHI-p7,0.5998888888888889,0.23793146607373403
BG-Fecal,0.18522222222222223,0.20050060966862718
D2-e003Coalescence-mGAM-p5,0.6288888888888889,0.25103055515707934
B9-e003Assembly-mGAM-p5,0.6752222222222222,0.23393358198249892
D3-e003Coalescence-mGAM-p3,0.46844444444444444,0.6123634700903744
D9-e003Coalescence-mGAM-p3,0.6686666666666666,0.24426344857265814
D3-e003Coalescence-mGAM-p5,0.6784444444444444,0.2704134629178023
C10-e003Coalescence-mGAM-p3,0.5954444444444446,0.777976258786401
A5-e003Coalescence-mBHI-inoculumn-redo,0.6251111111111111,0.2589638502366949
B11-e003Assembly-mGAM-p3,0.7222222222222222,0.23789624874479987
B9-e003Coalescence-mGAM-p7,0.7068888888888889,0.24088430641227943
B11-e003Coalescence-mGAM-p7,0.7152222222222222,0.23473486587290202
C3-e003Coalescence-Inoculumn-mGAM,0.702,0.37321155501362785
B5-e003Coalescence-mBHI-p7,0.6592222222222222,0.24028912638072009
A3-e003Coalescence-mGAM-p7,0.9152222222222223,0.18805139147898436
D4-e003Coalescence-Inoculumn-mBHI,0.49211111111111117,0.5757290560895137
A4-e003Coalescence-mBHI-p5,0.8813333333333334,0.15883417013340986
B3-e003Coalescence-mBHI-p7,0.8888888888888888,0.14234507244297803
D10-e003Coalescence-mGAM-p7,0.5902222222222222,0.4224381724286329
C12-e003Coalescence-mGAM-p3,0.5661111111111111,0.46299128532491746
C11-e003Coalescence-mGAM-p3,0.5932222222222223,0.46589434801319757
D5-e004Assembly-mGAM-p3,0.26744444444444443,0.4479444842920671
A10-e003Coalescence-mBHI-p7,0.37622222222222224,0.42883847367666045
C10-e003Coalescence-mBHI-p7,0.7646666666666666,0.5833230167838187
B9-e003Coalescence-mBHI-p5,0.657888888888889,0.2435632979486444
F4-e004Assembly-epsilon-p3,0.4444444444444444,0.17156580834887394
B10-e003Coalescence-mBHI-p3,0.589,0.4552273346722135
C11-e003Coalescence-mBHI-p5,0.6693333333333333,0.2563883589155071
A2-e003Coalescence-mGAM-p7,0.35933333333333334,0.260030698608521
C5-e003Assembly-mBHI-p3,0.7087777777777777,0.24468146607373406
E3-e004Assembly-mGAM-p5,0.6611111111111111,0.25454536651843357
C3-e003GlycerolRevival-mBHI-p2,0.7777777777777778,0.12175322765743796
D10-e003Coalescence-mGAM-p3,0.47711111111111115,0.684155859991393
B10-e003Coalescence-mGAM-p7,0.4252222222222223,0.9482468799311433
C4-e004Assembly-mBHI-p3,0.6627777777777778,0.28242949361641084
A9-e003Coalescence-mBHI-p7,0.665888888888889,0.2454443408406254
C2-e003Coalescence-Inoculumn-mGAM,0.5794444444444443,0.3848704992110171
B3-e003Coalescence-Inoculumn-mGAM,0.6676666666666666,0.24296184191651127
