,C4-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-mBHI-inoculumn-redo
C12-e003Coalescence-mBHI-p3,9,27755
C9-e003Coalescence-mGAM-p3,9,27862
B5-e004Assembly-mBHI-p3,8,26940
C11-e003Coalescence-mBHI-p3,9,27804
D11-e003Coalescence-mBHI-p5,9,27810
C9-e003Coalescence-mGAM-p7,9,27797
C8-e003Coalescence-mGAM-p7,9,27835
D10-e003Coalescence-mBHI-p3,9,27846
F3-e004Assembly-epsilon-p3,8,24600
B2-e003Coalescence-mBHI-p3,5,12848
A8-e003Coalescence-mBHI-p3,9,27481
A4-e003Coalescence-mBHI-p7,8,26604
B9-e003Coalescence-mGAM-p5,9,27837
A4-e003Coalescence-mBHI-inoculumn-redo,9,27829
B3-e003Coalescence-mBHI-p3,8,27540
D4-e003Coalescence-mBHI-p5,9,27811
C2-e003Coalescence-mBHI-p5,6,17023
B3-e004Assembly-mBHI-p7,8,25977
B5-e004Assembly-mBHI-p7,9,27337
D4-e003Coalescence-mBHI-p3,8,27742
C4-e003GlycerolRevival-mBHI-p2,8,27516
C5-e004Assembly-mBHI-p3,7,26595
D10-e003Assembly-mGAM-p5,9,26558
C3-e004Assembly-mBHI-p5,8,25916
B8-e003Assembly-mGAM-p5,9,27331
F4-e004Assembly-epsilon-p5,8,21108
C4-e003Coalescence-mGAM-p7,8,27755
B12-e003Coalescence-mBHI-p3,8,26947
D3-e004Assembly-mGAM-p7,9,25981
C8-e003Assembly-mGAM-p3,9,27005
C3-e003Coalescence-mGAM-p3,9,27846
B4-e003Assembly-mBHI-p5,8,27475
D4-e004Assembly-mGAM-p5,9,27531
D3-e003Coalescence-Inoculumn-mBHI,9,27772
C8-e003Assembly-mGAM-p5,7,24346
C3-e003Coalescence-mBHI-p7,8,27712
D11-e003Coalescence-mGAM-p5,9,27733
A11-e003Coalescence-mGAM-p7,9,27826
B8-e003Coalescence-mBHI-p5,9,27770
B10-e003Assembly-mGAM-p5,9,26705
C2-e003Coalescence-mGAM-p7,6,27641
D3-e003Coalescence-mBHI-p5,9,27836
B11-e003Coalescence-mGAM-p3,9,27808
C4-e003Coalescence-mBHI-inoculumn-redo,9,27884
B5-e003Assembly-mBHI-p5,9,27746
D2-e003Coalescence-mBHI-p5,8,27045
D8-e003Assembly-mGAM-p5,9,26987
D5-e003Coalescence-mGAM-p5,9,27704
B5-e003Coalescence-mBHI-p5,9,27827
D5-e003Coalescence-mBHI-p7,9,27839
C9-e003Coalescence-mBHI-p5,9,27854
A10-e003Coalescence-mBHI-p3,9,26065
A5-e003Coalescence-mGAM-p3,9,27768
A2-e003Coalescence-Inoculumn-mGAM,9,27447
E5-e004Assembly-mGAM-p5,7,27179
D8-e003Coalescence-mGAM-p5,9,27822
A12-e003Coalescence-mGAM-p3,9,27331
C2-e003Coalescence-mBHI-p3,8,24529
C4-e004Assembly-mBHI-p5,9,27462
D9-e003Coalescence-mGAM-p7,9,26641
D4-e003Coalescence-mBHI-p7,9,27847
D8-e003Assembly-mGAM-p3,8,26508
E4-e004Assembly-mGAM-p7,9,27487
E3-e004Assembly-mGAM-p3,8,25970
B10-e003Coalescence-mGAM-p3,9,27399
A9-e003Coalescence-mGAM-p7,9,27827
D5-e004Assembly-mGAM-p5,9,26856
B5-e003Coalescence-Inoculumn-mGAM,9,27724
D10-e003Coalescence-mBHI-p5,9,27836
D5-e003Coalescence-mBHI-p3,9,27762
C5-e003Coalescence-mBHI-p3,7,27432
D9-e003Coalescence-mGAM-p5,9,27714
C9-e003Coalescence-mBHI-p3,9,27865
D10-e003Coalescence-mGAM-p5,9,27874
C8-e003Coalescence-mBHI-p7,9,27579
