,B3-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,16194,14935
C9-e003Coalescence-mGAM-p3,16082,14999
B5-e004Assembly-mBHI-p3,15677,14542
C11-e003Coalescence-mBHI-p3,16197,14998
D11-e003Coalescence-mBHI-p5,16200,14989
C9-e003Coalescence-mGAM-p7,15915,14898
C8-e003Coalescence-mGAM-p7,15973,14923
D10-e003Coalescence-mBHI-p3,16206,15032
F3-e004Assembly-epsilon-p3,13821,13338
B2-e003Coalescence-mBHI-p3,6732,6010
A8-e003Coalescence-mBHI-p3,16036,14800
A4-e003Coalescence-mBHI-p7,15354,14558
B9-e003Coalescence-mGAM-p5,16207,15036
A4-e003Coalescence-mBHI-inoculumn-redo,15915,14891
B3-e003Coalescence-mBHI-p3,16143,15034
D4-e003Coalescence-mBHI-p5,16167,14989
C2-e003Coalescence-mBHI-p5,9741,9615
B3-e004Assembly-mBHI-p7,14731,14071
B5-e004Assembly-mBHI-p7,15756,14654
D4-e003Coalescence-mBHI-p3,16052,14943
C4-e003GlycerolRevival-mBHI-p2,16097,15025
C5-e004Assembly-mBHI-p3,15371,14300
D10-e003Assembly-mGAM-p5,15055,14204
C3-e004Assembly-mBHI-p5,14706,14032
B8-e003Assembly-mGAM-p5,15983,14729
F4-e004Assembly-epsilon-p5,12407,11261
C4-e003Coalescence-mGAM-p7,16185,15036
B12-e003Coalescence-mBHI-p3,15804,14206
D3-e004Assembly-mGAM-p7,14753,14069
C8-e003Assembly-mGAM-p3,15832,14534
C3-e003Coalescence-mGAM-p3,16029,14991
B4-e003Assembly-mBHI-p5,15812,14788
D4-e004Assembly-mGAM-p5,16116,14901
D3-e003Coalescence-Inoculumn-mBHI,16143,14957
C8-e003Assembly-mGAM-p5,14319,12848
C3-e003Coalescence-mBHI-p7,15897,14868
D11-e003Coalescence-mGAM-p5,16177,14946
A11-e003Coalescence-mGAM-p7,16203,15009
B8-e003Coalescence-mBHI-p5,16201,14958
B10-e003Assembly-mGAM-p5,15131,14284
C2-e003Coalescence-mGAM-p7,15871,14843
D3-e003Coalescence-mBHI-p5,16194,15030
B11-e003Coalescence-mGAM-p3,16205,15015
C4-e003Coalescence-mBHI-inoculumn-redo,15881,14810
B5-e003Assembly-mBHI-p5,16187,14914
D2-e003Coalescence-mBHI-p5,15745,14362
D8-e003Assembly-mGAM-p5,15840,14502
D5-e003Coalescence-mGAM-p5,16119,14923
B5-e003Coalescence-mBHI-p5,16188,15025
D5-e003Coalescence-mBHI-p7,16202,15012
C9-e003Coalescence-mBHI-p5,16193,15025
A10-e003Coalescence-mBHI-p3,15328,14094
A5-e003Coalescence-mGAM-p3,16159,14939
A2-e003Coalescence-Inoculumn-mGAM,16028,14796
E5-e004Assembly-mGAM-p5,15711,14613
D8-e003Coalescence-mGAM-p5,16203,15005
A12-e003Coalescence-mGAM-p3,15987,14613
C2-e003Coalescence-mBHI-p3,14487,13665
C4-e004Assembly-mBHI-p5,16083,14827
D9-e003Coalescence-mGAM-p7,15237,14422
D4-e003Coalescence-mBHI-p7,16148,14999
D8-e003Assembly-mGAM-p3,15557,14265
E4-e004Assembly-mGAM-p7,16105,14845
E3-e004Assembly-mGAM-p3,14743,14072
B10-e003Coalescence-mGAM-p3,15842,14785
A9-e003Coalescence-mGAM-p7,16201,15018
D5-e004Assembly-mGAM-p5,15528,14489
B5-e003Coalescence-Inoculumn-mGAM,16193,14957
D10-e003Coalescence-mBHI-p5,16201,15010
D5-e003Coalescence-mBHI-p3,16158,14928
C5-e003Coalescence-mBHI-p3,15828,14778
D9-e003Coalescence-mGAM-p5,16157,14940
C9-e003Coalescence-mBHI-p3,16194,15024
D10-e003Coalescence-mGAM-p5,16207,15042
C8-e003Coalescence-mBHI-p7,16082,14869
B11-e003Assembly-mGAM-p5,15870,14309
G3-e004Assembly-epsilon-p7,14573,13954
B4-e003Coalescence-mGAM-p5,15831,14799
D4-e003Coalescence-mGAM-p5,16190,15034
C3-e004Assembly-mBHI-p7,14723,14036
B5-e003Coalescence-mGAM-p5,16171,14974
B5-e003Coalescence-Inoculumn-mBHI,16137,14953
G3-e004Assembly-epsilon-p3,13336,12955
C2-e003Coalescence-mGAM-p3,15894,14866
B5-e003Coalescence-mGAM-p7,16148,14928
D8-e003Coalescence-mBHI-p5,16172,14977
E5-e004Assembly-mGAM-p7,15166,14204
C10-e003Assembly-mGAM-p3,15690,14782
B10-e003Coalescence-mBHI-p5,16205,15039
D5-e003Coalescence-Inoculumn-mGAM,16133,14738
B3-e004Assembly-mBHI-p5,14675,14030
B5-e003Coalescence-mBHI-p3,16190,15026
G4-e004Assembly-epsilon-p5,14208,12870
C4-e003Coalescence-mGAM-p5,15926,14918
C5-e003Coalescence-mGAM-p7,16189,15018
C5-e003Coalescence-mBHI-inoculumn-redo,16197,15039
A2-e003Coalescence-mBHI-p7,6184,5609
A10-e003Coalescence-mBHI-p5,16020,14791
B8-e003Assembly-mGAM-p3,15327,14133
A4-e003Coalescence-mGAM-p5,16199,14970
D5-e003Coalescence-mBHI-p5,15839,14833
D4-e003Coalescence-mGAM-p7,16205,15041
E4-e004Assembly-mGAM-p3,16091,14875
A8-e003Coalescence-mBHI-p7,16041,14801
E3-e004Assembly-mGAM-p7,14761,14090
B9-e003GlycerolRevival-mGAM-p2,16157,14846
C4-e003Coalescence-mGAM-p3,16180,15036
B2-e003Coalescence-Inoculumn-mGAM,16142,14914
D5-e003Coalescence-mGAM-p7,15558,14189
C5-e003Coalescence-mBHI-p5,15983,14918
C5-e003Coalescence-mGAM-p3,15915,14906
D9-e003Assembly-mGAM-p5,9709,9736
B12-e003Coalescence-mGAM-p3,16110,14739
A11-e003Coalescence-mBHI-p7,16070,14767
A3-e003Coalescence-Inoculumn-mGAM,16135,14878
D10-e003Assembly-mGAM-p3,16128,15014
C3-e003Coalescence-mGAM-p5,15867,14883
B4-e004Assembly-mBHI-p5,16109,14872
C10-e003GlycerolRevival-mGAM-p2,15651,14764
D3-e003Assembly-mBHI-p5,6313,6259
A10-e003Coalescence-mGAM-p3,15885,14873
A9-e003Coalescence-mBHI-p3,16204,15011
A2-e003Coalescence-Inoculumn-mBHI,14622,13239
D3-e003Coalescence-mBHI-p7,16200,14994
C3-e003Coalescence-mBHI-p5,15436,14519
D11-e003Assembly-mGAM-p3,16080,14718
D2-e003Assembly-mBHI-p3,15276,13946
A9-e003Coalescence-mBHI-p5,16158,14829
D5-e003Coalescence-Inoculumn-mBHI,16123,14932
B2-e003Coalescence-mGAM-p3,15873,14930
B4-e003Assembly-mBHI-p3,15991,14953
C11-e003Coalescence-mGAM-p5,16206,15043
G4-e004Assembly-epsilon-p3,15691,14410
B3-e003Coalescence-Inoculumn-mBHI,16207,15044
A8-e003Coalescence-mBHI-p5,16014,14742
D5-e004Assembly-mGAM-p7,15728,14623
D9-e003Coalescence-mBHI-p3,15177,13575
D5-e003Assembly-mBHI-p5,16172,14815
A5-e003Coalescence-mBHI-p7,16053,14570
BG-Fecal,9110,8608
D2-e003Coalescence-mGAM-p5,16207,15031
B9-e003Assembly-mGAM-p5,15967,14615
D3-e003Coalescence-mGAM-p3,16134,14960
D9-e003Coalescence-mGAM-p3,16205,15029
D3-e003Coalescence-mGAM-p5,16162,14925
C10-e003Coalescence-mGAM-p3,15965,14926
A5-e003Coalescence-mBHI-inoculumn-redo,16135,14936
B11-e003Assembly-mGAM-p3,15659,14255
B9-e003Coalescence-mGAM-p7,16206,15024
B11-e003Coalescence-mGAM-p7,15474,14493
C3-e003Coalescence-Inoculumn-mGAM,16207,15043
B5-e003Coalescence-mBHI-p7,16196,14996
A3-e003Coalescence-mGAM-p7,15884,14889
D4-e003Coalescence-Inoculumn-mBHI,16199,15037
A4-e003Coalescence-mBHI-p5,15850,14908
B3-e003Coalescence-mBHI-p7,14356,13777
D10-e003Coalescence-mGAM-p7,16207,15044
C12-e003Coalescence-mGAM-p3,16196,15023
C11-e003Coalescence-mGAM-p3,16206,15044
D5-e004Assembly-mGAM-p3,15956,14842
A10-e003Coalescence-mBHI-p7,16074,14883
C10-e003Coalescence-mBHI-p7,16122,14962
B9-e003Coalescence-mBHI-p5,16197,14984
F4-e004Assembly-epsilon-p3,10535,9418
B10-e003Coalescence-mBHI-p3,16191,14978
C11-e003Coalescence-mBHI-p5,16207,15041
A2-e003Coalescence-mGAM-p7,15918,14607
C5-e003Assembly-mBHI-p3,16148,14812
E3-e004Assembly-mGAM-p5,14757,14073
C3-e003GlycerolRevival-mBHI-p2,8253,8189
D10-e003Coalescence-mGAM-p3,16094,14964
B10-e003Coalescence-mGAM-p7,15726,14724
C4-e004Assembly-mBHI-p3,16106,14874
A9-e003Coalescence-mBHI-p7,16201,15012
C2-e003Coalescence-Inoculumn-mGAM,16191,15009
B3-e003Coalescence-Inoculumn-mGAM,16207,15044
D11-e003Coalescence-mGAM-p7,16175,14901
D5-e003Coalescence-mGAM-p3,16146,14933
D4-e004Assembly-mGAM-p3,16075,14839
E4-e004Assembly-mGAM-p5,16120,14906
E5-e004Assembly-mGAM-p3,15112,14046
D2-e003Coalescence-Inoculumn-mBHI,16127,14901
B4-e003Coalescence-Inoculumn-mGAM,16207,15044
A10-e003Coalescence-mGAM-p7,15942,14901
B2-e003Assembly-mBHI-p3,14630,13304
F4-e004Assembly-epsilon-p7,12790,11429
D9-e003Coalescence-mBHI-p5,16195,14942
C4-e003Coalescence-Inoculumn-mGAM,16198,15031
D4-e003Coalescence-mGAM-p3,16034,14960
B9-e003Coalescence-mBHI-p7,16117,14765
A2-e003Coalescence-mGAM-p5,16006,14740
D11-e003Assembly-mGAM-p5,12953,10790
C3-e003Coalescence-mGAM-p7,15899,14902
B11-e003GlycerolRevival-mGAM-p2,15702,14214
C5-e004Assembly-mBHI-p7,8689,8137
B3-e003Coalescence-mGAM-p5,16186,15043
D9-e003Coalescence-mBHI-p7,16185,14920
B10-e003Assembly-mGAM-p3,15108,14251
D3-e004Assembly-mGAM-p5,14760,14080
C5-e003Coalescence-mBHI-p7,16203,15035
D12-e003Coalescence-mBHI-p3,13890,11629
D4-e004Assembly-mGAM-p7,16116,14921
C11-e003Coalescence-mGAM-p7,16203,15037
C11-e003Assembly-mGAM-p3,16160,14895
D10-e003Coalescence-mBHI-p7,16205,15031
C9-e003Coalescence-mBHI-p7,15915,14863
A2-e003Coalescence-mBHI-p3,10242,9185
B8-e003Coalescence-mGAM-p5,16207,15031
C3-e004Assembly-mBHI-p3,14706,14033
C11-e003Assembly-mGAM-p5,16126,14821
B10-e003GlycerolRevival-mGAM-p2,16133,14981
B3-e003Coalescence-mBHI-p5,15772,14831
C2-e003Coalescence-mBHI-inoculumn-redo,15914,14874
A8-e003Coalescence-mGAM-p7,16020,14793
C11-e003GlycerolRevival-mGAM-p2,16170,14952
B2-e003Coalescence-Inoculumn-mBHI,12310,12122
A11-e003Coalescence-mBHI-p5,16166,14946
C10-e003Coalescence-mGAM-p5,15972,14932
C4-e003Assembly-mBHI-p5,16008,15004
C9-e003Assembly-mGAM-p5,13376,13056
A5-e003Coalescence-Inoculumn-mGAM,16051,14820
D4-e003Coalescence-Inoculumn-mGAM,16066,14921
A2-e003Coalescence-mBHI-p5,11541,10498
B5-e004Assembly-mBHI-p5,15728,14614
C5-e003Assembly-mBHI-p5,15791,14099
C10-e003Coalescence-mBHI-p5,15849,14776
B9-e003Coalescence-mBHI-p3,16033,14699
C3-e003Coalescence-mBHI-inoculumn-redo,15926,14900
B5-e003Coalescence-mGAM-p3,16016,14833
BK-Fecal,14125,13304
A5-e003Coalescence-mBHI-p3,9570,7705
C4-e004Assembly-mBHI-p7,16091,14847
A4-e003Coalescence-mBHI-p3,6939,7270
C9-e003GlycerolRevival-mGAM-p2,14513,14048
B4-e004Assembly-mBHI-p3,16106,14872
F3-e004Assembly-epsilon-p5,9241,9080
C9-e003Coalescence-mGAM-p5,16032,14953
A2-e003Coalescence-mBHI-inoculumn-redo,15153,13884
C2-e003Coalescence-mGAM-p5,15899,14844
B8-e003GlycerolRevival-mGAM-p2,15992,14743
C8-e003Coalescence-mBHI-p5,16046,14842
B8-e003Coalescence-mGAM-p7,16207,15030
B4-e003Coalescence-Inoculumn-mBHI,15892,14884
D2-e003Coalescence-Inoculumn-mGAM,16049,14799
