,D5-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,1543,12433
C9-e003Coalescence-mGAM-p3,1546,12467
B5-e004Assembly-mBHI-p3,1498,12059
C11-e003Coalescence-mBHI-p3,1548,12458
D11-e003Coalescence-mBHI-p5,1547,12475
C9-e003Coalescence-mGAM-p7,1536,12386
C8-e003Coalescence-mGAM-p7,1540,12412
D10-e003Coalescence-mBHI-p3,1548,12477
F3-e004Assembly-epsilon-p3,1334,10787
B2-e003Coalescence-mBHI-p3,643,5066
A8-e003Coalescence-mBHI-p3,1531,12323
A4-e003Coalescence-mBHI-p7,1411,11602
B9-e003Coalescence-mGAM-p5,1548,12481
A4-e003Coalescence-mBHI-inoculumn-redo,1535,12373
B3-e003Coalescence-mBHI-p3,1465,12015
D4-e003Coalescence-mBHI-p5,1543,12453
C2-e003Coalescence-mBHI-p5,909,7481
B3-e004Assembly-mBHI-p7,1405,11335
B5-e004Assembly-mBHI-p7,1515,12121
D4-e003Coalescence-mBHI-p3,1539,12406
C4-e003GlycerolRevival-mBHI-p2,1464,11996
C5-e004Assembly-mBHI-p3,1487,11885
D10-e003Assembly-mGAM-p5,1461,11493
C3-e004Assembly-mBHI-p5,1401,11304
B8-e003Assembly-mGAM-p5,1528,12270
F4-e004Assembly-epsilon-p5,1177,9426
C4-e003Coalescence-mGAM-p7,1510,12325
B12-e003Coalescence-mBHI-p3,1478,11950
D3-e004Assembly-mGAM-p7,1407,11332
C8-e003Assembly-mGAM-p3,1511,12130
C3-e003Coalescence-mGAM-p3,1544,12446
B4-e003Assembly-mBHI-p5,1531,12338
D4-e004Assembly-mGAM-p5,1532,12406
D3-e003Coalescence-Inoculumn-mBHI,1550,12493
C8-e003Assembly-mGAM-p5,1347,10923
C3-e003Coalescence-mBHI-p7,1534,12367
D11-e003Coalescence-mGAM-p5,1537,12428
A11-e003Coalescence-mGAM-p7,1549,12490
B8-e003Coalescence-mBHI-p5,1540,12445
B10-e003Assembly-mGAM-p5,1464,11564
C2-e003Coalescence-mGAM-p7,1531,12357
D3-e003Coalescence-mBHI-p5,1545,12444
B11-e003Coalescence-mGAM-p3,1547,12477
C4-e003Coalescence-mBHI-inoculumn-redo,1528,12337
B5-e003Assembly-mBHI-p5,1547,12447
D2-e003Coalescence-mBHI-p5,1479,11966
D8-e003Assembly-mGAM-p5,1509,12135
D5-e003Coalescence-mGAM-p5,1550,12490
B5-e003Coalescence-mBHI-p5,1536,12414
D5-e003Coalescence-mBHI-p7,1548,12481
C9-e003Coalescence-mBHI-p5,1548,12486
A10-e003Coalescence-mBHI-p3,1453,11753
A5-e003Coalescence-mGAM-p3,1547,12450
A2-e003Coalescence-Inoculumn-mGAM,1532,12320
E5-e004Assembly-mGAM-p5,1508,12077
D8-e003Coalescence-mGAM-p5,1550,12468
A12-e003Coalescence-mGAM-p3,1506,12205
C2-e003Coalescence-mBHI-p3,1403,11307
C4-e004Assembly-mBHI-p5,1524,12373
D9-e003Coalescence-mGAM-p7,1420,11732
D4-e003Coalescence-mBHI-p7,1547,12457
D8-e003Assembly-mGAM-p3,1503,11968
E4-e004Assembly-mGAM-p7,1527,12378
E3-e004Assembly-mGAM-p3,1406,11347
B10-e003Coalescence-mGAM-p3,1507,12214
A9-e003Coalescence-mGAM-p7,1546,12467
D5-e004Assembly-mGAM-p5,1496,12020
B5-e003Coalescence-Inoculumn-mGAM,1538,12433
D10-e003Coalescence-mBHI-p5,1544,12469
D5-e003Coalescence-mBHI-p3,1549,12491
C5-e003Coalescence-mBHI-p3,1525,12309
D9-e003Coalescence-mGAM-p5,1532,12368
C9-e003Coalescence-mBHI-p3,1546,12474
D10-e003Coalescence-mGAM-p5,1550,12494
C8-e003Coalescence-mBHI-p7,1540,12372
B11-e003Assembly-mGAM-p5,1485,11968
G3-e004Assembly-epsilon-p7,1393,11252
B4-e003Coalescence-mGAM-p5,1531,12338
D4-e003Coalescence-mGAM-p5,1550,12489
