,A2-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
C9-e003Coalescence-mGAM-p3,5866,5629
C8-e003Coalescence-mGAM-p7,8979,8801
e004-inoculumn-fecal-BD,7365,7285
B9-e003Coalescence-mGAM-p5,8673,8534
e004-inoculumn-fecal-AK,3086,2928
D4-e004Assembly-mGAM-p5,8362,8165
D11-e003Coalescence-mGAM-p5,5894,5768
A11-e003Coalescence-mGAM-p7,7538,7332
C2-e003Coalescence-mGAM-p7,9253,9082
B11-e003Coalescence-mGAM-p3,8255,8057
D5-e003Coalescence-mGAM-p5,7936,7813
A5-e003Coalescence-mGAM-p3,6962,6772
A2-e003Coalescence-Inoculumn-mGAM,9253,9083
D8-e003Coalescence-mGAM-p5,6994,6904
D9-e003Coalescence-mGAM-p7,5812,5635
E4-e004Assembly-mGAM-p7,6948,6840
B10-e003Coalescence-mGAM-p3,4311,4072
A9-e003Coalescence-mGAM-p7,5455,5347
B5-e003Coalescence-Inoculumn-mGAM,9070,8868
D4-e003Coalescence-mGAM-p5,9223,9050
B5-e003Coalescence-mGAM-p5,7801,7616
C2-e003Coalescence-mGAM-p3,7920,8017
B5-e003Coalescence-mGAM-p7,6970,6828
D5-e003Coalescence-Inoculumn-mGAM,9142,8976
C5-e003Coalescence-mGAM-p7,4121,4115
BF-Fecal,7027,6899
AM-Fecal,6260,6195
D5-e003Coalescence-mBHI-p5,9208,9057
e003-inoculumn-fecal-inoculumn,7643,7875
D4-e003Coalescence-mGAM-p7,5569,5426
e003-inoculumn-fecal-AC,3536,3561
B2-e003Coalescence-Inoculumn-mGAM,9090,8999
C5-e003Coalescence-mGAM-p3,8446,8250
A3-e003Coalescence-Inoculumn-mGAM,8811,8715
A10-e003Coalescence-mGAM-p3,9250,9080
B2-e003Coalescence-mGAM-p3,9166,9023
BG-Fecal,8917,8779
D2-e003Coalescence-mGAM-p5,9204,9044
D3-e003Coalescence-mGAM-p3,9249,9082
D9-e003Coalescence-mGAM-p3,3905,3877
D3-e003Coalescence-mGAM-p5,9253,9083
C10-e003Coalescence-mGAM-p3,4913,4584
C3-e003Coalescence-Inoculumn-mGAM,8462,8081
A3-e003Coalescence-mGAM-p7,3439,3896
C11-e003Coalescence-mGAM-p3,3883,3516
A2-e003Coalescence-mGAM-p7,8400,8418
E2-e004Assembly-mGAM-p5,4697,4500
D10-e003Coalescence-mGAM-p3,7656,7417
C2-e003Coalescence-Inoculumn-mGAM,8975,8805
B3-e003Coalescence-Inoculumn-mGAM,6120,5995
D11-e003Coalescence-mGAM-p7,9240,9075
D5-e003Coalescence-mGAM-p3,9086,8912
E4-e004Assembly-mGAM-p5,5590,5464
B4-e003Coalescence-Inoculumn-mGAM,9113,8930
A10-e003Coalescence-mGAM-p7,8026,7966
C4-e003Coalescence-Inoculumn-mGAM,9253,9083
D4-e003Coalescence-mGAM-p3,7147,7008
A2-e003Coalescence-mGAM-p5,9171,9000
B11-e003GlycerolRevival-mGAM-p2,6635,6599
D4-e004Assembly-mGAM-p7,8416,8227
C11-e003Coalescence-mGAM-p7,5584,5528
B10-e003GlycerolRevival-mGAM-p2,4200,4001
A8-e003Coalescence-mGAM-p7,7524,7555
C10-e003Coalescence-mGAM-p5,9204,9021
A5-e003Coalescence-Inoculumn-mGAM,9188,9031
D4-e003Coalescence-Inoculumn-mGAM,5545,4633
B5-e003Coalescence-mGAM-p3,8363,8169
BK-Fecal,9207,9039
C9-e003GlycerolRevival-mGAM-p2,8809,8662
C9-e003Coalescence-mGAM-p5,5191,5040
C2-e003Coalescence-mGAM-p5,8452,8585
B8-e003GlycerolRevival-mGAM-p2,8781,8648
B8-e003Coalescence-mGAM-p7,5995,5932
D2-e003Coalescence-Inoculumn-mGAM,9194,9040
e003-inoculumn-fecal-AE,5433,5145
D3-e003Coalescence-Inoculumn-mGAM,6215,6024
C5-e003Coalescence-Inoculumn-mGAM,9235,9060
BC-Fecal,8960,8803
A4-e003Coalescence-Inoculumn-mGAM,9247,9083
C10-e003Coalescence-mGAM-p7,9250,9072
A11-e003Coalescence-mGAM-p3,6644,6463
E2-e003Coalescence-mGAM-p7_S145,8890,8849
H111-e003Coalescence-mGAM-p7_S188,9159,8989
H4-e003Coalescence-mGAM-p7_S183,9253,9080
F5-e003Coalescence-mGAM-p5_S64,9236,9065
F5-e003Coalescence-mGAM-p7_S160,9228,9057
F100-e003Coalescence-mGAM-p7_S163,9063,8916
E3-e003Coalescence-mGAM-p3_S58,9146,9002
G100-e003Coalescence-mGAM-p3_S179,3710,3523
H2-e003Coalescence-mGAM-p7_S181,9253,9083
G8-e003Coalescence-mGAM-p3_S177,9251,9078
F2-e003Coalescence-mGAM-p7_S157,9051,8922
H3-e003Coalescence-mGAM-p3_S94,8741,8631
H4-e003Coalescence-mGAM-p3_S95,7301,7101
F9-e003Coalescence-mGAM-p5_S66,4319,4202
H100-e003Coalescence-mGAM-p7_S187,3792,3691
E100-e003Coalescence-mGAM-p3_S155,9244,9074
E3-e003Coalescence-mGAM-p5_S50,9242,9077
F2-e003Coalescence-mGAM-p5_S61,9145,8996
G9-e003Coalescence-mGAM-p5_S78,4777,4603
G8-e003Coalescence-mGAM-p5_S77,9214,9042
H111-e003Coalescence-mGAM-p5_S92,9153,8999
H2-e003Coalescence-mGAM-p3_S93,8855,8724
E4-e003Coalescence-mGAM-p5_S51,9038,8924
G9-e003Coalescence-mGAM-p7_S174,2928,2811
G5-e003Coalescence-mGAM-p3_S84,6250,6041
G100-e003Coalescence-mGAM-p7_S175,4598,4179
G5-e003Coalescence-mGAM-p5_S76,8179,8090
G5-e003Coalescence-mGAM-p7_S172,9216,9056
E5-e003Coalescence-mGAM-p3_S60,4635,4695
G2-e003Coalescence-mGAM-p5_S73,9214,9060
E5-e003Coalescence-mGAM-p7_S148,9250,9080
E100-e003Coalescence-mGAM-p5_S55,8793,8642
E8-e003Coalescence-mGAM-p5_S53,9083,8948
H5-e003Coalescence-mGAM-p3_S96,8594,8458
H3-e003Coalescence-mGAM-p7_S182,9222,9059
H5-e003Coalescence-mGAM-p5_S88,9068,8893
H8-e003Coalescence-mGAM-p5_S89,7034,6919
E3-e003Coalescence-mGAM-p7_S146,8950,8814
G100-e003Coalescence-mBHI-p3_S131,9054,8911
E9-e003Coalescence-mGAM-p3_S154,6174,6107
F100-e003Coalescence-mGAM-p5_S67,3865,3855
E2-e003Coalescence-mGAM-p3_S57,9198,9048
F2-e003Coalescence-mGAM-p3_S69,9012,8870
E111-e003Coalescence-mGAM-p5_S56,6362,6364
G100-e003Coalescence-mGAM-p5_S79,9240,9037
H100-e003Coalescence-mGAM-p5_S91,8118,7987
E4-e003Coalescence-mGAM-p7_S147,9223,9064
E4-e003Coalescence-mGAM-p3_S59,9196,9049
G8-e003Coalescence-mGAM-p7_S173,9213,9065
E2-e003Coalescence-mGAM-p5_S49,9185,9048
H111-e003Coalescence-mGAM-p3_S192,9011,8861
E8-e003Coalescence-mGAM-p7_S149,9181,9035
H3-e003Coalescence-mGAM-p5_S86,9090,8944
H4-e003Coalescence-mGAM-p5_S87,8689,8522
E100-e003Coalescence-mGAM-p7_S151,8679,8498
G9-e003Coalescence-mGAM-p3_S178,8152,7966
H8-e003Coalescence-mGAM-p7_S185,9233,9061
G2-e003Coalescence-mGAM-p3_S81,9187,9026
E5-e003Coalescence-mGAM-p5_S52,8501,8386
