,A2-e003Coalescence-Inoculumn-mGAM,B3-e003Coalescence-Inoculumn-mGAM
C9-e003Coalescence-mGAM-p3,2913,3089
C8-e003Coalescence-mGAM-p7,4373,4776
e004-inoculumn-fecal-BD,3646,3950
B9-e003Coalescence-mGAM-p5,4203,4591
e004-inoculumn-fecal-AK,1583,1610
D4-e004Assembly-mGAM-p5,4078,4487
D11-e003Coalescence-mGAM-p5,2990,3142
A11-e003Coalescence-mGAM-p7,3741,4068
C2-e003Coalescence-mGAM-p7,4476,4866
B11-e003Coalescence-mGAM-p3,4054,4371
D5-e003Coalescence-mGAM-p5,3946,4243
A5-e003Coalescence-mGAM-p3,3418,3655
A2-e003Coalescence-Inoculumn-mGAM,4476,4867
D8-e003Coalescence-mGAM-p5,3517,3815
D9-e003Coalescence-mGAM-p7,2989,3153
E4-e004Assembly-mGAM-p7,3480,3805
B10-e003Coalescence-mGAM-p3,2213,2258
A9-e003Coalescence-mGAM-p7,3424,3749
B5-e003Coalescence-Inoculumn-mGAM,4384,4788
D4-e003Coalescence-mGAM-p5,4460,4858
B5-e003Coalescence-mGAM-p5,3821,4209
C2-e003Coalescence-mGAM-p3,3866,4351
B5-e003Coalescence-mGAM-p7,3432,3769
D5-e003Coalescence-Inoculumn-mGAM,4436,4829
C5-e003Coalescence-mGAM-p7,2156,2324
BF-Fecal,3433,3797
AM-Fecal,3132,3397
D5-e003Coalescence-mBHI-p5,4442,4853
e003-inoculumn-fecal-inoculumn,3750,4262
D4-e003Coalescence-mGAM-p7,2835,3061
e003-inoculumn-fecal-AC,1761,2072
B2-e003Coalescence-Inoculumn-mGAM,4440,4846
C5-e003Coalescence-mGAM-p3,4117,4465
A3-e003Coalescence-Inoculumn-mGAM,4414,4792
A10-e003Coalescence-mGAM-p3,4469,4866
B2-e003Coalescence-mGAM-p3,4409,4818
BG-Fecal,4306,4719
D2-e003Coalescence-mGAM-p5,4462,4853
D3-e003Coalescence-mGAM-p3,4471,4865
D9-e003Coalescence-mGAM-p3,2039,2176
D3-e003Coalescence-mGAM-p5,4475,4867
C10-e003Coalescence-mGAM-p3,2424,2608
C3-e003Coalescence-Inoculumn-mGAM,4103,4397
A3-e003Coalescence-mGAM-p7,1731,2190
