,A2-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
A11-e003Coalescence-mBHI-p1_S772,54060,3049
A11-e003Coalescence-mBHI-p3,54957,3111
A11-e003Coalescence-mBHI-p5,46137,2597
A11-e003Coalescence-mBHI-p7,42980,2407
A11-e003Coalescence-mGAM-p1_S776,54042,3058
A11-e003Coalescence-mGAM-p3,54945,3114
A11-e003Coalescence-mGAM-p7,53720,3051
A5-e003Coalescence-Inoculumn-mGAM,54931,3113
A8-e003Coalescence-mBHI-p1_S748,53401,3068
A8-e003Coalescence-mBHI-p3,54553,3089
A8-e003Coalescence-mBHI-p5,52146,2983
A8-e003Coalescence-mBHI-p7,54053,3079
A8-e003Coalescence-mGAM-p1_S752,54307,3089
A8-e003Coalescence-mGAM-p7,53857,3066
A_A5_A8_AA_AA_mGAM_mBHI_2_S5,49847,2897
A_A8_A11_AF_AA_mGAM_mBHI_2_S8,49602,2771
A_D5_D8_AA_AF_mGAM_mBHI_2_S41,52827,2977
A_D8_D11_AF_AF_mGAM_mBHI_2_S44,54940,3047
A_E5_A8_AA_AA_mGAM_mGAM_2_S53,53444,3045
A_E8_A11_AF_AA_mGAM_mGAM_2_S56,54137,3093
A_H5_D8_AA_AF_mGAM_mGAM_2_S89,51806,2902
A_H8_D11_AF_AF_mGAM_mGAM_2_S92,54654,3032
B_A12_A11_AF_AA_mGAM_mBHI_4_S108,54865,3105
B_A5_E8_AA_AA_mGAM_mBHI_2_S101,35954,2238
B_A9_A8_AA_AA_mGAM_mBHI_4_S105,52190,3003
B_D8_H11_AF_AF_mGAM_mBHI_2_S140,48126,2596
B_E12_A11_AF_AA_mGAM_mGAM_4_S156,54718,3102
B_E5_E8_AA_AA_mGAM_mGAM_2_S149,50605,2936
B_E8_E11_AF_AA_mGAM_mGAM_2_S152,53528,3083
B_E9_A8_AA_AA_mGAM_mGAM_4_S153,40658,2409
B_H5_H8_AA_AF_mGAM_mGAM_2_S185,53853,3076
B_H8_H11_AF_AF_mGAM_mGAM_2_S188,51765,2861
B_H9_D8_AA_AF_mGAM_mGAM_4_S189,54310,3103
C_A5_A8_AA_AA_mGAM_mBHI_6_S197,48757,2828
C_D5_D8_AA_AF_mGAM_mBHI_6_S233,54944,3115
C_D8_D11_AF_AF_mGAM_mBHI_6_S236,54909,3077
C_E5_A8_AA_AA_mGAM_mGAM_6_S245,54836,3111
C_E8_A11_AF_AA_mGAM_mGAM_6_S248,54864,3108
C_H5_D8_AA_AF_mGAM_mGAM_6_S281,53910,3075
C_H8_D11_AF_AF_mGAM_mGAM_6_S284,54463,3014
Coalescence-A12-D11-AF-AF-mGAM-mBHI-7_S631,54955,3068
Coalescence-B5-D8-AA-AF-mGAM-mGAM-7_S636,54896,3113
Coalescence-B6-E11-AA-AF-mGAM-mGAM-7_S637,54100,3094
Coalescence-C3-A11-AA-AF-mGAM-mGAM-5_S646,54909,3114
Coalescence-C9-A8-AA-AA-mGAM-mGAM-5_S652,54446,3102
Coalescence-E8-D11-AF-AF-mGAM-mBHI-3_S675,54953,3072
Coalescence-F1-D8-AA-AF-mGAM-mGAM-3_S680,54499,3105
Coalescence-F10-H8-AA-AF-mGAM-mGAM-3_S689,54642,3109
Coalescence-F3-E11-AA-AF-mGAM-mGAM-3_S682,54882,3115
D11-e003Coalescence-mBHI-p1_S775,52165,2873
D11-e003Coalescence-mBHI-p5,54741,3070
D11-e003Coalescence-mGAM-p1_S779,54855,3031
D11-e003Coalescence-mGAM-p5,54343,3033
D11-e003Coalescence-mGAM-p7,53494,2995
D2-e003Coalescence-Inoculumn-mGAM,54893,3102
D8-e003Coalescence-mBHI-p1_S751,49997,2833
D8-e003Coalescence-mBHI-p5,53039,3008
D8-e003Coalescence-mGAM-p1_S755,54958,3112
D8-e003Coalescence-mGAM-p5,54925,3114
D_A12_E11_AF_AA_mGAM_mBHI_4_S300,54959,3111
D_A8_A11_AF_AA_mGAM_mBHI_6_S296,54961,3114
D_A9_E8_AA_AA_mGAM_mBHI_4_S297,53910,3069
D_D12_H11_AF_AF_mGAM_mBHI_4_S336,47078,2571
D_D5_D8_AA_AF_mGAM_mBHI_6_S329,54661,3107
D_D8_D11_AF_AF_mGAM_mBHI_6_S332,54945,3076
D_E12_E11_AF_AA_mGAM_mGAM_4_S348,54609,3106
D_E5_A8_AA_AA_mGAM_mGAM_6_S341,53556,3075
D_E8_A11_AF_AA_mGAM_mGAM_6_S344,54486,3105
D_E9_E8_AA_AA_mGAM_mGAM_4_S345,54726,3108
D_H5_D8_AA_AF_mGAM_mGAM_6_S377,54817,3112
D_H8_D11_AF_AF_mGAM_mGAM_6_S380,48199,2563
D_H9_H8_AA_AF_mGAM_mGAM_4_S381,54223,3085
E11-e003Coalescence-mBHI-p1_S836,54938,3113
E11-e003Coalescence-mGAM-p1_S840,54963,3115
E111-e003Coalescence-mBHI-p3_S108,46478,2630
E111-e003Coalescence-mBHI-p5_S8,45287,2529
E111-e003Coalescence-mBHI-p7_S104,54596,3093
E111-e003Coalescence-mGAM-p5_S56,53766,3070
E8-e003Coalescence-mBHI-p1_S812,54272,3094
E8-e003Coalescence-mBHI-p3_S105,52518,3044
E8-e003Coalescence-mBHI-p5_S5,52026,3003
E8-e003Coalescence-mGAM-p1_S816,54291,3101
E8-e003Coalescence-mGAM-p5_S53,53252,3068
E8-e003Coalescence-mGAM-p7_S149,54121,3093
H11-e003Coalescence-mBHI-p1_S839,54930,3078
H11-e003Coalescence-mGAM-p1_S843,54104,3000
H111-e003Coalescence-mBHI-p3_S144,54893,3064
H111-e003Coalescence-mBHI-p5_S44,54741,3038
H111-e003Coalescence-mGAM-p3_S192,54919,3047
