,B3-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
A_H10_D3_ACPP_AF_mBHI_mGAM_4_S94,3222,154
B5-e003Coalescence-Inoculumn-mBHI,3190,151
B5-e003Coalescence-mBHI-p1_S741,2946,144
B5-e003Coalescence-mBHI-p3,907,51
B5-e003Coalescence-mGAM-p1_S745,3226,154
B5-e003Coalescence-mGAM-p3,3167,147
B5-e003Coalescence-mGAM-p5,3168,153
B5-e003Coalescence-mGAM-p7,3185,154
B_D2_H3_ACPP_AF_mBHI_mBHI_2_S134,2832,131
B_H2_H3_ACPP_AF_mBHI_mGAM_2_S182,3228,154
Coalescence-B4-D3-ACPP-AF-mBHI-mGAM-7_S635,3196,154
Coalescence-E11-D3-ACPP-AF-mBHI-mBHI-3_S678,3170,149
D3-e003Coalescence-Inoculumn-mBHI,3228,154
D3-e003Coalescence-mBHI-p1_S727,3025,147
D3-e003Coalescence-mGAM-p1_S731,3228,154
D3-e003Coalescence-mGAM-p3,2999,139
D3-e003Coalescence-mGAM-p5,3227,152
F5-e003Coalescence-mBHI-p1_S805,2601,127
F5-e003Coalescence-mGAM-p1_S809,3228,154
F5-e003Coalescence-mGAM-p3_S72,3203,154
F5-e003Coalescence-mGAM-p5_S64,3109,146
F5-e003Coalescence-mGAM-p7_S160,3211,153
H3-e003Coalescence-mBHI-p1_S791,3094,151
H3-e003Coalescence-mBHI-p3_S46,867,23
H3-e003Coalescence-mGAM-p1_S795,2883,127
H3-e003Coalescence-mGAM-p3_S94,3079,144
H3-e003Coalescence-mGAM-p5_S86,3153,153
H3-e003Coalescence-mGAM-p7_S182,3131,145
