,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-Inoculumn-mBHI,1867,74
A5-e003Coalescence-mBHI-inoculumn-redo,2867,111
A5-e003Coalescence-mBHI-p1_S740,1659,62
A5-e003Coalescence-mBHI-p7,2912,116
A5-e003Coalescence-mGAM-p1_S744,2910,118
A5-e003Coalescence-mGAM-p3,2954,119
Coalescence-C7-A5-AA-AF-mBHI-mBHI-5_S650,2953,118
Coalescence-D5-H2-AA-AF-mBHI-mBHI-5_S660,2946,119
D2-e003Coalescence-Inoculumn-mBHI,2584,109
D2-e003Coalescence-mBHI-p1_S719,1481,70
D2-e003Coalescence-mBHI-p3,2838,107
D2-e003Coalescence-mBHI-p5,2846,107
D2-e003Coalescence-mGAM-p1_S723,2953,119
D2-e003Coalescence-mGAM-p5,2948,119
E5-e003Coalescence-mBHI-p1_S804,1415,60
E5-e003Coalescence-mBHI-p3_S12,2561,102
E5-e003Coalescence-mBHI-p5_S4,2722,108
E5-e003Coalescence-mBHI-p7_S100,2929,118
E5-e003Coalescence-mGAM-p1_S808,2935,119
E5-e003Coalescence-mGAM-p3_S60,2952,119
E5-e003Coalescence-mGAM-p5_S52,2938,119
E5-e003Coalescence-mGAM-p7_S148,2955,119
H2-e003Coalescence-mBHI-p1_S783,1493,54
H2-e003Coalescence-mBHI-p3_S45,2937,112
H2-e003Coalescence-mBHI-p7_S133,2852,110
H2-e003Coalescence-mGAM-p1_S787,2954,119
H2-e003Coalescence-mGAM-p3_S93,2953,119
H2-e003Coalescence-mGAM-p5_S85,693,31
H2-e003Coalescence-mGAM-p7_S181,2948,119
