,B3-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
B11-e003Coalescence-mBHI-p1_S773,740,696
B11-e003Coalescence-mGAM-p3,2133,2214
B11-e003Coalescence-mGAM-p7,1971,2047
B5-e003Coalescence-Inoculumn-mGAM,2119,2186
B_H10_D9_ACPP_AF_mGAM_mGAM_4_S190,872,1012
B_H6_H9_ACPP_AF_mGAM_mGAM_2_S186,1379,1457
Coalescence-C12-B11-ACPP-AF-mGAM-mGAM-5_S655,2136,2215
D3-e003Coalescence-Inoculumn-mGAM,2131,2212
D9-e003Coalescence-mBHI-p1_S759,948,816
D9-e003Coalescence-mGAM-p1_S763,2134,2211
D9-e003Coalescence-mGAM-p3,2119,2201
D9-e003Coalescence-mGAM-p5,2127,2215
D9-e003Coalescence-mGAM-p7,2096,2175
F11-e003Coalescence-mBHI-p1_S837,1323,1350
F11-e003Coalescence-mGAM-p1_S841,2045,2121
F111-e003Coalescence-mGAM-p3_S168,1496,1616
F111-e003Coalescence-mGAM-p5_S68,1382,1441
F111-e003Coalescence-mGAM-p7_S164,1258,1382
H9-e003Coalescence-mBHI-p1_S823,1988,2021
H9-e003Coalescence-mBHI-p5_S42,1289,1387
H9-e003Coalescence-mGAM-p1_S827,2132,2203
H9-e003Coalescence-mGAM-p5_S90,1958,1987
H9-e003Coalescence-mGAM-p7_S186,2021,2140
