,A2-e003Coalescence-mBHI-inoculumn-redo,B3-e003Coalescence-Inoculumn-mBHI
A3-e003Coalescence-mBHI-inoculumn-redo,2447,1583
A3-e003Coalescence-mBHI-p1_S724,2743,1850
A3-e003Coalescence-mBHI-p3,3909,2767
A3-e003Coalescence-mGAM-p1_S728,4244,2919
A3-e003Coalescence-mGAM-p7,4239,2918
A_E10_A3_ACPP_AA_mBHI_mGAM_4_S58,4234,2921
B2-e003Coalescence-Inoculumn-mBHI,4143,2823
B2-e003Coalescence-mBHI-p1_S717,2674,1832
B2-e003Coalescence-mBHI-p3,4146,2877
B2-e003Coalescence-mBHI-p5,3226,2502
B2-e003Coalescence-mGAM-p3,4156,2846
B_A2_E3_ACPP_AA_mBHI_mBHI_2_S98,3845,2711
B_E2_E3_ACPP_AA_mBHI_mGAM_2_S146,3912,2651
Coalescence-A6-B2-AA-ACPP-mBHI-mGAM-7_S625,4237,2915
Coalescence-B7-E3-AA-ACPP-mBHI-mBHI-7_S638,4172,2885
Coalescence-C5-A3-AA-ACPP-mBHI-mGAM-5_S648,4243,2921
Coalescence-D1-B2-AA-ACPP-mBHI-mGAM-5_S656,4244,2921
Coalescence-D7-A3-AA-ACPP-mBHI-mGAM-3_S662,4244,2918
E3-e003Coalescence-mBHI-p1_S788,1075,794
E3-e003Coalescence-mBHI-p3_S10,4031,2819
E3-e003Coalescence-mBHI-p5_S2,3928,2788
E3-e003Coalescence-mGAM-p1_S792,4243,2917
E3-e003Coalescence-mGAM-p3_S58,4153,2894
E3-e003Coalescence-mGAM-p5_S50,4240,2918
E3-e003Coalescence-mGAM-p7_S146,4242,2917
F2-e003Coalescence-mBHI-p1_S781,1141,803
F2-e003Coalescence-mBHI-p3_S21,3696,2740
F2-e003Coalescence-mBHI-p5_S13,4223,2905
F2-e003Coalescence-mGAM-p1_S785,4244,2921
F2-e003Coalescence-mGAM-p3_S69,4226,2915
F2-e003Coalescence-mGAM-p5_S61,4237,2917
F2-e003Coalescence-mGAM-p7_S157,4161,2898
