,index,fixed_diffs,num_int_sites,sample1,species_id
0,A5-e003Coalescence-mBHI-p7,0,334586,A5-e003Coalescence-mBHI-p7,102640
1,D2-e003Coalescence-mBHI-p3,148,405238,A5-e003Coalescence-mBHI-p7,102640
0,A5-e003Coalescence-mBHI-p7,75,334586,D2-e003Coalescence-mBHI-p3,102640
1,D2-e003Coalescence-mBHI-p3,0,405238,D2-e003Coalescence-mBHI-p3,102640
