,A2-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
A2-e003Coalescence-Inoculumn-mGAM,3137,5832
C4-e003Coalescence-Inoculumn-mGAM,3137,5832
A10-e003Coalescence-mBHI-p5,2867,5294
A10-e003Coalescence-mBHI-p7,2934,5441
A10-e003Coalescence-mGAM-p3,2989,5464
A10-e003Coalescence-mGAM-p7,3048,5631
A4-e003Coalescence-Inoculumn-mGAM,3135,5822
C2-e003Coalescence-Inoculumn-mGAM,3072,5728
C8-e003Coalescence-mBHI-p5,3135,5832
C8-e003Coalescence-mBHI-p7,3020,5624
C8-e003Coalescence-mGAM-p7,2991,5527
E100-e003Coalescence-mBHI-p5_S7,3131,5818
E100-e003Coalescence-mBHI-p7_S103,2955,5506
E100-e003Coalescence-mGAM-p3_S155,2471,4461
E100-e003Coalescence-mGAM-p5_S55,2790,5081
E100-e003Coalescence-mGAM-p7_S151,3063,5599
G8-e003Coalescence-mBHI-p3_S129,3136,5824
G8-e003Coalescence-mBHI-p5_S29,3126,5809
G8-e003Coalescence-mBHI-p7_S125,3066,5706
G8-e003Coalescence-mGAM-p3_S177,1061,1908
G8-e003Coalescence-mGAM-p5_S77,2797,5053
G8-e003Coalescence-mGAM-p7_S173,3106,5704
