,C4-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
B5-e003Coalescence-mGAM-p7,0.06612360721442885,0.7474812078194089
D8-e003Coalescence-mBHI-p5,0.0027888577154308613,0.9940488131254364
C10-e003Assembly-mGAM-p3,0.1507244889779559,0.5732600069816152
B10-e003Coalescence-mBHI-p5,0.2879430861723447,0.5623643821270654
D5-e003Coalescence-Inoculumn-mGAM,0.0020527454909819638,0.9859906329997674
F2-e004Assembly-epsilon-p3,0.26677218436873745,0.26952565743542006
B3-e004Assembly-mBHI-p5,0.35307182364729456,0.157669653246451
B5-e003Coalescence-mBHI-p3,0.17287406813627257,0.7286562136374215
G4-e004Assembly-epsilon-p5,0.26852224448897793,0.25337677449383295
C4-e003Coalescence-mGAM-p5,0.7042673346693388,0.22267442401675588
C5-e003Coalescence-mGAM-p7,0.03765731462925852,0.8994564812659995
C5-e003Coalescence-mBHI-inoculumn-redo,0.6166556312625251,0.33802146846637193
A2-e003Coalescence-mBHI-p7,0.1496060120240481,0.598840179194787
A10-e003Coalescence-mBHI-p5,0.6367349098196393,0.26660606236909473
D2-e003Coalescence-mBHI-p7,0.015385490981963925,0.6833490807540145
B8-e003Assembly-mGAM-p3,0.1435164729458918,0.5785009890621363
A4-e003Coalescence-mGAM-p5,0.015455551102204408,0.9628987665813358
D5-e003Coalescence-mBHI-p5,0.2935730661322646,0.5049629392599488
D3-e003Assembly-mBHI-p3,0.06318028056112224,0.7637446474284385
D4-e003Coalescence-mGAM-p7,0.06215270541082164,0.8357911915289736
E4-e004Assembly-mGAM-p3,0.1302017635270541,0.5458290667907842
A8-e003Coalescence-mBHI-p7,0.14960304609218436,0.5999226786129859
E3-e004Assembly-mGAM-p7,0.3443858116232465,0.15392314405399118
B9-e003GlycerolRevival-mGAM-p2,0.060610741482965934,0.7428167326041424
C4-e003Coalescence-mGAM-p3,0.7777583967935872,0.17275069816150804
B2-e003Coalescence-Inoculumn-mGAM,0.12240825651302605,0.6567422038631603
D5-e003Coalescence-mGAM-p7,0.0032477755511022047,0.9338285431696532
C5-e003Coalescence-mBHI-p5,0.1788830460921844,0.7407081684896439
C5-e003Coalescence-mGAM-p3,0.1135802004008016,0.7435951245054689
A3-e003Coalescence-mBHI-inoculumn-redo,0.5175407615230461,0.350096869909239
D9-e003Assembly-mGAM-p5,0.061742685370741485,0.7558235978589715
B12-e003Coalescence-mGAM-p3,0.02027607214428858,0.922780253665348
A11-e003Coalescence-mBHI-p7,0.002407294589178357,0.9890767977658832
A3-e003Coalescence-Inoculumn-mGAM,0.12064825651302605,0.6554938329066791
D10-e003Assembly-mGAM-p3,0.45528112224448897,0.34841750058180126
C3-e003Coalescence-mGAM-p5,0.229090501002004,0.5909188387246916
B4-e004Assembly-mBHI-p5,0.14165563126252506,0.6023903304631139
C10-e003GlycerolRevival-mGAM-p2,0.1589362725450902,0.5939024901093787
D3-e003Assembly-mBHI-p5,0.06289979959919839,0.7686880381661625
A10-e003Coalescence-mGAM-p3,0.4290171543086172,0.41775936700023275
A9-e003Coalescence-mBHI-p3,0.07701915831663328,0.7529208168489645
A2-e003Coalescence-Inoculumn-mBHI,0.15007791583166333,0.5986427158482662
D3-e003Coalescence-mBHI-p7,0.42162020040080156,0.45053101000698154
C3-e003Coalescence-mBHI-p5,0.6181992785571142,0.30246346288107984
D2-e003Assembly-mBHI-p3,0.14817547094188377,0.5963511170584128
B3-e003Assembly-mBHI-p5,0.5737996793587175,0.34667122410984413
A9-e003Coalescence-mBHI-p5,0.0638188376753507,0.7854610193158017
D5-e003Coalescence-Inoculumn-mBHI,0.04342092184368737,0.9028102746101931
B2-e003Coalescence-mGAM-p3,0.6862149098196392,0.2504020246683733
B4-e003Assembly-mBHI-p3,0.7501456513026051,0.1765272282988131
C11-e003Coalescence-mGAM-p5,0.032807935871743486,0.9321212473818943
G4-e004Assembly-epsilon-p3,0.26553026052104206,0.2637078775890156
