,B3-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,18254,5488
C9-e003Coalescence-mGAM-p3,18216,5541
D2-e004Assembly-mGAM-p7,16298,4618
C11-e003Coalescence-mBHI-p3,18306,5500
D11-e003Coalescence-mBHI-p5,18151,5474
C9-e003Coalescence-mGAM-p7,18177,5527
C8-e003Coalescence-mGAM-p7,18348,5475
D10-e003Coalescence-mBHI-p3,18382,5535
F3-e004Assembly-epsilon-p3,16880,4240
B2-e003Coalescence-mBHI-p3,18375,5539
A8-e003Coalescence-mBHI-p3,17936,5377
e004-inoculumn-fecal-BD,16110,4348
A4-e003Coalescence-mBHI-p7,18371,5514
B4-e003Coalescence-mBHI-p5,16292,4689
B9-e003Coalescence-mGAM-p5,18282,5542
A4-e003Coalescence-mBHI-inoculumn-redo,18323,5472
B3-e003Coalescence-mBHI-p3,18313,5514
D4-e003Coalescence-mBHI-p5,18363,5538
C2-e003Coalescence-mBHI-p5,17953,5056
B3-e004Assembly-mBHI-p7,16912,4243
D4-e003Coalescence-mBHI-p3,18374,5540
C4-e003GlycerolRevival-mBHI-p2,18263,5342
D10-e003Assembly-mGAM-p5,17013,4899
B2-e003Assembly-mBHI-p5,17517,5287
C3-e004Assembly-mBHI-p5,16882,4214
B2-e003Coalescence-mBHI-p5,17926,5174
B8-e003Assembly-mGAM-p5,17335,5195
F4-e004Assembly-epsilon-p5,16507,4548
C4-e003Coalescence-mGAM-p7,18233,5279
B12-e003Coalescence-mBHI-p3,18098,5484
D3-e004Assembly-mGAM-p7,16606,4144
C8-e003Assembly-mGAM-p3,17614,5289
C3-e003Coalescence-mGAM-p3,18360,5518
B4-e003Assembly-mBHI-p5,17700,4841
D4-e004Assembly-mGAM-p5,17631,5292
D3-e003Coalescence-Inoculumn-mBHI,18368,5534
C8-e003Assembly-mGAM-p5,16751,4994
C3-e003Coalescence-mBHI-p7,18308,5493
D11-e003Coalescence-mGAM-p5,18034,5450
A11-e003Coalescence-mGAM-p7,17906,5434
B8-e003Coalescence-mBHI-p5,18321,5544
B10-e003Assembly-mGAM-p5,18197,5405
C2-e003Coalescence-mGAM-p7,17796,4900
D3-e003Coalescence-mBHI-p5,18369,5543
B11-e003Coalescence-mGAM-p3,18295,5538
C4-e003Coalescence-mBHI-inoculumn-redo,17602,4842
B5-e003Assembly-mBHI-p5,18075,5436
D2-e003Coalescence-mBHI-p5,18217,5483
D8-e003Assembly-mGAM-p5,17276,5158
D5-e003Coalescence-mGAM-p5,17997,5457
B5-e003Coalescence-mBHI-p5,18368,5540
D5-e003Coalescence-mBHI-p7,18188,5470
C9-e003Coalescence-mBHI-p5,18384,5551
A10-e003Coalescence-mBHI-p3,18303,5455
A5-e003Coalescence-mGAM-p3,18116,5480
A2-e003Coalescence-Inoculumn-mGAM,17806,5330
D8-e003Coalescence-mGAM-p5,18047,5453
A12-e003Coalescence-mGAM-p3,17734,5390
C2-e003Coalescence-mBHI-p3,17783,4904
C4-e004Assembly-mBHI-p5,17582,5296
D9-e003Coalescence-mGAM-p7,18240,5545
D4-e003Coalescence-mBHI-p7,18315,5512
D8-e003Assembly-mGAM-p3,17313,5161
E4-e004Assembly-mGAM-p7,17578,5281
E3-e004Assembly-mGAM-p3,16860,4237
D2-e004Assembly-mGAM-p3,16053,4422
B10-e003Coalescence-mGAM-p3,18184,5525
A9-e003Coalescence-mGAM-p7,18102,5510
B5-e003Coalescence-Inoculumn-mGAM,18121,5519
D10-e003Coalescence-mBHI-p5,18380,5547
D5-e003Coalescence-mBHI-p3,18211,5487
C5-e003Coalescence-mBHI-p3,18353,5519
D9-e003Coalescence-mGAM-p5,18293,5546
C9-e003Coalescence-mBHI-p3,18382,5551
D10-e003Coalescence-mGAM-p5,18131,5482
C8-e003Coalescence-mBHI-p7,18159,5207
B11-e003Assembly-mGAM-p5,17739,5389
G3-e004Assembly-epsilon-p7,16936,4252
B4-e003Coalescence-mGAM-p5,18262,5513
D4-e003Coalescence-mGAM-p5,18271,5522
C3-e004Assembly-mBHI-p7,16904,4239
B5-e003Coalescence-mGAM-p5,17971,5489
B5-e003Coalescence-Inoculumn-mBHI,18349,5524
G3-e004Assembly-epsilon-p3,16931,4263
C2-e003Coalescence-mGAM-p3,17777,4945
B5-e003Coalescence-mGAM-p7,17489,5364
D8-e003Coalescence-mBHI-p5,18102,5466
C10-e003Assembly-mGAM-p3,17226,5165
B10-e003Coalescence-mBHI-p5,18383,5551
D5-e003Coalescence-Inoculumn-mGAM,17907,5420
F2-e004Assembly-epsilon-p3,16636,4551
B3-e004Assembly-mBHI-p5,16870,4240
B5-e003Coalescence-mBHI-p3,18360,5541
G4-e004Assembly-epsilon-p5,16449,4493
C4-e003Coalescence-mGAM-p5,18211,5275
C5-e003Coalescence-mGAM-p7,18011,5440
C5-e003Coalescence-mBHI-inoculumn-redo,18327,5486
A2-e003Coalescence-mBHI-p7,17936,5359
A10-e003Coalescence-mBHI-p5,18326,5426
D2-e003Coalescence-mBHI-p7,12963,3967
B8-e003Assembly-mGAM-p3,17236,5168
A4-e003Coalescence-mGAM-p5,18180,5470
D5-e003Coalescence-mBHI-p5,18289,5482
D3-e003Assembly-mBHI-p3,18022,5528
D4-e003Coalescence-mGAM-p7,18249,5511
E4-e004Assembly-mGAM-p3,16054,4905
A8-e003Coalescence-mBHI-p7,17914,5361
E3-e004Assembly-mGAM-p7,16438,4167
B9-e003GlycerolRevival-mGAM-p2,17376,5346
C4-e003Coalescence-mGAM-p3,18010,5074
B2-e003Coalescence-Inoculumn-mGAM,18114,5489
D5-e003Coalescence-mGAM-p7,16909,5161
C5-e003Coalescence-mBHI-p5,18385,5543
C5-e003Coalescence-mGAM-p3,18308,5533
A3-e003Coalescence-mBHI-inoculumn-redo,18218,5449
D9-e003Assembly-mGAM-p5,17705,5424
