,B3-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,5119,6556
C9-e003Coalescence-mGAM-p3,5048,6577
D2-e004Assembly-mGAM-p7,4488,5649
C11-e003Coalescence-mBHI-p3,5126,6567
D11-e003Coalescence-mBHI-p5,5119,6530
C9-e003Coalescence-mGAM-p7,5048,6566
C8-e003Coalescence-mGAM-p7,5094,6505
D10-e003Coalescence-mBHI-p3,5127,6586
F3-e004Assembly-epsilon-p3,4520,5159
B2-e003Coalescence-mBHI-p3,5118,6583
A8-e003Coalescence-mBHI-p3,4933,6392
e004-inoculumn-fecal-BD,4191,5450
A4-e003Coalescence-mBHI-p7,5107,6558
B4-e003Coalescence-mBHI-p5,4474,5928
B9-e003Coalescence-mGAM-p5,5076,6578
A4-e003Coalescence-mBHI-inoculumn-redo,5074,6537
B3-e003Coalescence-mBHI-p3,5096,6581
D4-e003Coalescence-mBHI-p5,5124,6576
C2-e003Coalescence-mBHI-p5,4873,6238
B3-e004Assembly-mBHI-p7,4574,5211
D4-e003Coalescence-mBHI-p3,5124,6570
C4-e003GlycerolRevival-mBHI-p2,5059,6444
D10-e003Assembly-mGAM-p5,4672,5984
B2-e003Assembly-mBHI-p5,4845,6273
C3-e004Assembly-mBHI-p5,4540,5184
B2-e003Coalescence-mBHI-p5,4895,6361
B8-e003Assembly-mGAM-p5,4775,6191
F4-e004Assembly-epsilon-p5,4457,5654
C4-e003Coalescence-mGAM-p7,5034,6412
B12-e003Coalescence-mBHI-p3,5098,6552
D3-e004Assembly-mGAM-p7,4468,5089
C8-e003Assembly-mGAM-p3,4870,6312
C3-e003Coalescence-mGAM-p3,5112,6564
B4-e003Assembly-mBHI-p5,4724,6090
D4-e004Assembly-mGAM-p5,4914,6349
D3-e003Coalescence-Inoculumn-mBHI,5124,6579
C8-e003Assembly-mGAM-p5,4671,5940
C3-e003Coalescence-mBHI-p7,5077,6570
D11-e003Coalescence-mGAM-p5,5099,6471
A11-e003Coalescence-mGAM-p7,5078,6446
B8-e003Coalescence-mBHI-p5,5125,6590
B10-e003Assembly-mGAM-p5,5009,6422
C2-e003Coalescence-mGAM-p7,4797,6150
D3-e003Coalescence-mBHI-p5,5128,6586
B11-e003Coalescence-mGAM-p3,5125,6588
C4-e003Coalescence-mBHI-inoculumn-redo,4659,6047
B5-e003Assembly-mBHI-p5,5103,6485
D2-e003Coalescence-mBHI-p5,5116,6551
D8-e003Assembly-mGAM-p5,4741,6165
D5-e003Coalescence-mGAM-p5,5092,6471
