,B3-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
C12-e003Coalescence-mBHI-p3,921,10989
C9-e003Coalescence-mGAM-p3,883,11055
D2-e004Assembly-mGAM-p7,781,9706
C11-e003Coalescence-mBHI-p3,920,11008
D11-e003Coalescence-mBHI-p5,911,10956
C9-e003Coalescence-mGAM-p7,877,11044
C8-e003Coalescence-mGAM-p7,934,11032
D10-e003Coalescence-mBHI-p3,932,11069
F3-e004Assembly-epsilon-p3,803,9724
B2-e003Coalescence-mBHI-p3,931,11078
A8-e003Coalescence-mBHI-p3,916,10829
e004-inoculumn-fecal-BD,752,9721
A4-e003Coalescence-mBHI-p7,933,11055
B4-e003Coalescence-mBHI-p5,813,9778
B9-e003Coalescence-mGAM-p5,884,11067
A4-e003Coalescence-mBHI-inoculumn-redo,931,11068
B3-e003Coalescence-mBHI-p3,929,11083
D4-e003Coalescence-mBHI-p5,931,11062
C2-e003Coalescence-mBHI-p5,923,11032
B3-e004Assembly-mBHI-p7,811,9729
D4-e003Coalescence-mBHI-p3,934,11073
C4-e003GlycerolRevival-mBHI-p2,934,11037
D10-e003Assembly-mGAM-p5,849,10147
B2-e003Assembly-mBHI-p5,885,10681
C3-e004Assembly-mBHI-p5,810,9711
B2-e003Coalescence-mBHI-p5,923,11052
B8-e003Assembly-mGAM-p5,869,10572
F4-e004Assembly-epsilon-p5,792,9791
C4-e003Coalescence-mGAM-p7,930,10952
B12-e003Coalescence-mBHI-p3,911,10979
D3-e004Assembly-mGAM-p7,796,9531
C8-e003Assembly-mGAM-p3,900,10698
C3-e003Coalescence-mGAM-p3,933,11078
B4-e003Assembly-mBHI-p5,904,10969
D4-e004Assembly-mGAM-p5,897,10744
D3-e003Coalescence-Inoculumn-mBHI,934,11082
C8-e003Assembly-mGAM-p5,827,10232
C3-e003Coalescence-mBHI-p7,933,11080
D11-e003Coalescence-mGAM-p5,903,10927
A11-e003Coalescence-mGAM-p7,899,10869
B8-e003Coalescence-mBHI-p5,911,11077
B10-e003Assembly-mGAM-p5,924,10759
C2-e003Coalescence-mGAM-p7,924,11035
D3-e003Coalescence-mBHI-p5,930,11071
B11-e003Coalescence-mGAM-p3,919,11056
C4-e003Coalescence-mBHI-inoculumn-redo,934,11083
B5-e003Assembly-mBHI-p5,916,10915
D2-e003Coalescence-mBHI-p5,916,10975
D8-e003Assembly-mGAM-p5,864,10487
D5-e003Coalescence-mGAM-p5,898,10939
B5-e003Coalescence-mBHI-p5,929,11064
D5-e003Coalescence-mBHI-p7,912,10980
C9-e003Coalescence-mBHI-p5,934,11078
A10-e003Coalescence-mBHI-p3,933,10987
A5-e003Coalescence-mGAM-p3,914,10972
A2-e003Coalescence-Inoculumn-mGAM,905,10781
D8-e003Coalescence-mGAM-p5,903,10939
A12-e003Coalescence-mGAM-p3,893,10825
C2-e003Coalescence-mBHI-p3,919,11010
C4-e004Assembly-mBHI-p5,893,10735
D9-e003Coalescence-mGAM-p7,891,11068
D4-e003Coalescence-mBHI-p7,931,11035
D8-e003Assembly-mGAM-p3,864,10524
E4-e004Assembly-mGAM-p7,881,10732
E3-e004Assembly-mGAM-p3,806,9711
D2-e004Assembly-mGAM-p3,741,9558
B10-e003Coalescence-mGAM-p3,884,11045
A9-e003Coalescence-mGAM-p7,912,11028
B5-e003Coalescence-Inoculumn-mGAM,913,11040
D10-e003Coalescence-mBHI-p5,934,11062
D5-e003Coalescence-mBHI-p3,919,10972
C5-e003Coalescence-mBHI-p3,934,11061
D9-e003Coalescence-mGAM-p5,901,11067
C9-e003Coalescence-mBHI-p3,934,11079
D10-e003Coalescence-mGAM-p5,918,10963
C8-e003Coalescence-mBHI-p7,931,11051
B11-e003Assembly-mGAM-p5,879,10810
G3-e004Assembly-epsilon-p7,816,9759
B4-e003Coalescence-mGAM-p5,921,10999
D4-e003Coalescence-mGAM-p5,933,10963
C3-e004Assembly-mBHI-p7,811,9718
B5-e003Coalescence-mGAM-p5,893,10955
B5-e003Coalescence-Inoculumn-mBHI,933,11077
G3-e004Assembly-epsilon-p3,809,9726
C2-e003Coalescence-mGAM-p3,897,10980
B5-e003Coalescence-mGAM-p7,866,10748
D8-e003Coalescence-mBHI-p5,905,10948
C10-e003Assembly-mGAM-p3,892,10260
B10-e003Coalescence-mBHI-p5,933,11078
D5-e003Coalescence-Inoculumn-mGAM,890,10901
F2-e004Assembly-epsilon-p3,791,9848
B3-e004Assembly-mBHI-p5,809,9734
B5-e003Coalescence-mBHI-p3,930,11063
G4-e004Assembly-epsilon-p5,779,9727
C4-e003Coalescence-mGAM-p5,928,11038
C5-e003Coalescence-mGAM-p7,908,10895
C5-e003Coalescence-mBHI-inoculumn-redo,934,11081
A2-e003Coalescence-mBHI-p7,913,10795
A10-e003Coalescence-mBHI-p5,932,11031
D2-e003Coalescence-mBHI-p7,657,8471
B8-e003Assembly-mGAM-p3,864,10491
A4-e003Coalescence-mGAM-p5,914,10951
D5-e003Coalescence-mBHI-p5,934,10849
D3-e003Assembly-mBHI-p3,853,11036
D4-e003Coalescence-mGAM-p7,929,10999
E4-e004Assembly-mGAM-p3,808,9988
A8-e003Coalescence-mBHI-p7,913,10807
E3-e004Assembly-mGAM-p7,790,9475
B9-e003GlycerolRevival-mGAM-p2,824,10743
C4-e003Coalescence-mGAM-p3,933,11043
B2-e003Coalescence-Inoculumn-mGAM,911,10993
D5-e003Coalescence-mGAM-p7,846,10414
C5-e003Coalescence-mBHI-p5,933,11069
C5-e003Coalescence-mGAM-p3,933,11013
A3-e003Coalescence-mBHI-inoculumn-redo,924,10983
D9-e003Assembly-mGAM-p5,838,10939
B12-e003Coalescence-mGAM-p3,905,11003
A11-e003Coalescence-mBHI-p7,899,10901
A3-e003Coalescence-Inoculumn-mGAM,906,10955
D10-e003Assembly-mGAM-p3,871,10350
C3-e003Coalescence-mGAM-p5,927,10993
B4-e004Assembly-mBHI-p5,890,10765
C10-e003GlycerolRevival-mGAM-p2,926,10607
D3-e003Assembly-mBHI-p5,867,11053
A10-e003Coalescence-mGAM-p3,934,10991
A9-e003Coalescence-mBHI-p3,903,11077
A2-e003Coalescence-Inoculumn-mBHI,913,10811
D3-e003Coalescence-mBHI-p7,933,11077
C3-e003Coalescence-mBHI-p5,933,11080
D2-e003Assembly-mBHI-p3,910,10758
B3-e003Assembly-mBHI-p5,904,11066
A9-e003Coalescence-mBHI-p5,901,11065
D5-e003Coalescence-Inoculumn-mBHI,921,10993
B2-e003Coalescence-mGAM-p3,914,11043
B4-e003Assembly-mBHI-p3,921,10945
C11-e003Coalescence-mGAM-p5,912,10942
G4-e004Assembly-epsilon-p3,765,9784
B3-e003Coalescence-Inoculumn-mBHI,934,11083
A8-e003Coalescence-mBHI-p5,911,10805
C2-e003Assembly-mBHI-p5,900,10720
D9-e003Coalescence-mBHI-p3,881,10821
D5-e003Assembly-mBHI-p5,915,10973
A5-e003Coalescence-mBHI-p7,920,10995
G2-e004Assembly-epsilon-p3,787,9879
BG-Fecal,786,9993
D2-e003Coalescence-mGAM-p5,926,10993
B9-e003Assembly-mGAM-p5,826,10912
D3-e003Coalescence-mGAM-p3,929,11038
D9-e003Coalescence-mGAM-p3,917,11039
E2-e004Assembly-mGAM-p7,785,9862
D3-e003Coalescence-mGAM-p5,925,11077
C10-e003Coalescence-mGAM-p3,933,10834
A5-e003Coalescence-mBHI-inoculumn-redo,925,11033
B11-e003Assembly-mGAM-p3,779,9860
D2-e003Assembly-mBHI-p5,895,10710
B9-e003Coalescence-mGAM-p7,873,11040
B11-e003Coalescence-mGAM-p7,882,11015
C3-e003Coalescence-Inoculumn-mGAM,929,11016
B5-e003Coalescence-mBHI-p7,933,11082
A3-e003Coalescence-mGAM-p7,878,10984
D4-e003Coalescence-Inoculumn-mBHI,932,11077
A4-e003Coalescence-mBHI-p5,933,11054
B3-e003Coalescence-mBHI-p7,922,11077
C2-e004Assembly-mBHI-p7,872,10636
