,A2-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
C12-e003Coalescence-mBHI-p3,19625,11908
C9-e003Coalescence-mGAM-p3,19426,11829
D2-e004Assembly-mGAM-p7,17580,10630
C11-e003Coalescence-mBHI-p3,19691,11949
D11-e003Coalescence-mBHI-p5,19517,11865
C9-e003Coalescence-mGAM-p7,19386,11797
C8-e003Coalescence-mGAM-p7,19758,11976
D10-e003Coalescence-mBHI-p3,19767,12005
F3-e004Assembly-epsilon-p3,18237,10952
B2-e003Coalescence-mBHI-p3,19776,12011
A8-e003Coalescence-mBHI-p3,19584,11971
e004-inoculumn-fecal-BD,17989,10699
A4-e003Coalescence-mBHI-p7,19763,12003
B4-e003Coalescence-mBHI-p5,17660,10556
B9-e003Coalescence-mGAM-p5,19529,11858
A4-e003Coalescence-mBHI-inoculumn-redo,19772,12008
B3-e003Coalescence-mBHI-p3,19770,12009
D4-e003Coalescence-mBHI-p5,19750,11995
C2-e003Coalescence-mBHI-p5,19757,11999
B3-e004Assembly-mBHI-p7,18236,10951
D4-e003Coalescence-mBHI-p3,19768,12005
C4-e003GlycerolRevival-mBHI-p2,19762,11979
D10-e003Assembly-mGAM-p5,18261,11010
B2-e003Assembly-mBHI-p5,18981,11815
C3-e004Assembly-mBHI-p5,18226,10940
B2-e003Coalescence-mBHI-p5,19741,11987
B8-e003Assembly-mGAM-p5,18736,11693
F4-e004Assembly-epsilon-p5,18066,10750
C4-e003Coalescence-mGAM-p7,19721,11929
B12-e003Coalescence-mBHI-p3,19456,11844
D3-e004Assembly-mGAM-p7,17895,10749
C8-e003Assembly-mGAM-p3,19108,11847
C3-e003Coalescence-mGAM-p3,19767,12000
B4-e003Assembly-mBHI-p5,19710,11954
D4-e004Assembly-mGAM-p5,19014,11712
D3-e003Coalescence-Inoculumn-mBHI,19775,12010
C8-e003Assembly-mGAM-p5,18000,11315
C3-e003Coalescence-mBHI-p7,19774,12008
D11-e003Coalescence-mGAM-p5,19386,11816
A11-e003Coalescence-mGAM-p7,19259,11766
B8-e003Coalescence-mBHI-p5,19633,11946
B10-e003Assembly-mGAM-p5,19448,11724
C2-e003Coalescence-mGAM-p7,19766,11991
D3-e003Coalescence-mBHI-p5,19762,11993
B11-e003Coalescence-mGAM-p3,19670,11959
