,C4-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
G4-e004Assembly-epsilon-p5,0.005112491977480822,0.006168131214897458
C4-e003Coalescence-mGAM-p5,0.663,0.28
C5-e003Coalescence-mGAM-p7,0.0071008518317488565,0.9838615900475649
C5-e003Coalescence-mBHI-inoculumn-redo,0.612,0.33499999999999996
A2-e003Coalescence-mBHI-p7,0.0009965040941747713,0.9974101808956048
A10-e003Coalescence-mBHI-p5,0.583,0.36
D2-e003Coalescence-mBHI-p7,0.04057686963997659,0.9419862586886407
B8-e003Assembly-mGAM-p3,0.011202288089546325,0.9726177777377867
A4-e003Coalescence-mGAM-p5,0.0010350417077770009,0.962
D5-e003Coalescence-mBHI-p5,0.182,0.737
D3-e003Assembly-mBHI-p3,0.001721234839824314,0.9944680606678502
D4-e003Coalescence-mGAM-p7,0.0036092169484117347,0.9908601328491082
E4-e004Assembly-mGAM-p3,0.025728813851056742,0.9442029953912376
A8-e003Coalescence-mBHI-p7,0.0002921921905144056,0.9992266372692151
E3-e004Assembly-mGAM-p7,0.047702130050307066,0.02342315569877495
B9-e003GlycerolRevival-mGAM-p2,0.0075635828817746205,0.980140254133593
C4-e003Coalescence-mGAM-p3,0.749,0.21299999999999997
B2-e003Coalescence-Inoculumn-mGAM,0.0027215502591197457,0.9923348805837243
D5-e003Coalescence-mGAM-p7,0.005269715555380182,0.9936299931297273
C5-e003Coalescence-mBHI-p5,0.152,0.783
C5-e003Coalescence-mGAM-p3,0.028,0.95
A3-e003Coalescence-mBHI-inoculumn-redo,0.475,0.41900000000000004
D9-e003Assembly-mGAM-p5,0.004070792536720744,0.9878113212249368
B12-e003Coalescence-mGAM-p3,0.0020775151212732946,0.9931784999871062
A11-e003Coalescence-mBHI-p7,0.0003174082010683951,0.9995628391005098
A3-e003Coalescence-Inoculumn-mGAM,0.005255066638420465,0.9853736755032361
D10-e003Assembly-mGAM-p3,0.429,0.43500000000000005
C3-e003Coalescence-mGAM-p5,0.157,0.735
B4-e004Assembly-mBHI-p5,0.004306764566924129,0.9887403435548905
C10-e003GlycerolRevival-mGAM-p2,0.010495899799927717,0.9806023751615818
D3-e003Assembly-mBHI-p5,0.00044630069328963686,0.9985402784074026
A10-e003Coalescence-mGAM-p3,0.335,0.597
A9-e003Coalescence-mBHI-p3,0.0006118467926416283,0.9982564282067996
A2-e003Coalescence-Inoculumn-mBHI,0.0010229275752653918,0.9972845534005028
D3-e003Coalescence-mBHI-p7,0.387,0.44399999999999995
C3-e003Coalescence-mBHI-p5,0.596,0.33999999999999997
D2-e003Assembly-mBHI-p3,0.00146033009519431,0.9961803254289491
B3-e003Assembly-mBHI-p5,0.555,0.406
A9-e003Coalescence-mBHI-p5,0.0017790520892086307,0.9952287722437695
D5-e003Coalescence-Inoculumn-mBHI,0.0012864895115735635,0.871
B2-e003Coalescence-mGAM-p3,0.683,0.269
B4-e003Assembly-mBHI-p3,0.736,0.20499999999999996
C11-e003Coalescence-mGAM-p5,0.0073473329149984475,0.9875930216248188
G4-e004Assembly-epsilon-p3,0.0030475414603434894,0.03750000000000002
B3-e003Coalescence-Inoculumn-mBHI,0.755,0.21699999999999997
A8-e003Coalescence-mBHI-p5,0.000748813463501859,0.9980149647762688
C2-e003Assembly-mBHI-p5,0.0037794035940316504,0.9903002508372153
D9-e003Coalescence-mBHI-p3,0.004032829786096984,0.9884813228836771
D5-e003Assembly-mBHI-p5,0.0060946637260274415,0.763
A5-e003Coalescence-mBHI-p7,0.0005465065716626044,0.9984655131288449
G2-e004Assembly-epsilon-p3,0.003979955928871413,0.07199999999999995
BG-Fecal,0.02457871140902243,0.011645537679720722
D2-e003Coalescence-mGAM-p5,0.0018490365794112014,0.9949305748453674
B9-e003Assembly-mGAM-p5,0.0051227506798552785,0.9849322777164118
D3-e003Coalescence-mGAM-p3,0.051,0.901
D9-e003Coalescence-mGAM-p3,0.001162621928066429,0.9961215998521645
E2-e004Assembly-mGAM-p7,0.038756232232009045,0.0566090429484254
D3-e003Coalescence-mGAM-p5,0.02,0.962
C10-e003Coalescence-mGAM-p3,0.286,0.644
A5-e003Coalescence-mBHI-inoculumn-redo,0.002619837565110413,0.947
B11-e003Assembly-mGAM-p3,0.012039164554339357,0.9879449582703609
D2-e003Assembly-mBHI-p5,0.004453795134340538,0.9885941101680589
B9-e003Coalescence-mGAM-p7,0.00204007403555861,0.9935074628561991
B11-e003Coalescence-mGAM-p7,0.002299218871632358,0.9926246961989337
C3-e003Coalescence-Inoculumn-mGAM,0.182,0.724
B5-e003Coalescence-mBHI-p7,0.364,0.489
A3-e003Coalescence-mGAM-p7,0.632,0.31699999999999995
D4-e003Coalescence-Inoculumn-mBHI,0.565,0.358
A4-e003Coalescence-mBHI-p5,0.49,0.41400000000000003
B3-e003Coalescence-mBHI-p7,0.643,0.32999999999999996
C2-e004Assembly-mBHI-p7,0.0036680088369953046,0.32099999999999995
D10-e003Coalescence-mGAM-p7,0.001540216423491866,0.9962499316364339
C12-e003Coalescence-mGAM-p3,0.027879689273237345,0.893
C11-e003Coalescence-mGAM-p3,0.107,0.865
A10-e003Coalescence-mBHI-p7,0.659,0.29800000000000004
C10-e003Coalescence-mBHI-p7,0.71,0.254
B9-e003Coalescence-mBHI-p5,0.00029592428425479877,0.9990324943437336
F4-e004Assembly-epsilon-p3,0.005408397551742978,0.08199999999999996
B10-e003Coalescence-mBHI-p3,0.203,0.718
C11-e003Coalescence-mBHI-p5,0.176,0.791
A2-e003Coalescence-mGAM-p7,0.003945572675650732,0.9898173039784449
C5-e003Assembly-mBHI-p3,0.0038443606840377143,0.933
E3-e004Assembly-mGAM-p5,0.01320525059380556,0.006240038991928993
E2-e004Assembly-mGAM-p5,0.011360571708678244,0.06599999999999995
