,B3-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
B11-e003Coalescence-mBHI-p3,0.842,0.8405
B11-e003Coalescence-mGAM-p3,0.867,0.8175
B11-e003Coalescence-mGAM-p7,0.6666666666666666,1.0
B5-e003Coalescence-Inoculumn-mGAM,0.8636666666666667,0.8474999999999999
D3-e003Coalescence-Inoculumn-mGAM,1.0,0.7855
D9-e003Coalescence-mBHI-p3,0.8786666666666667,0.7715000000000001
D9-e003Coalescence-mBHI-p5,0.8683333333333333,0.8045
D9-e003Coalescence-mBHI-p7,0.8866666666666667,0.804
D9-e003Coalescence-mGAM-p3,1.0,1.0
D9-e003Coalescence-mGAM-p5,0.923,0.8405
D9-e003Coalescence-mGAM-p7,0.895,0.8115
F111-e003Coalescence-mBHI-p3_S120,0.7803333333333334,0.833
F111-e003Coalescence-mBHI-p5_S20,0.8846666666666666,0.8585
F111-e003Coalescence-mBHI-p7_S116,0.9026666666666667,0.869
F111-e003Coalescence-mGAM-p3_S168,0.6786666666666666,0.8465
F111-e003Coalescence-mGAM-p5_S68,0.0,0.5
F111-e003Coalescence-mGAM-p7_S164,1.0,0.9375
H9-e003Coalescence-mBHI-p5_S42,0.7706666666666667,0.846
H9-e003Coalescence-mBHI-p7_S138,0.7843333333333334,0.8025
H9-e003Coalescence-mGAM-p3_S190,0.3333333333333333,1.0
H9-e003Coalescence-mGAM-p5_S90,0.9013333333333334,0.835
H9-e003Coalescence-mGAM-p7_S186,0.6150000000000001,0.8345
