,index,fixed_diffs,num_int_sites,sample1,species_id
0,e004-inoculumn-fecal-BD,0,256299,e004-inoculumn-fecal-BD,100084
1,e004-inoculumn-fecal-AK,2399,2105976,e004-inoculumn-fecal-BD,100084
2,BB-Fecal,2422,2249225,e004-inoculumn-fecal-BD,100084
3,AM-Fecal,2206,2107951,e004-inoculumn-fecal-BD,100084
4,e003-inoculumn-fecal-AC,2389,2215105,e004-inoculumn-fecal-BD,100084
5,BG-Fecal,2215,2191647,e004-inoculumn-fecal-BD,100084
6,e004-inoculumn-fecal-AR,2283,2155444,e004-inoculumn-fecal-BD,100084
7,BK-Fecal,2517,2103301,e004-inoculumn-fecal-BD,100084
8,e003-inoculumn-fecal-AE,2285,2196909,e004-inoculumn-fecal-BD,100084
9,BC-Fecal,2568,2111880,e004-inoculumn-fecal-BD,100084
10,e004-inoculumn-fecal-BE,2707,2258286,e004-inoculumn-fecal-BD,100084
11,BA-Fecal,2655,2199507,e004-inoculumn-fecal-BD,100084
12,e003-inoculumn-fecal-AF,1614,1422211,e004-inoculumn-fecal-BD,100084
0,e004-inoculumn-fecal-BD,2379,256299,e004-inoculumn-fecal-AK,100084
1,e004-inoculumn-fecal-AK,0,2105976,e004-inoculumn-fecal-AK,100084
2,BB-Fecal,14950,2249225,e004-inoculumn-fecal-AK,100084
3,AM-Fecal,13035,2107951,e004-inoculumn-fecal-AK,100084
4,e003-inoculumn-fecal-AC,14452,2215105,e004-inoculumn-fecal-AK,100084
5,BG-Fecal,13643,2191647,e004-inoculumn-fecal-AK,100084
6,e004-inoculumn-fecal-AR,13556,2155444,e004-inoculumn-fecal-AK,100084
7,BK-Fecal,15196,2103301,e004-inoculumn-fecal-AK,100084
8,e003-inoculumn-fecal-AE,14164,2196909,e004-inoculumn-fecal-AK,100084
9,BC-Fecal,16470,2111880,e004-inoculumn-fecal-AK,100084
10,e004-inoculumn-fecal-BE,16655,2258286,e004-inoculumn-fecal-AK,100084
11,BA-Fecal,16559,2199507,e004-inoculumn-fecal-AK,100084
12,e003-inoculumn-fecal-AF,8526,1422211,e004-inoculumn-fecal-AK,100084
0,e004-inoculumn-fecal-BD,2398,256299,BB-Fecal,100084
1,e004-inoculumn-fecal-AK,14981,2105976,BB-Fecal,100084
2,BB-Fecal,0,2249225,BB-Fecal,100084
3,AM-Fecal,13142,2107951,BB-Fecal,100084
4,e003-inoculumn-fecal-AC,14687,2215105,BB-Fecal,100084
5,BG-Fecal,13772,2191647,BB-Fecal,100084
6,e004-inoculumn-fecal-AR,13656,2155444,BB-Fecal,100084
7,BK-Fecal,17201,2103301,BB-Fecal,100084
8,e003-inoculumn-fecal-AE,14219,2196909,BB-Fecal,100084
9,BC-Fecal,15750,2111880,BB-Fecal,100084
10,e004-inoculumn-fecal-BE,17113,2258286,BB-Fecal,100084
11,BA-Fecal,17370,2199507,BB-Fecal,100084
12,e003-inoculumn-fecal-AF,8527,1422211,BB-Fecal,100084
0,e004-inoculumn-fecal-BD,1986,256299,AM-Fecal,100084
1,e004-inoculumn-fecal-AK,11622,2105976,AM-Fecal,100084
2,BB-Fecal,11723,2249225,AM-Fecal,100084
3,AM-Fecal,0,2107951,AM-Fecal,100084
4,e003-inoculumn-fecal-AC,11438,2215105,AM-Fecal,100084
5,BG-Fecal,10952,2191647,AM-Fecal,100084
6,e004-inoculumn-fecal-AR,8002,2155444,AM-Fecal,100084
7,BK-Fecal,10942,2103301,AM-Fecal,100084
8,e003-inoculumn-fecal-AE,10852,2196909,AM-Fecal,100084
9,BC-Fecal,10387,2111880,AM-Fecal,100084
10,e004-inoculumn-fecal-BE,14276,2258286,AM-Fecal,100084
11,BA-Fecal,13921,2199507,AM-Fecal,100084
12,e003-inoculumn-fecal-AF,5326,1422211,AM-Fecal,100084
0,e004-inoculumn-fecal-BD,2392,256299,e003-inoculumn-fecal-AC,100084
1,e004-inoculumn-fecal-AK,14367,2105976,e003-inoculumn-fecal-AC,100084
2,BB-Fecal,14630,2249225,e003-inoculumn-fecal-AC,100084
3,AM-Fecal,12865,2107951,e003-inoculumn-fecal-AC,100084
4,e003-inoculumn-fecal-AC,0,2215105,e003-inoculumn-fecal-AC,100084
5,BG-Fecal,13570,2191647,e003-inoculumn-fecal-AC,100084
6,e004-inoculumn-fecal-AR,13432,2155444,e003-inoculumn-fecal-AC,100084
7,BK-Fecal,17015,2103301,e003-inoculumn-fecal-AC,100084
8,e003-inoculumn-fecal-AE,13941,2196909,e003-inoculumn-fecal-AC,100084
9,BC-Fecal,16411,2111880,e003-inoculumn-fecal-AC,100084
10,e004-inoculumn-fecal-BE,16235,2258286,e003-inoculumn-fecal-AC,100084
11,BA-Fecal,16925,2199507,e003-inoculumn-fecal-AC,100084
12,e003-inoculumn-fecal-AF,8599,1422211,e003-inoculumn-fecal-AC,100084
0,e004-inoculumn-fecal-BD,2185,256299,BG-Fecal,100084
1,e004-inoculumn-fecal-AK,13698,2105976,BG-Fecal,100084
2,BB-Fecal,13832,2249225,BG-Fecal,100084
3,AM-Fecal,12380,2107951,BG-Fecal,100084
4,e003-inoculumn-fecal-AC,13675,2215105,BG-Fecal,100084
5,BG-Fecal,0,2191647,BG-Fecal,100084
