,trial_parts,abundance_file,test_genome,abundance_id,is_close_to_ref,initial_sample,mesocosm,trial
34,GUT_GENOME000472_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_0_abundances_trial_000,workflow/abundance_files/GUT_GENOME000472/A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_0_abundances.txt,GUT_GENOME000472,0,False,A10-e003Coalescence-mBHI-p7,A10-e003Coalescence-mBHI-p7_GUT_GENOME000472,0
35,GUT_GENOME000472_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_0_abundances_trial_001,workflow/abundance_files/GUT_GENOME000472/A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_0_abundances.txt,GUT_GENOME000472,0,False,A10-e003Coalescence-mBHI-p7,A10-e003Coalescence-mBHI-p7_GUT_GENOME000472,1
36,GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_0_abundances_trial_000,workflow/abundance_files/GUT_GENOME000472/G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_0_abundances.txt,GUT_GENOME000472,0,False,G8-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_GUT_GENOME000472,0
37,GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_0_abundances_trial_001,workflow/abundance_files/GUT_GENOME000472/G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_0_abundances.txt,GUT_GENOME000472,0,False,G8-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_GUT_GENOME000472,1
38,GUT_GENOME000472_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_5_abundances_trial_000,workflow/abundance_files/GUT_GENOME000472/A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_5_abundances.txt,GUT_GENOME000472,5,False,A10-e003Coalescence-mBHI-p7,A10-e003Coalescence-mBHI-p7_GUT_GENOME000472,0
39,GUT_GENOME000472_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_5_abundances_trial_001,workflow/abundance_files/GUT_GENOME000472/A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_5_abundances.txt,GUT_GENOME000472,5,False,A10-e003Coalescence-mBHI-p7,A10-e003Coalescence-mBHI-p7_GUT_GENOME000472,1
40,GUT_GENOME000472_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_10_abundances_trial_000,workflow/abundance_files/GUT_GENOME000472/A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_10_abundances.txt,GUT_GENOME000472,10,False,A10-e003Coalescence-mBHI-p7,A10-e003Coalescence-mBHI-p7_GUT_GENOME000472,0
41,GUT_GENOME000472_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_10_abundances_trial_001,workflow/abundance_files/GUT_GENOME000472/A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_10_abundances.txt,GUT_GENOME000472,10,False,A10-e003Coalescence-mBHI-p7,A10-e003Coalescence-mBHI-p7_GUT_GENOME000472,1
42,GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_1_abundances_trial_000,workflow/abundance_files/GUT_GENOME000472/G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_1_abundances.txt,GUT_GENOME000472,1,False,G8-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_GUT_GENOME000472,0
43,GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_1_abundances_trial_001,workflow/abundance_files/GUT_GENOME000472/G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_1_abundances.txt,GUT_GENOME000472,1,False,G8-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_GUT_GENOME000472,1
44,GUT_GENOME000472_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_4_abundances_trial_000,workflow/abundance_files/GUT_GENOME000472/A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_4_abundances.txt,GUT_GENOME000472,4,False,A10-e003Coalescence-mBHI-p7,A10-e003Coalescence-mBHI-p7_GUT_GENOME000472,0
45,GUT_GENOME000472_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_4_abundances_trial_001,workflow/abundance_files/GUT_GENOME000472/A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_4_abundances.txt,GUT_GENOME000472,4,False,A10-e003Coalescence-mBHI-p7,A10-e003Coalescence-mBHI-p7_GUT_GENOME000472,1
