,A2-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
A11-e003Coalescence-mBHI-p1_S772,51637,3003
A11-e003Coalescence-mBHI-p3,52489,3069
A11-e003Coalescence-mBHI-p5,44051,2557
A11-e003Coalescence-mBHI-p7,41010,2371
A11-e003Coalescence-mGAM-p1_S776,51618,3016
A11-e003Coalescence-mGAM-p3,52478,3072
A11-e003Coalescence-mGAM-p7,51278,3010
A5-e003Coalescence-Inoculumn-mGAM,52468,3071
A_A8_A11_AF_AA_mGAM_mBHI_2_S8,47351,2729
A_D5_D8_AA_AF_mGAM_mBHI_2_S41,50459,2938
A_E8_A11_AF_AA_mGAM_mGAM_2_S56,51674,3050
A_H5_D8_AA_AF_mGAM_mGAM_2_S89,49434,2861
B_A12_A11_AF_AA_mGAM_mBHI_4_S108,52402,3063
B_E12_A11_AF_AA_mGAM_mGAM_4_S156,52245,3060
B_E8_E11_AF_AA_mGAM_mGAM_2_S152,51089,3042
B_H5_H8_AA_AF_mGAM_mGAM_2_S185,51403,3034
B_H9_D8_AA_AF_mGAM_mGAM_4_S189,51852,3061
C_D5_D8_AA_AF_mGAM_mBHI_6_S233,52477,3073
C_E8_A11_AF_AA_mGAM_mGAM_6_S248,52391,3066
C_H5_D8_AA_AF_mGAM_mGAM_6_S281,51465,3034
Coalescence-B5-D8-AA-AF-mGAM-mGAM-7_S636,52433,3071
Coalescence-B6-E11-AA-AF-mGAM-mGAM-7_S637,51636,3053
Coalescence-C3-A11-AA-AF-mGAM-mGAM-5_S646,52436,3072
Coalescence-F1-D8-AA-AF-mGAM-mGAM-3_S680,52042,3063
Coalescence-F10-H8-AA-AF-mGAM-mGAM-3_S689,52188,3067
Coalescence-F3-E11-AA-AF-mGAM-mGAM-3_S682,52420,3073
D2-e003Coalescence-Inoculumn-mGAM,52430,3060
D8-e003Coalescence-mBHI-p1_S751,47741,2786
D8-e003Coalescence-mBHI-p5,50669,2968
D8-e003Coalescence-mGAM-p1_S755,52491,3071
D8-e003Coalescence-mGAM-p5,52457,3072
D_A12_E11_AF_AA_mGAM_mBHI_4_S300,52492,3068
D_A8_A11_AF_AA_mGAM_mBHI_6_S296,52494,3072
D_D5_D8_AA_AF_mGAM_mBHI_6_S329,52201,3065
D_E12_E11_AF_AA_mGAM_mGAM_4_S348,52148,3063
D_E8_A11_AF_AA_mGAM_mGAM_6_S344,52011,3063
D_H5_D8_AA_AF_mGAM_mGAM_6_S377,52341,3070
D_H9_H8_AA_AF_mGAM_mGAM_4_S381,51762,3042
E11-e003Coalescence-mBHI-p1_S836,52471,3071
E11-e003Coalescence-mGAM-p1_S840,52496,3073
E111-e003Coalescence-mBHI-p3_S108,44344,2595
E111-e003Coalescence-mBHI-p5_S8,43257,2498
E111-e003Coalescence-mBHI-p7_S104,52136,3051
E111-e003Coalescence-mGAM-p5_S56,51296,3028
H8-e003Coalescence-mBHI-p1_S815,51713,3015
H8-e003Coalescence-mBHI-p5_S41,51455,2997
H8-e003Coalescence-mBHI-p7_S137,51172,2992
H8-e003Coalescence-mGAM-p1_S819,52489,3072
H8-e003Coalescence-mGAM-p5_S89,51395,3041
H8-e003Coalescence-mGAM-p7_S185,52021,3054
