,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-Inoculumn-mBHI,1974,79
A5-e003Coalescence-mBHI-inoculumn-redo,3159,124
A5-e003Coalescence-mBHI-p1_S740,2072,82
A5-e003Coalescence-mBHI-p7,3216,125
A5-e003Coalescence-mGAM-p1_S744,3222,127
A5-e003Coalescence-mGAM-p3,3273,128
A_A12_A5_AF_AA_mBHI_mBHI_4_S12,3202,122
A_A4_A5_AF_AA_mBHI_mBHI_2_S4,3161,120
A_D1_D2_AA_AF_mBHI_mBHI_2_S37,3271,128
A_D9_D2_AA_AF_mBHI_mBHI_4_S45,3268,128
A_E12_A5_AF_AA_mBHI_mGAM_4_S60,3275,128
A_E4_A5_AF_AA_mBHI_mGAM_2_S52,3271,128
A_H1_D2_AA_AF_mBHI_mGAM_2_S85,3271,128
A_H9_D2_AA_AF_mBHI_mGAM_4_S93,3271,128
B_A4_E5_AF_AA_mBHI_mBHI_2_S100,3217,125
B_D1_H2_AA_AF_mBHI_mBHI_2_S133,1863,65
B_E4_E5_AF_AA_mBHI_mGAM_2_S148,3272,128
C_D9_H2_AA_AF_mBHI_mBHI_4_S237,3131,121
C_E4_A5_AF_AA_mBHI_mGAM_6_S244,3277,128
C_H9_H2_AA_AF_mBHI_mGAM_4_S285,3231,128
Coalescence-C7-A5-AA-AF-mBHI-mBHI-5_S650,3268,127
Coalescence-D5-H2-AA-AF-mBHI-mBHI-5_S660,3256,128
D2-e003Coalescence-Inoculumn-mBHI,2932,119
D2-e003Coalescence-mBHI-p3,3108,113
D2-e003Coalescence-mBHI-p5,3052,114
D2-e003Coalescence-mGAM-p1_S723,3268,128
D2-e003Coalescence-mGAM-p5,3260,128
D_A4_A5_AF_AA_mBHI_mBHI_6_S292,3277,128
D_E4_A5_AF_AA_mBHI_mGAM_6_S340,3276,128
D_H1_D2_AA_AF_mBHI_mGAM_6_S373,3236,127
E5-e003Coalescence-mBHI-p3_S12,2683,109
E5-e003Coalescence-mBHI-p5_S4,2928,111
E5-e003Coalescence-mBHI-p7_S100,3215,125
E5-e003Coalescence-mGAM-p1_S808,3240,128
E5-e003Coalescence-mGAM-p3_S60,3262,128
E5-e003Coalescence-mGAM-p5_S52,3234,128
E5-e003Coalescence-mGAM-p7_S148,3271,128
H2-e003Coalescence-mBHI-p3_S45,3241,120
H2-e003Coalescence-mBHI-p7_S133,3143,119
H2-e003Coalescence-mGAM-p1_S787,3268,128
H2-e003Coalescence-mGAM-p3_S93,3255,128
H2-e003Coalescence-mGAM-p7_S181,3245,128
