,A2-e003Coalescence-Inoculumn-mGAM,B3-e003Coalescence-Inoculumn-mGAM
A3-e003Coalescence-Inoculumn-mGAM,12443.0,40002.0
A9-e003Coalescence-mBHI-p3,23683.0,70329.0
A9-e003Coalescence-mBHI-p5,4530.0,13640.0
A9-e003Coalescence-mBHI-p7,17325.0,51710.0
A9-e003Coalescence-mGAM-p5,40189.0,121837.0
A9-e003Coalescence-mGAM-p7,26063.0,77768.0
B2-e003Coalescence-Inoculumn-mGAM,25336.0,78482.0
B8-e003Coalescence-mBHI-p5,11006.0,31205.0
B8-e003Coalescence-mBHI-p7,4323.0,12354.0
B8-e003Coalescence-mGAM-p5,41207.0,124804.0
B8-e003Coalescence-mGAM-p7,46654.0,140193.0
E9-e003Coalescence-mBHI-p5_S6,6628.0,18459.0
E9-e003Coalescence-mBHI-p7_S102,9351.0,27250.0
E9-e003Coalescence-mGAM-p3_S154,38939.0,114437.0
E9-e003Coalescence-mGAM-p5_S54,18061.0,53616.0
E9-e003Coalescence-mGAM-p7_S150,314.0,931.0
F8-e003Coalescence-mBHI-p3_S117,7668.0,22300.0
F8-e003Coalescence-mBHI-p5_S17,7803.0,22666.0
F8-e003Coalescence-mBHI-p7_S113,5065.0,13719.0
F8-e003Coalescence-mGAM-p3_S165,1233.0,3421.0
F8-e003Coalescence-mGAM-p5_S65,14955.0,45093.0
F8-e003Coalescence-mGAM-p7_S161,13213.0,38185.0
