,B3-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
B5-e003Coalescence-Inoculumn-mBHI,7044,20299
B5-e003Coalescence-mBHI-p3,7075,20328
B5-e003Coalescence-mBHI-p5,6991,20261
B5-e003Coalescence-mBHI-p7,7033,20302
B5-e003Coalescence-mGAM-p3,7048,20110
B5-e003Coalescence-mGAM-p5,7062,20196
B5-e003Coalescence-mGAM-p7,7055,20058
D3-e003Coalescence-Inoculumn-mBHI,7072,20345
D3-e003Coalescence-mBHI-p5,7006,20226
D3-e003Coalescence-mBHI-p7,6976,20310
D3-e003Coalescence-mGAM-p3,7016,20114
D3-e003Coalescence-mGAM-p5,7074,20290
F5-e003Coalescence-mBHI-p3_S24,7069,20323
F5-e003Coalescence-mBHI-p5_S16,6990,20283
F5-e003Coalescence-mBHI-p7_S112,6890,20019
F5-e003Coalescence-mGAM-p3_S72,7029,19468
F5-e003Coalescence-mGAM-p5_S64,7025,19487
F5-e003Coalescence-mGAM-p7_S160,7038,19778
H3-e003Coalescence-mBHI-p3_S46,7079,20342
H3-e003Coalescence-mBHI-p5_S38,7038,20306
H3-e003Coalescence-mBHI-p7_S134,6960,20061
H3-e003Coalescence-mGAM-p3_S94,7019,19427
H3-e003Coalescence-mGAM-p5_S86,7023,19379
H3-e003Coalescence-mGAM-p7_S182,7039,19748
