,A2-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
A4-e003Coalescence-mBHI-inoculumn-redo,2089,2306
A4-e003Coalescence-mBHI-p5,2019,2210
A4-e003Coalescence-mBHI-p7,1767,2019
A4-e003Coalescence-mGAM-p5,2035,2222
C2-e003Coalescence-mBHI-inoculumn-redo,2082,2303
C2-e003Coalescence-mBHI-p3,2042,2229
C2-e003Coalescence-mBHI-p5,739,704
C2-e003Coalescence-mGAM-p3,2064,2266
C2-e003Coalescence-mGAM-p5,2088,2306
C2-e003Coalescence-mGAM-p7,2089,2306
E4-e003Coalescence-mBHI-p3_S11,629,763
E4-e003Coalescence-mBHI-p5_S3,2072,2255
E4-e003Coalescence-mBHI-p7_S99,2072,2283
E4-e003Coalescence-mGAM-p3_S59,2087,2300
E4-e003Coalescence-mGAM-p5_S51,2088,2291
E4-e003Coalescence-mGAM-p7_S147,2083,2304
G2-e003Coalescence-mBHI-p3_S33,751,847
G2-e003Coalescence-mBHI-p5_S25,1319,1298
G2-e003Coalescence-mGAM-p3_S81,2070,2298
G2-e003Coalescence-mGAM-p5_S73,2088,2302
