,A2-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
A4-e003Coalescence-mBHI-inoculumn-redo,125737.0,122746.0
A4-e003Coalescence-mBHI-p5,34200.0,30742.0
A4-e003Coalescence-mBHI-p7,21887.0,20945.0
A4-e003Coalescence-mGAM-p5,162649.0,159919.0
C2-e003Coalescence-mBHI-inoculumn-redo,88517.0,82389.0
C2-e003Coalescence-mBHI-p3,41050.0,37880.0
C2-e003Coalescence-mBHI-p5,8659.0,7663.0
C2-e003Coalescence-mGAM-p3,52866.0,49968.0
C2-e003Coalescence-mGAM-p5,341507.0,315877.0
C2-e003Coalescence-mGAM-p7,920823.0,841192.0
E4-e003Coalescence-mBHI-p3_S11,8412.0,8422.0
E4-e003Coalescence-mBHI-p5_S3,48752.0,44246.0
E4-e003Coalescence-mBHI-p7_S99,86665.0,78754.0
E4-e003Coalescence-mGAM-p3_S59,132915.0,119172.0
E4-e003Coalescence-mGAM-p5_S51,111368.0,99411.0
E4-e003Coalescence-mGAM-p7_S147,754098.0,686418.0
G2-e003Coalescence-mBHI-p3_S33,9599.0,8901.0
G2-e003Coalescence-mBHI-p5_S25,14342.0,12862.0
G2-e003Coalescence-mGAM-p3_S81,497261.0,454546.0
G2-e003Coalescence-mGAM-p5_S73,305078.0,275800.0
