,B3-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
B5-e003Coalescence-Inoculumn-mBHI,0.641,0.296
B5-e003Coalescence-mBHI-p3,0.3255,0.609
B5-e003Coalescence-mBHI-p5,0.643,0.278
B5-e003Coalescence-mBHI-p7,0.674,0.25
B5-e003Coalescence-mGAM-p3,0.021,0.973
B5-e003Coalescence-mGAM-p5,0.0009506315180569236,0.9990059810845874
B5-e003Coalescence-mGAM-p7,0.0011524138655544104,0.9990498996311341
D3-e003Coalescence-Inoculumn-mBHI,0.636,0.297
D3-e003Coalescence-mBHI-p5,0.7,0.24
D3-e003Coalescence-mBHI-p7,0.906,0.06
D3-e003Coalescence-mGAM-p3,0.0017795104792290004,0.992
D3-e003Coalescence-mGAM-p5,0.0030000000000000027,0.994
F5-e003Coalescence-mBHI-p3_S24,0.297,0.612
F5-e003Coalescence-mBHI-p5_S16,0.65,0.263
F5-e003Coalescence-mBHI-p7_S112,0.632,0.275
F5-e003Coalescence-mGAM-p3_S72,0.009,0.988
F5-e003Coalescence-mGAM-p5_S64,0.005,0.993
F5-e003Coalescence-mGAM-p7_S160,0.008,0.983
H3-e003Coalescence-mBHI-p3_S46,0.329,0.57
H3-e003Coalescence-mBHI-p5_S38,0.591,0.308
H3-e003Coalescence-mBHI-p7_S134,0.5,0.4
H3-e003Coalescence-mGAM-p3_S94,0.007,0.99
H3-e003Coalescence-mGAM-p5_S86,0.0014180710458186684,0.995
H3-e003Coalescence-mGAM-p7_S182,0.007,0.989
