,A2-e003Coalescence-mBHI-inoculumn-redo,B3-e003Coalescence-Inoculumn-mBHI
A3-e003Coalescence-mBHI-inoculumn-redo,4020,8886
A3-e003Coalescence-mBHI-p3,7774,15783
A3-e003Coalescence-mGAM-p7,9427,19266
B2-e003Coalescence-Inoculumn-mBHI,8766,18202
B2-e003Coalescence-mBHI-p3,9008,18382
B2-e003Coalescence-mBHI-p5,5506,11188
B2-e003Coalescence-mGAM-p3,9195,18727
E3-e003Coalescence-mBHI-p3_S10,7941,16129
E3-e003Coalescence-mBHI-p5_S2,8489,16991
E3-e003Coalescence-mGAM-p3_S58,9099,18471
E3-e003Coalescence-mGAM-p5_S50,9423,19220
E3-e003Coalescence-mGAM-p7_S146,9424,19248
F2-e003Coalescence-mBHI-p3_S21,7211,14584
F2-e003Coalescence-mBHI-p5_S13,9336,18930
F2-e003Coalescence-mGAM-p3_S69,9351,19012
F2-e003Coalescence-mGAM-p5_S61,9424,19210
F2-e003Coalescence-mGAM-p7_S157,9420,19201
