,A2-e003Coalescence-Inoculumn-mGAM,B3-e003Coalescence-Inoculumn-mGAM
A3-e003Coalescence-Inoculumn-mGAM,11796,26682
A9-e003Coalescence-mBHI-p3,11798,26678
A9-e003Coalescence-mBHI-p5,10039,21992
A9-e003Coalescence-mBHI-p7,11794,26629
A9-e003Coalescence-mGAM-p5,11806,26694
A9-e003Coalescence-mGAM-p7,11682,26422
B2-e003Coalescence-Inoculumn-mGAM,11806,26695
B8-e003Coalescence-mBHI-p5,11680,26304
B8-e003Coalescence-mBHI-p7,5040,11046
B8-e003Coalescence-mGAM-p5,11799,26686
B8-e003Coalescence-mGAM-p7,11806,26687
E9-e003Coalescence-mBHI-p5_S6,11369,25109
E9-e003Coalescence-mBHI-p7_S102,11424,25423
E9-e003Coalescence-mGAM-p3_S154,11805,26669
E9-e003Coalescence-mGAM-p5_S54,11738,26347
E9-e003Coalescence-mGAM-p7_S150,3722,7285
F8-e003Coalescence-mBHI-p3_S117,10880,23774
F8-e003Coalescence-mBHI-p5_S17,11299,24866
F8-e003Coalescence-mBHI-p7_S113,10037,21668
F8-e003Coalescence-mGAM-p3_S165,5910,10879
F8-e003Coalescence-mGAM-p5_S65,11795,26565
F8-e003Coalescence-mGAM-p7_S161,11627,25935
